,league,season,historical_training_year,features,best_score,hidden_layer_sizes,activation,solver,alpha,max_iter
0,D1,2014,7,best_features_MLP,0.506689936009,"(160,)",logistic,sgd,0.4,200
1,D1,2015,7,best_features_MLP,0.50546919977,"(30,)",logistic,adam,2.9,130
2,D1,2016,7,best_features_MLP,0.510712217719,"(160,)",logistic,sgd,1.4,260
