,A_MEANS_FIVE_AC,A_MEANS_FIVE_AF,A_MEANS_FIVE_AR,A_MEANS_FIVE_AS,A_MEANS_FIVE_AST,A_MEANS_FIVE_AY,A_MEANS_FIVE_FTAG,A_MEANS_FIVE_FTHG,A_MEANS_FIVE_FTR_A,A_MEANS_FIVE_FTR_D,A_MEANS_FIVE_FTR_H,A_MEANS_FIVE_HC,A_MEANS_FIVE_HF,A_MEANS_FIVE_HR,A_MEANS_FIVE_HS,A_MEANS_FIVE_HST,A_MEANS_FIVE_HTAG,A_MEANS_FIVE_HTHG,A_MEANS_FIVE_HTR_A,A_MEANS_FIVE_HTR_D,A_MEANS_FIVE_HTR_H,A_MEANS_FIVE_HY,A_MEANS_THREE_AC,A_MEANS_THREE_AF,A_MEANS_THREE_AR,A_MEANS_THREE_AS,A_MEANS_THREE_AST,A_MEANS_THREE_AY,A_MEANS_THREE_FTAG,A_MEANS_THREE_FTHG,A_MEANS_THREE_FTR_A,A_MEANS_THREE_FTR_D,A_MEANS_THREE_FTR_H,A_MEANS_THREE_HC,A_MEANS_THREE_HF,A_MEANS_THREE_HR,A_MEANS_THREE_HS,A_MEANS_THREE_HST,A_MEANS_THREE_HTAG,A_MEANS_THREE_HTHG,A_MEANS_THREE_HTR_A,A_MEANS_THREE_HTR_D,A_MEANS_THREE_HTR_H,A_MEANS_THREE_HY,A_STD_FIVE_AC,A_STD_FIVE_AF,A_STD_FIVE_AR,A_STD_FIVE_AS,A_STD_FIVE_AST,A_STD_FIVE_AY,A_STD_FIVE_FTAG,A_STD_FIVE_FTHG,A_STD_FIVE_FTR_A,A_STD_FIVE_FTR_D,A_STD_FIVE_FTR_H,A_STD_FIVE_HC,A_STD_FIVE_HF,A_STD_FIVE_HR,A_STD_FIVE_HS,A_STD_FIVE_HST,A_STD_FIVE_HTAG,A_STD_FIVE_HTHG,A_STD_FIVE_HTR_A,A_STD_FIVE_HTR_D,A_STD_FIVE_HTR_H,A_STD_FIVE_HY,A_STD_THREE_AC,A_STD_THREE_AF,A_STD_THREE_AR,A_STD_THREE_AS,A_STD_THREE_AST,A_STD_THREE_AY,A_STD_THREE_FTAG,A_STD_THREE_FTHG,A_STD_THREE_FTR_A,A_STD_THREE_FTR_D,A_STD_THREE_FTR_H,A_STD_THREE_HC,A_STD_THREE_HF,A_STD_THREE_HR,A_STD_THREE_HS,A_STD_THREE_HST,A_STD_THREE_HTAG,A_STD_THREE_HTHG,A_STD_THREE_HTR_A,A_STD_THREE_HTR_D,A_STD_THREE_HTR_H,A_STD_THREE_HY,H_MEANS_FIVE_AC,H_MEANS_FIVE_AF,H_MEANS_FIVE_AR,H_MEANS_FIVE_AS,H_MEANS_FIVE_AST,H_MEANS_FIVE_AY,H_MEANS_FIVE_FTAG,H_MEANS_FIVE_FTHG,H_MEANS_FIVE_FTR_A,H_MEANS_FIVE_FTR_D,H_MEANS_FIVE_FTR_H,H_MEANS_FIVE_HC,H_MEANS_FIVE_HF,H_MEANS_FIVE_HR,H_MEANS_FIVE_HS,H_MEANS_FIVE_HST,H_MEANS_FIVE_HTAG,H_MEANS_FIVE_HTHG,H_MEANS_FIVE_HTR_A,H_MEANS_FIVE_HTR_D,H_MEANS_FIVE_HTR_H,H_MEANS_FIVE_HY,H_MEANS_THREE_AC,H_MEANS_THREE_AF,H_MEANS_THREE_AR,H_MEANS_THREE_AS,H_MEANS_THREE_AST,H_MEANS_THREE_AY,H_MEANS_THREE_FTAG,H_MEANS_THREE_FTHG,H_MEANS_THREE_FTR_A,H_MEANS_THREE_FTR_D,H_MEANS_THREE_FTR_H,H_MEANS_THREE_HC,H_MEANS_THREE_HF,H_MEANS_THREE_HR,H_MEANS_THREE_HS,H_MEANS_THREE_HST,H_MEANS_THREE_HTAG,H_MEANS_THREE_HTHG,H_MEANS_THREE_HTR_A,H_MEANS_THREE_HTR_D,H_MEANS_THREE_HTR_H,H_MEANS_THREE_HY,H_STD_FIVE_AC,H_STD_FIVE_AF,H_STD_FIVE_AR,H_STD_FIVE_AS,H_STD_FIVE_AST,H_STD_FIVE_AY,H_STD_FIVE_FTAG,H_STD_FIVE_FTHG,H_STD_FIVE_FTR_A,H_STD_FIVE_FTR_D,H_STD_FIVE_FTR_H,H_STD_FIVE_HC,H_STD_FIVE_HF,H_STD_FIVE_HR,H_STD_FIVE_HS,H_STD_FIVE_HST,H_STD_FIVE_HTAG,H_STD_FIVE_HTHG,H_STD_FIVE_HTR_A,H_STD_FIVE_HTR_D,H_STD_FIVE_HTR_H,H_STD_FIVE_HY,H_STD_THREE_AC,H_STD_THREE_AF,H_STD_THREE_AR,H_STD_THREE_AS,H_STD_THREE_AST,H_STD_THREE_AY,H_STD_THREE_FTAG,H_STD_THREE_FTHG,H_STD_THREE_FTR_A,H_STD_THREE_FTR_D,H_STD_THREE_FTR_H,H_STD_THREE_HC,H_STD_THREE_HF,H_STD_THREE_HR,H_STD_THREE_HS,H_STD_THREE_HST,H_STD_THREE_HTAG,H_STD_THREE_HTHG,H_STD_THREE_HTR_A,H_STD_THREE_HTR_D,H_STD_THREE_HTR_H,H_STD_THREE_HY,INFO_AwayTeam,INFO_BbAvA,INFO_BbAvD,INFO_BbAvH,INFO_Date,INFO_Div,INFO_FTAG,INFO_FTHG,INFO_FTR,INFO_HTR,INFO_HomeTeam,INFO_PSA,INFO_PSD,INFO_PSH,INFO_WIN,pred,prob,prob_less_bet
23563,4.4,14.0,0.2,10.0,3.0,1.6,1.2,2.2,0.2,0.2,0.6,5.4,13.8,0.2,15.2,5.2,0.2,0.8,0.2,0.2,0.6,1.4,5.33,14.0,0.0,10.0,3.67,1.0,1.33,2.0,0.33,0.33,0.33,6.67,11.67,0.33,17.0,5.67,0.33,1.0,0.33,0.0,0.67,2.0,2.881,6.124,0.447,2.646,1.414,1.14,1.095,1.924,0.447,0.447,0.548,3.286,3.114,0.447,4.658,2.95,0.447,0.837,0.447,0.447,0.548,1.14,3.512,8.66,0.0,3.606,1.155,1.0,1.528,2.646,0.577,0.577,0.577,3.055,1.528,0.577,4.359,4.041,0.577,1.0,0.577,0.0,0.577,1.0,3.8,17.0,0.4,9.8,2.6,2.6,0.6,0.6,0.2,0.6,0.2,5.2,11.4,0.0,14.8,5.0,0.0,0.4,0.0,0.6,0.4,1.2,3.33,18.0,0.33,12.67,4.0,2.33,1.0,1.0,0.33,0.33,0.33,4.33,9.33,0.0,15.0,6.33,0.0,0.67,0.0,0.33,0.67,1.0,2.168,2.915,0.548,4.207,1.949,1.949,0.894,0.548,0.447,0.548,0.447,3.271,4.827,0.0,6.611,2.828,0.0,0.548,0.0,0.548,0.548,0.837,2.517,3.606,0.577,2.082,0.0,2.517,1.0,0.0,0.577,0.577,0.577,2.517,3.215,0.0,5.568,2.887,0.0,0.577,0.0,0.577,0.577,1.0,Wolfsburg,3.97,3.49,1.97,2016-12-20,D1,2.0,1.0,A,A,M'gladbach,4.08,3.6,2.02,-1.0,True,0.528522418769,0.0209082055713
23564,4.0,12.8,0.0,7.0,2.6,3.6,0.8,1.0,0.2,0.4,0.4,6.2,14.6,0.2,19.8,5.8,0.6,0.4,0.2,0.6,0.2,1.8,3.33,12.67,0.0,8.67,3.33,4.0,1.33,1.0,0.33,0.33,0.33,5.67,16.33,0.0,18.67,5.33,1.0,0.67,0.33,0.33,0.33,2.67,3.24,3.899,0.0,4.848,2.074,1.673,1.789,1.414,0.447,0.548,0.548,3.701,4.827,0.447,10.498,2.95,1.342,0.894,0.447,0.548,0.447,1.483,3.215,3.786,0.0,5.508,2.517,2.0,2.309,1.732,0.577,0.577,0.577,3.215,3.215,0.0,5.774,2.082,1.732,1.155,0.577,0.577,0.577,1.155,4.2,12.8,0.0,9.0,3.4,2.0,1.0,1.8,0.2,0.0,0.8,6.4,13.6,0.0,15.0,7.2,0.4,0.8,0.4,0.0,0.6,1.6,3.0,13.33,0.0,8.33,3.33,2.0,1.33,2.0,0.33,0.0,0.67,8.0,12.67,0.0,18.0,8.0,0.67,0.67,0.67,0.0,0.33,1.0,5.02,1.304,0.0,2.739,1.14,0.707,1.225,0.837,0.447,0.0,0.447,3.782,3.435,0.0,4.637,2.168,0.548,0.837,0.548,0.0,0.548,0.894,3.0,1.155,0.0,2.082,1.528,0.0,1.528,1.0,0.577,0.0,0.577,4.359,2.082,0.0,3.0,1.732,0.577,1.155,0.577,0.0,0.577,0.0,Empoli,6.99,3.9,1.54,2016-12-20,I1,1.0,2.0,H,D,Atalanta,7.74,4.08,1.55,0.54,True,0.657746697074,0.00839604772298
23565,5.0,14.0,0.0,12.6,4.4,2.6,1.2,1.0,0.4,0.4,0.2,4.0,11.6,0.0,8.4,3.4,0.4,1.0,0.2,0.2,0.6,1.4,5.33,15.33,0.0,13.33,3.33,2.33,0.67,1.33,0.0,0.67,0.33,5.67,12.67,0.0,8.67,4.0,0.0,1.33,0.0,0.0,1.0,1.67,1.581,3.317,0.0,1.517,2.191,1.14,0.837,0.707,0.548,0.548,0.447,2.915,2.608,0.0,2.608,1.342,0.548,0.707,0.447,0.447,0.548,1.517,2.082,3.786,0.0,1.528,1.155,1.528,0.577,0.577,0.0,0.577,0.577,2.517,0.577,0.0,2.082,0.0,0.0,0.577,0.0,0.0,0.0,2.082,1.4,9.0,0.2,6.2,2.8,1.4,0.4,2.8,0.0,0.0,1.0,7.0,11.8,0.0,22.0,6.8,0.2,1.0,0.0,0.2,0.8,0.8,1.67,10.0,0.33,6.0,2.67,1.0,0.33,2.0,0.0,0.0,1.0,7.33,14.67,0.0,21.0,5.33,0.0,0.67,0.0,0.33,0.67,0.67,1.14,4.183,0.447,1.924,1.095,0.894,0.548,1.924,0.0,0.0,0.0,3.464,4.868,0.0,4.183,2.864,0.447,0.707,0.0,0.447,0.447,0.837,1.528,5.568,0.577,1.0,1.155,1.0,0.577,1.0,0.0,0.0,0.0,4.163,4.041,0.0,5.568,2.887,0.0,0.577,0.0,0.577,0.577,0.577,Partick,16.89,7.61,1.15,2016-12-20,SC0,0.0,1.0,H,H,Celtic,20.15,9.1,1.16,0.15,True,0.618035514522,-0.251529702869
23568,5.6,13.0,0.2,9.4,2.6,1.8,0.8,2.0,0.0,0.0,1.0,5.4,11.0,0.0,15.2,4.8,0.2,0.6,0.0,0.6,0.4,1.6,5.33,10.67,0.0,10.33,3.0,2.33,1.0,2.33,0.0,0.0,1.0,5.67,9.67,0.0,14.67,4.33,0.33,0.67,0.0,0.67,0.33,1.0,0.894,3.937,0.447,4.775,1.673,1.304,0.837,1.0,0.0,0.0,0.0,1.517,4.743,0.0,3.962,1.924,0.447,0.548,0.0,0.548,0.548,1.517,0.577,2.082,0.0,5.132,1.0,1.528,1.0,1.155,0.0,0.0,0.0,0.577,1.528,0.0,4.619,2.517,0.577,0.577,0.0,0.577,0.577,1.732,2.6,17.8,0.4,11.8,3.4,2.4,0.6,1.8,0.2,0.0,0.8,5.0,12.4,0.2,13.2,5.4,0.4,1.0,0.2,0.2,0.6,1.4,1.67,17.67,0.67,11.0,4.0,1.67,0.67,1.67,0.33,0.0,0.67,4.67,14.33,0.33,13.0,5.0,0.67,1.0,0.33,0.33,0.33,1.0,1.673,3.633,0.548,2.775,1.673,2.302,0.548,1.095,0.447,0.0,0.447,1.225,3.362,0.447,1.924,1.14,0.548,0.707,0.447,0.447,0.548,0.894,1.155,4.726,0.577,2.0,2.0,1.528,0.577,1.528,0.577,0.0,0.577,0.577,2.517,0.577,2.646,1.0,0.577,1.0,0.577,0.577,0.577,1.0,Darmstadt,6.17,3.81,1.6,2016-12-21,D1,0.0,2.0,H,D,Hertha,6.65,3.93,1.63,0.6,True,0.578032452574,-0.0469675474258
23569,5.0,14.2,0.0,10.8,5.0,2.6,1.4,2.0,0.2,0.4,0.4,4.8,16.6,0.0,16.6,5.0,0.8,1.2,0.2,0.2,0.6,2.0,3.33,13.33,0.0,11.0,5.0,3.0,1.33,1.67,0.33,0.33,0.33,4.33,15.67,0.0,17.33,5.67,1.33,1.33,0.33,0.33,0.33,1.33,3.391,4.147,0.0,3.114,1.581,0.894,0.548,1.225,0.447,0.548,0.548,1.095,2.074,0.0,6.58,2.0,0.837,0.837,0.447,0.447,0.548,1.414,2.517,1.155,0.0,2.646,1.0,0.0,0.577,1.528,0.577,0.577,0.577,1.155,2.309,0.0,6.506,1.528,0.577,1.155,0.577,0.577,0.577,1.155,4.4,17.8,0.2,11.2,3.4,2.2,1.0,2.2,0.0,0.4,0.6,5.6,15.2,0.0,15.8,5.4,0.4,1.4,0.0,0.2,0.8,1.8,4.67,18.0,0.33,12.67,3.0,1.33,1.33,2.67,0.0,0.67,0.33,4.33,16.0,0.0,13.67,5.33,0.67,1.67,0.0,0.33,0.67,2.33,1.14,5.263,0.447,3.834,1.949,1.304,1.0,1.095,0.0,0.548,0.548,2.881,4.817,0.0,5.404,1.14,0.548,0.548,0.0,0.447,0.447,1.924,1.155,7.0,0.577,2.309,1.732,0.577,1.155,1.155,0.0,0.577,0.577,3.215,5.292,0.0,4.041,0.577,0.577,0.577,0.0,0.577,0.577,2.309,Werder Bremen,5.0,4.06,1.66,2016-12-21,D1,1.0,1.0,D,H,Hoffenheim,5.19,4.12,1.71,-1.0,True,0.55313683351,-0.0492728050445
23571,5.4,10.6,0.2,10.8,3.8,1.4,1.4,1.2,0.2,0.6,0.2,6.2,11.6,0.0,11.8,4.2,0.6,0.4,0.4,0.2,0.4,1.4,5.0,8.0,0.33,9.67,3.0,1.0,1.67,1.33,0.33,0.33,0.33,7.0,9.33,0.0,13.67,5.0,0.67,0.33,0.33,0.33,0.33,0.67,2.51,3.847,0.447,4.087,1.924,1.14,2.074,1.095,0.447,0.548,0.447,1.789,4.336,0.0,5.404,1.789,0.894,0.548,0.548,0.447,0.548,1.517,3.464,2.0,0.577,4.726,2.0,1.0,2.887,1.528,0.577,0.577,0.577,1.732,4.163,0.0,4.509,2.0,1.155,0.577,0.577,0.577,0.577,0.577,3.2,11.8,0.4,7.0,2.6,1.4,0.8,1.2,0.4,0.2,0.4,8.6,13.2,0.0,13.6,6.6,0.4,0.4,0.4,0.2,0.4,1.2,3.0,12.0,0.67,7.67,2.67,1.33,0.33,1.33,0.33,0.33,0.33,9.33,15.33,0.0,15.67,7.67,0.33,0.33,0.33,0.33,0.33,2.0,1.304,1.924,0.548,2.739,0.548,0.548,0.837,1.789,0.548,0.447,0.548,2.51,3.271,0.0,4.615,2.966,0.548,0.548,0.548,0.447,0.548,1.304,1.732,2.646,0.577,3.055,0.577,0.577,0.577,2.309,0.577,0.577,0.577,3.215,2.082,0.0,5.132,3.055,0.577,0.577,0.577,0.577,0.577,1.0,Charlton,3.65,3.35,2.02,2016-12-21,E2,1.0,3.0,H,H,Millwall,4.02,3.45,2.06,1.02,True,0.505977346122,0.0109278411712
23572,3.0,11.6,0.0,8.8,3.8,1.6,0.6,1.6,0.2,0.4,0.4,4.4,7.2,0.0,13.2,4.8,0.2,1.0,0.2,0.4,0.4,0.6,3.33,13.0,0.0,11.33,5.67,1.67,0.67,1.67,0.33,0.33,0.33,4.0,7.33,0.0,12.0,5.67,0.33,1.0,0.33,0.33,0.33,0.67,2.0,3.782,0.0,5.167,3.114,0.548,0.894,1.817,0.447,0.548,0.548,3.435,3.564,0.0,3.768,2.49,0.447,1.414,0.447,0.548,0.548,0.548,1.155,4.583,0.0,2.082,2.309,0.577,1.155,2.082,0.577,0.577,0.577,2.646,4.041,0.0,4.359,3.055,0.577,1.732,0.577,0.577,0.577,0.577,4.8,16.6,0.0,8.4,2.6,1.4,0.8,1.0,0.2,0.6,0.2,7.0,10.8,0.2,15.2,5.8,0.2,0.6,0.0,0.6,0.4,1.8,5.0,15.67,0.0,9.0,2.67,2.0,0.67,1.33,0.0,0.67,0.33,5.33,11.67,0.33,15.0,5.0,0.0,0.67,0.0,0.33,0.67,2.0,0.837,5.505,0.0,1.517,1.14,1.673,0.837,0.707,0.447,0.548,0.447,3.391,3.347,0.447,2.775,3.271,0.447,0.548,0.0,0.548,0.548,0.447,1.0,2.887,0.0,1.732,1.528,2.0,0.577,0.577,0.0,0.577,0.577,0.577,4.163,0.577,1.732,1.732,0.0,0.577,0.0,0.577,0.577,0.0,Marseille,2.38,3.12,3.23,2016-12-21,F1,2.0,1.0,A,A,Bastia,2.43,3.17,3.36,-1.0,True,0.523816371156,0.214218847936
23576,5.4,10.4,0.4,10.6,3.0,1.4,0.6,1.4,0.2,0.2,0.6,6.2,9.2,0.0,12.6,4.0,0.2,0.8,0.0,0.4,0.6,1.6,6.0,9.67,0.67,10.33,3.0,1.33,0.33,1.67,0.0,0.33,0.67,6.0,9.67,0.0,12.67,4.0,0.0,1.0,0.0,0.0,1.0,1.67,3.847,2.302,0.894,3.782,0.707,1.14,0.894,0.548,0.447,0.447,0.548,2.864,1.924,0.0,1.517,1.581,0.447,0.447,0.0,0.548,0.548,0.548,5.292,2.887,1.155,3.512,1.0,0.577,0.577,0.577,0.0,0.577,0.577,4.0,2.517,0.0,2.082,2.0,0.0,0.0,0.0,0.0,0.0,0.577,5.8,16.2,0.6,10.2,4.4,2.4,1.2,1.4,0.4,0.0,0.6,7.0,12.4,0.0,14.8,5.4,0.2,0.8,0.2,0.0,0.8,1.8,5.67,15.33,1.0,11.33,4.67,2.67,1.0,1.33,0.33,0.0,0.67,6.33,10.33,0.0,14.0,4.67,0.33,0.67,0.33,0.0,0.67,1.67,1.924,2.387,0.894,2.588,0.894,2.302,1.304,0.548,0.548,0.0,0.548,2.121,4.827,0.0,6.611,1.817,0.447,0.447,0.447,0.0,0.447,1.095,2.517,1.528,1.0,1.528,0.577,3.055,1.0,0.577,0.577,0.0,0.577,2.517,4.933,0.0,9.0,2.082,0.577,0.577,0.577,0.0,0.577,1.155,Angers,7.24,4.35,1.46,2016-12-21,F1,0.0,2.0,H,H,Lyon,7.68,4.52,1.49,0.46,True,0.50643999044,-0.178491516409
23578,2.8,12.0,0.0,11.0,3.2,1.4,0.8,2.0,0.0,0.2,0.8,4.8,12.6,0.2,13.4,4.2,0.4,1.0,0.0,0.6,0.4,1.0,2.33,12.67,0.0,10.0,2.33,1.67,0.67,2.33,0.0,0.0,1.0,5.0,14.33,0.0,14.67,4.0,0.33,1.33,0.0,0.33,0.67,1.67,1.304,4.243,0.0,4.528,2.168,1.14,1.095,1.581,0.0,0.447,0.447,1.924,5.03,0.447,3.362,3.114,0.548,1.0,0.0,0.548,0.548,1.414,0.577,3.055,0.0,6.083,2.517,1.155,1.155,1.528,0.0,0.0,0.0,2.646,5.508,0.0,4.041,3.606,0.577,1.155,0.0,0.577,0.577,1.528,5.2,13.6,0.0,10.0,3.4,1.6,1.0,4.4,0.2,0.0,0.8,5.0,13.0,0.2,14.0,7.4,0.4,1.4,0.2,0.2,0.6,2.0,6.0,13.33,0.0,11.0,4.33,2.33,1.0,3.33,0.33,0.0,0.67,5.0,13.67,0.33,13.33,6.67,0.33,1.33,0.33,0.0,0.67,2.67,2.588,5.03,0.0,4.0,3.912,1.14,1.414,2.074,0.447,0.0,0.447,1.414,5.745,0.447,1.581,2.074,0.548,1.14,0.447,0.447,0.548,1.581,2.646,5.859,0.0,5.292,5.132,0.577,1.732,2.082,0.577,0.0,0.577,1.732,7.767,0.577,1.528,2.517,0.577,1.528,0.577,0.0,0.577,1.528,Caen,10.48,5.69,1.28,2016-12-21,F1,1.0,2.0,H,D,Monaco,11.77,6.08,1.29,0.28,True,0.643105764104,-0.138144235896
23580,6.8,11.2,0.2,12.8,5.0,1.4,1.6,2.2,0.0,0.4,0.6,4.8,6.4,0.0,13.0,5.0,0.6,1.0,0.0,0.6,0.4,1.6,7.33,10.67,0.0,13.33,6.33,1.0,2.33,2.67,0.0,0.67,0.33,5.0,7.67,0.0,13.33,5.33,1.0,1.33,0.0,0.67,0.33,1.33,3.033,4.97,0.447,3.347,2.55,0.894,1.14,0.837,0.0,0.548,0.548,1.304,3.05,0.0,3.536,1.225,0.548,0.707,0.0,0.548,0.548,1.14,4.041,6.658,0.0,3.512,1.528,1.0,0.577,0.577,0.0,0.577,0.577,1.732,2.517,0.0,4.933,0.577,0.0,0.577,0.0,0.577,0.577,1.155,2.2,9.4,0.0,7.0,1.6,1.8,0.4,2.0,0.0,0.4,0.6,8.2,9.8,0.0,16.4,5.6,0.4,0.8,0.2,0.2,0.6,1.0,3.0,9.0,0.0,10.33,2.33,1.67,0.67,2.0,0.0,0.33,0.67,7.67,12.67,0.0,15.67,6.33,0.67,0.67,0.33,0.0,0.67,1.33,2.28,0.894,0.0,5.831,1.342,0.837,0.894,1.414,0.0,0.548,0.548,2.387,4.97,0.0,4.393,2.702,0.894,0.837,0.447,0.447,0.548,1.0,2.646,1.0,0.0,4.726,1.155,1.155,1.155,0.0,0.0,0.577,0.577,3.215,4.041,0.0,6.028,3.215,1.155,0.577,0.577,0.0,0.577,1.155,Lorient,14.1,7.18,1.19,2016-12-21,F1,0.0,5.0,H,H,Paris SG,15.33,7.92,1.2,0.19,True,0.600957000786,-0.239379133667
23582,5.4,14.8,0.0,12.8,5.4,2.0,1.8,0.8,0.6,0.4,0.0,4.8,9.6,0.2,15.2,4.8,0.8,0.2,0.6,0.2,0.2,1.8,4.0,16.0,0.0,11.67,5.33,2.33,1.33,0.67,0.67,0.33,0.0,5.0,10.67,0.33,15.0,5.67,1.0,0.0,0.67,0.33,0.0,1.67,2.51,2.168,0.0,4.324,1.517,1.225,0.837,0.837,0.548,0.548,0.0,2.588,3.362,0.447,3.114,1.924,0.837,0.447,0.548,0.447,0.447,1.095,1.732,1.732,0.0,5.686,2.082,1.528,0.577,0.577,0.577,0.577,0.0,3.606,1.528,0.577,4.359,2.082,1.0,0.0,0.577,0.577,0.0,1.528,5.4,14.6,0.2,8.8,3.6,3.2,1.0,2.4,0.2,0.0,0.8,8.4,14.8,0.0,19.8,6.2,0.2,1.0,0.0,0.4,0.6,1.6,3.67,14.33,0.33,8.67,3.33,2.33,0.67,3.0,0.0,0.0,1.0,10.0,16.67,0.0,20.0,7.0,0.33,1.33,0.0,0.33,0.67,2.33,2.966,3.578,0.447,3.271,2.608,1.304,1.0,1.14,0.447,0.0,0.447,6.107,7.662,0.0,4.764,2.775,0.447,1.225,0.0,0.548,0.548,1.949,1.528,4.041,0.577,4.163,3.055,0.577,1.155,1.0,0.0,0.0,0.0,7.0,10.017,0.0,6.245,3.464,0.577,1.528,0.0,0.577,0.577,2.309,Lazio,3.45,3.52,2.11,2016-12-21,I1,0.0,3.0,H,D,Inter,3.68,3.6,2.13,1.11,True,0.542840737943,0.0689070886535
23586,3.6,17.8,0.4,12.6,3.0,2.0,1.0,0.8,0.4,0.2,0.4,7.8,13.8,0.0,11.8,3.8,0.2,0.6,0.2,0.4,0.4,1.6,3.33,15.67,0.33,11.67,3.0,1.33,1.0,1.33,0.33,0.0,0.67,7.33,14.0,0.0,13.33,4.67,0.33,1.0,0.33,0.0,0.67,1.33,1.342,6.943,0.548,3.05,0.707,1.0,1.0,1.095,0.548,0.447,0.548,2.864,3.701,0.0,3.564,1.924,0.447,0.894,0.447,0.548,0.548,0.894,1.528,5.508,0.577,3.786,0.0,0.577,1.0,1.155,0.577,0.0,0.577,3.055,4.583,0.0,3.786,2.082,0.577,1.0,0.577,0.0,0.577,0.577,6.2,16.8,0.0,11.8,4.8,1.8,0.8,2.6,0.0,0.0,1.0,5.2,14.2,0.0,17.4,6.8,0.0,1.0,0.0,0.2,0.8,1.8,5.67,17.67,0.0,11.67,5.33,1.67,0.67,2.33,0.0,0.0,1.0,6.33,17.0,0.0,16.67,6.33,0.0,1.0,0.0,0.33,0.67,1.67,2.49,5.586,0.0,4.207,1.483,1.095,0.837,1.14,0.0,0.0,0.0,2.588,4.658,0.0,3.435,1.643,0.0,0.707,0.0,0.447,0.447,1.095,1.528,7.572,0.0,3.215,1.528,1.528,1.155,1.155,0.0,0.0,0.0,2.887,3.606,0.0,4.619,2.082,0.0,1.0,0.0,0.577,0.577,1.155,Chievo,9.51,5.35,1.32,2016-12-22,I1,1.0,3.0,H,D,Roma,10.66,5.7,1.33,0.32,True,0.526495469583,-0.231080287993
23588,5.4,17.2,0.2,10.2,2.8,2.6,0.4,2.0,0.0,0.2,0.8,4.2,12.0,0.0,13.0,5.0,0.2,1.0,0.0,0.4,0.6,1.4,6.0,19.0,0.33,10.33,2.33,2.67,0.33,1.67,0.0,0.33,0.67,4.33,12.0,0.0,12.0,3.0,0.0,0.67,0.0,0.33,0.67,1.33,1.817,2.588,0.447,1.095,1.924,0.548,0.548,1.225,0.0,0.447,0.447,1.095,1.871,0.0,3.536,2.915,0.447,0.707,0.0,0.548,0.548,0.548,1.732,1.0,0.577,1.528,2.082,0.577,0.577,1.528,0.0,0.577,0.577,1.155,2.646,0.0,4.583,1.0,0.0,0.577,0.0,0.577,0.577,0.577,4.6,13.0,0.4,12.8,5.8,1.8,1.6,2.4,0.2,0.2,0.6,5.8,15.6,0.0,16.4,4.8,0.4,1.6,0.0,0.2,0.8,1.4,3.0,13.0,0.67,12.33,6.0,1.67,1.67,2.67,0.33,0.0,0.67,6.33,17.0,0.0,16.0,5.0,0.67,2.0,0.0,0.33,0.67,1.33,2.408,3.742,0.548,2.95,1.924,0.447,0.894,1.517,0.447,0.447,0.548,2.49,4.336,0.0,5.03,2.588,0.548,0.894,0.0,0.447,0.447,0.548,1.0,5.196,0.577,4.041,2.646,0.577,1.155,2.082,0.577,0.0,0.577,3.215,5.292,0.0,7.0,3.606,0.577,1.0,0.0,0.577,0.577,0.577,Genoa,4.4,3.68,1.81,2016-12-22,I1,0.0,1.0,H,D,Torino,4.81,3.86,1.81,0.81,True,0.536311640264,-0.0161745475817
23594,2.8,13.4,0.6,11.2,3.6,1.2,1.0,1.8,0.2,0.2,0.6,4.0,14.4,0.0,13.8,3.8,0.0,0.4,0.0,0.6,0.4,1.6,3.33,12.33,0.67,12.0,2.67,1.67,0.67,2.0,0.0,0.33,0.67,3.33,13.67,0.0,12.0,4.0,0.0,0.67,0.0,0.33,0.67,2.67,1.643,2.302,0.548,5.848,1.517,0.837,1.225,1.304,0.447,0.447,0.548,2.739,3.507,0.0,7.396,2.588,0.0,0.548,0.0,0.548,0.548,1.517,0.577,2.517,0.577,7.55,0.577,0.577,0.577,1.0,0.0,0.577,0.577,3.512,4.509,0.0,2.646,1.0,0.0,0.577,0.0,0.577,0.577,0.577,3.6,13.0,0.2,8.6,2.4,2.6,0.4,1.8,0.0,0.2,0.8,9.6,14.0,0.2,16.8,6.8,0.2,0.8,0.0,0.6,0.4,2.0,3.33,12.67,0.33,8.0,2.33,2.67,0.33,1.67,0.0,0.0,1.0,7.67,14.33,0.33,14.0,5.33,0.0,0.33,0.0,0.67,0.33,2.33,1.342,2.236,0.447,3.209,1.949,0.894,0.548,0.837,0.0,0.447,0.447,5.128,4.848,0.447,5.215,2.387,0.447,0.837,0.0,0.548,0.548,2.0,1.528,3.055,0.577,3.606,2.309,1.155,0.577,0.577,0.0,0.0,0.0,5.686,6.658,0.577,4.0,1.528,0.0,0.577,0.0,0.577,0.577,2.309,Inverness C,7.46,4.53,1.41,2016-12-24,SC0,0.0,1.0,H,H,Rangers,8.51,4.82,1.43,0.41,True,0.639476525639,-0.0697433325174
