,Thresh,n,ll_mean,ll_std
0,0.0,205,0.654486303816,0.01259070425
0,0.00051229505334,149,0.655738618643,0.0116413813739
0,0.00102459010668,124,0.657800079222,0.0101797931243
0,0.00153688527644,111,0.658700994017,0.0101268717215
0,0.00204918021336,98,0.656027812543,0.0099974389344
0,0.00256147538312,86,0.653717425093,0.01065941568
0,0.00307377055287,77,0.654047711093,0.011094977278
0,0.0035860654898,70,0.654393967971,0.0113670745615
0,0.00409836042672,62,0.654854851238,0.0110354885654
0,0.00461065582931,55,0.65494458016,0.0110209620464
0,0.00512295076624,52,0.654995336796,0.0104330275939
0,0.00563524570316,50,0.655189339542,0.0104355096789
0,0.00614754110575,47,0.655281152924,0.0101537616854
0,0.00665983604267,42,0.656134985268,0.00932029462751
0,0.0071721309796,39,0.656364065642,0.00931341859803
0,0.00768442638218,36,0.656649148974,0.00979991600648
0,0.00819672085345,32,0.656194550919,0.0102684266661
0,0.00870901625603,29,0.65638562551,0.0101651098824
0,0.00922131165862,28,0.656510285628,0.0100820395428
0,0.00973360612988,27,0.656044312633,0.00999249321407
0,0.0112704914063,25,0.656001707974,0.00985293384638
0,0.0122950822115,24,0.656415976176,0.00996814536626
0,0.0143442619592,22,0.656272153606,0.00999226078695
0,0.0153688527644,21,0.656461913314,0.00981099438779
0,0.0158811472356,18,0.656726933396,0.0104728636888
0,0.0169057380408,16,0.656794700562,0.0104905826122
0,0.0189549177885,15,0.655812284732,0.0104542505021
0,0.0194672122598,14,0.655399168433,0.0102406271495
0,0.0199795085937,13,0.655480551266,0.0102799325774
0,0.0215163938701,12,0.655672339702,0.010498901318
0,0.0235655736178,11,0.655718896992,0.0103376642811
0,0.027151638642,10,0.655708672261,0.0104669015972
0,0.0276639349759,9,0.655795213447,0.0103953131725
0,0.0297131147236,8,0.655746589804,0.0104103462278
0,0.0332991816103,7,0.655761129569,0.0103492188757
0,0.0343237705529,6,0.655364523198,0.0105899732299
0,0.0404713116586,5,0.655446430653,0.0105254620458
0,0.0420081950724,4,0.655416324477,0.0102858720641
0,0.0450819656253,2,0.654724379179,0.0102543512161
0,0.051229506731,1,0.652783257711,0.0095525882736
