,league,season,historical_training_year,features,best_score,hidden_layer_sizes,activation,solver,alpha,max_iter
0,I1,2014,7,best_features_MLP,0.514035087719,"(90,)",logistic,sgd,0.0,170
1,I1,2015,7,best_features_MLP,0.501310043668,"(10,)",logistic,sgd,0.2,290
2,I1,2016,7,best_features_MLP,0.505263157895,"(120,)",logistic,sgd,2.2,200
