,league,season,historical_training_year,features,best_score,hidden_layer_sizes,activation,solver,alpha,max_iter
0,E0,2014,7,best_features_MLP,0.513051305131,"(150,)",logistic,sgd,1.4,100
1,E0,2015,7,best_features_MLP,0.508489722967,"(20,)",logistic,adam,2.1,120
2,E0,2016,7,best_features_MLP,0.502918724742,"(80,)",logistic,sgd,1.6,120
