,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_colsample_bytree,param_gamma,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_objective,param_scale_pos_weight,param_subsample,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,split5_test_score,split5_train_score,split6_test_score,split6_train_score,split7_test_score,split7_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,6.46378797293,0.0533466637135,-1.09045035915,-1.05450223451,0.75,0.4,0.01,3,3,209,multi:softprob,1,0.65,"{'colsample_bytree': 0.75, 'scale_pos_weight': 1, 'learning_rate': 0.01, 'min_child_weight': 3, 'n_estimators': 209, 'subsample': 0.65, 'objective': 'multi:softprob', 'max_depth': 3, 'gamma': 0.4}",2,-1.09111987847,-1.05413392543,-1.08911986988,-1.05537429392,-1.08798199055,-1.05449148045,-1.08956126648,-1.05464935675,-1.09292665717,-1.05349312004,-1.09202360467,-1.05441827553,-1.09287364156,-1.05440420717,-1.0880053668,-1.05505321677,0.0752551036641,0.0396857014575,0.0019216617884,0.000531089884419
1,6.15043136477,0.0515138506889,-1.09076917866,-1.05454496385,0.75,0.4,0.01,3,3,209,multi:softprob,1,0.7,"{'colsample_bytree': 0.75, 'scale_pos_weight': 1, 'learning_rate': 0.01, 'min_child_weight': 3, 'n_estimators': 209, 'subsample': 0.7, 'objective': 'multi:softprob', 'max_depth': 3, 'gamma': 0.4}",6,-1.09038031032,-1.05420617384,-1.08937952496,-1.05518334947,-1.0893345709,-1.05456614486,-1.09037795499,-1.05509376451,-1.09294828344,-1.05386691401,-1.09233622497,-1.05445911653,-1.09350430507,-1.05399629316,-1.08790271376,-1.05498795445,0.0962791062837,0.0449472971735,0.00184283103211,0.000472803766862
2,6.13380500674,0.0436065196991,-1.09099893413,-1.05468177166,0.75,0.4,0.01,3,3,209,multi:softprob,1,0.75,"{'colsample_bytree': 0.75, 'scale_pos_weight': 1, 'learning_rate': 0.01, 'min_child_weight': 3, 'n_estimators': 209, 'subsample': 0.75, 'objective': 'multi:softprob', 'max_depth': 3, 'gamma': 0.4}",9,-1.09121805206,-1.05397621126,-1.08947590869,-1.05548770029,-1.08995637466,-1.05466767789,-1.08985782603,-1.05506703907,-1.09329108256,-1.05398916644,-1.09242227738,-1.05452498146,-1.09322155482,-1.05422530529,-1.08855654626,-1.05551609158,0.141098848157,0.0220163646596,0.00169265138513,0.000581453189002
3,6.5620816648,0.0187270641327,-1.09051460413,-1.05415425203,0.8,0.4,0.01,3,3,209,multi:softprob,1,0.65,"{'colsample_bytree': 0.8, 'scale_pos_weight': 1, 'learning_rate': 0.01, 'min_child_weight': 3, 'n_estimators': 209, 'subsample': 0.65, 'objective': 'multi:softprob', 'max_depth': 3, 'gamma': 0.4}",3,-1.09066808051,-1.05373436538,-1.08923576753,-1.05507595666,-1.08836705968,-1.0540535691,-1.09003752764,-1.05436962115,-1.09282311776,-1.05312112327,-1.09197346687,-1.05402303343,-1.0932474748,-1.05386762602,-1.0877743084,-1.05498872118,0.0871898831343,0.0113149843679,0.00190100148387,0.000606777525847
4,6.36063578725,0.0266162157059,-1.09072259165,-1.05422437466,0.8,0.4,0.01,3,3,209,multi:softprob,1,0.7,"{'colsample_bytree': 0.8, 'scale_pos_weight': 1, 'learning_rate': 0.01, 'min_child_weight': 3, 'n_estimators': 209, 'subsample': 0.7, 'objective': 'multi:softprob', 'max_depth': 3, 'gamma': 0.4}",5,-1.09036167974,-1.05390411076,-1.08979356599,-1.05500299774,-1.08950542791,-1.0542602869,-1.09000371513,-1.05462342761,-1.09312404699,-1.05341819957,-1.09189582779,-1.0541025393,-1.0934573764,-1.05368182229,-1.0876479379,-1.05480161314,0.0593363086596,0.0221625905416,0.00183835911674,0.000519817909837
5,6.49163404107,0.03701415658,-1.09098155173,-1.05436398996,0.8,0.4,0.01,3,3,209,multi:softprob,1,0.75,"{'colsample_bytree': 0.8, 'scale_pos_weight': 1, 'learning_rate': 0.01, 'min_child_weight': 3, 'n_estimators': 209, 'subsample': 0.75, 'objective': 'multi:softprob', 'max_depth': 3, 'gamma': 0.4}",8,-1.0909184028,-1.05365386216,-1.08956300919,-1.05518368054,-1.09022278611,-1.05432692349,-1.08962187214,-1.05480460679,-1.09366708804,-1.05358704984,-1.09273027448,-1.05427320484,-1.09297863216,-1.05389134072,-1.08815891753,-1.05519125129,0.110353477273,0.0423049686213,0.00182475978516,0.000601178814146
6,6.7710955739,0.0192995071411,-1.09041119577,-1.05383290235,0.85,0.4,0.01,3,3,209,multi:softprob,1,0.65,"{'colsample_bytree': 0.85, 'scale_pos_weight': 1, 'learning_rate': 0.01, 'min_child_weight': 3, 'n_estimators': 209, 'subsample': 0.65, 'objective': 'multi:softprob', 'max_depth': 3, 'gamma': 0.4}",1,-1.09076466459,-1.05346223655,-1.0889463787,-1.05472090911,-1.08871282631,-1.05381960279,-1.08956786558,-1.05397152962,-1.09262489295,-1.05265574569,-1.09198799794,-1.05372874044,-1.09294466538,-1.0536665636,-1.08774914165,-1.054637891,0.0617227580418,0.0100469048207,0.00182809425646,0.000614162677033
7,6.57203355432,0.0239461362362,-1.09059091651,-1.05388381173,0.85,0.4,0.01,3,3,209,multi:softprob,1,0.7,"{'colsample_bytree': 0.85, 'scale_pos_weight': 1, 'learning_rate': 0.01, 'min_child_weight': 3, 'n_estimators': 209, 'subsample': 0.7, 'objective': 'multi:softprob', 'max_depth': 3, 'gamma': 0.4}",4,-1.09025259557,-1.05341686697,-1.08948287467,-1.05458104503,-1.08907452334,-1.05408007724,-1.09009883006,-1.05427976223,-1.09309141279,-1.05297893653,-1.09191029849,-1.05372972843,-1.09289382772,-1.05348213206,-1.08793277483,-1.05452194532,0.0710741557525,0.0125840716602,0.00174004726316,0.000537420976333
8,6.65259724855,0.0244469046593,-1.09093445017,-1.05401027155,0.85,0.4,0.01,3,3,209,multi:softprob,1,0.75,"{'colsample_bytree': 0.85, 'scale_pos_weight': 1, 'learning_rate': 0.01, 'min_child_weight': 3, 'n_estimators': 209, 'subsample': 0.75, 'objective': 'multi:softprob', 'max_depth': 3, 'gamma': 0.4}",7,-1.09114647652,-1.05334758078,-1.0894131864,-1.05480640363,-1.08954092658,-1.05415968231,-1.08988730277,-1.05435071564,-1.09334896066,-1.05327504622,-1.09277751544,-1.05378943761,-1.09313640219,-1.05336762829,-1.08823388832,-1.05498567793,0.203617246781,0.0158836460277,0.00182829605734,0.000628981614551
