,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_n_neighbors,param_p,param_weights,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,split5_test_score,split5_train_score,split6_test_score,split6_train_score,split7_test_score,split7_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.0137692093849,0.434193581343,-11.0547483541,-0.671194527692,3,1,uniform,"{'n_neighbors': 3, 'weights': 'uniform', 'p': 1}",13,-10.4593694051,-0.674461570413,-10.9148958874,-0.673132798386,-10.7362915969,-0.667556383385,-10.349051336,-0.676169832397,-11.7476150686,-0.666665325096,-12.2044284255,-0.668314363637,-10.5458902948,-0.669660046263,-11.4853917739,-0.673595901955,0.00845787802132,0.0831833967336,0.634194767425,0.00334197668069
1,0.00885561108589,0.338836014271,-11.0563974948,-2.10942374679e-15,3,1,distance,"{'n_neighbors': 3, 'weights': 'distance', 'p': 1}",14,-10.459226263,-2.10942374679e-15,-10.9166070953,-2.10942374679e-15,-10.7388491471,-2.10942374679e-15,-10.3498431135,-2.10942374679e-15,-11.751158607,-2.10942374679e-15,-12.2081011293,-2.10942374679e-15,-10.5481035036,-2.10942374679e-15,-11.4842442862,-2.10942374679e-15,0.00183652473654,0.101419849185,0.634890472037,0.0
2,0.00853624939919,0.372289508581,-11.0611096114,-0.676090311255,3,2,uniform,"{'n_neighbors': 3, 'weights': 'uniform', 'p': 2}",15,-11.4004870167,-0.675710505918,-10.7625220732,-0.674695316696,-10.9715604902,-0.671848938445,-10.5455796431,-0.682340707918,-11.6870841335,-0.671752250259,-10.7121265575,-0.675991894103,-11.1698702935,-0.677296798193,-11.2400438842,-0.679086078509,0.000440794832622,0.0576577339929,0.359733947675,0.00332426034985
3,0.0108983516693,0.432246536016,-11.0627121831,-2.10942374679e-15,3,2,distance,"{'n_neighbors': 3, 'weights': 'distance', 'p': 2}",16,-11.3995455216,-2.10942374679e-15,-10.765376817,-2.10942374679e-15,-10.971676947,-2.10942374679e-15,-10.5480460439,-2.10942374679e-15,-11.6930474315,-2.10942374679e-15,-10.7149171286,-2.10942374679e-15,-11.1696036073,-2.10942374679e-15,-11.2398916711,-2.10942374679e-15,0.00197203865265,0.11395607362,0.359824913454,0.0
4,0.00933712720871,0.430469751358,-5.31298306657,-0.851468781528,5,1,uniform,"{'n_neighbors': 5, 'weights': 'uniform', 'p': 1}",9,-4.92507847209,-0.859444059843,-5.15536842236,-0.8502536342,-5.61680022376,-0.846088212939,-4.74354644258,-0.853437626969,-5.26201443075,-0.845295043314,-5.74984670868,-0.849010501751,-5.57278402663,-0.85329032638,-5.48051687303,-0.854930846827,0.00280000148046,0.119629328248,0.331864827314,0.00443523706717
5,0.00948336720467,0.347970604897,-5.31604771454,-2.10942374679e-15,5,1,distance,"{'n_neighbors': 5, 'weights': 'distance', 'p': 1}",10,-4.92641418893,-2.10942374679e-15,-5.1594577348,-2.10942374679e-15,-5.6202964073,-2.10942374679e-15,-4.7455684581,-2.10942374679e-15,-5.26855759426,-2.10942374679e-15,-5.75575554948,-2.10942374679e-15,-5.57316914091,-2.10942374679e-15,-5.48125852413,-2.10942374679e-15,0.00299830673659,0.0730098976867,0.332329612941,0.0
6,0.0150418281555,0.394818246365,-5.42017217045,-0.852571693758,5,2,uniform,"{'n_neighbors': 5, 'weights': 'uniform', 'p': 2}",11,-5.9416529074,-0.851088734013,-5.88906314545,-0.854675860566,-5.4373256906,-0.854458448715,-4.64703348092,-0.858582594881,-5.58271096759,-0.84237837157,-5.2991165663,-0.852704185892,-5.27353332102,-0.852302337927,-5.28838193381,-0.854383016501,0.0167434301006,0.14456284651,0.382553094139,0.00438167031746
7,0.00983202457428,0.291009366512,-5.423092979,-2.10942374679e-15,5,2,distance,"{'n_neighbors': 5, 'weights': 'distance', 'p': 2}",12,-5.94229967562,-2.10942374679e-15,-5.8921890989,-2.10942374679e-15,-5.43834403157,-2.10942374679e-15,-4.65009593594,-2.10942374679e-15,-5.59039486795,-2.10942374679e-15,-5.30292404398,-2.10942374679e-15,-5.2764643588,-2.10942374679e-15,-5.28948709151,-2.10942374679e-15,0.00358162218682,0.0399013809976,0.382450466454,0.0
8,0.013826072216,0.301036030054,-1.7858694773,-0.985465344051,10,1,uniform,"{'n_neighbors': 10, 'weights': 'uniform', 'p': 1}",5,-1.60382195115,-0.988762658671,-1.83944962146,-0.989943993418,-1.81585838308,-0.981461211688,-1.64278569,-0.9842391345,-1.9160569669,-0.978746031157,-1.90331118383,-0.986124376268,-1.8551657157,-0.98532855857,-1.71126405412,-0.989116788133,0.0144524923707,0.0330084839054,0.110981789094,0.00366405671848
9,0.00868394970894,0.328094422817,-1.78760736678,-2.10942374679e-15,10,1,distance,"{'n_neighbors': 10, 'weights': 'distance', 'p': 1}",6,-1.60417176961,-2.10942374679e-15,-1.84153808964,-2.10942374679e-15,-1.81868836231,-2.10942374679e-15,-1.643571137,-2.10942374679e-15,-1.91966684415,-2.10942374679e-15,-1.90677328958,-2.10942374679e-15,-1.85516963464,-2.10942374679e-15,-1.71204079362,-2.10942374679e-15,0.00077854647378,0.0510251257155,0.111930332994,0.0
