,INFO_Date,INFO_Div,INFO_HomeTeam,INFO_AwayTeam,INFO_FTHG,INFO_FTAG,INFO_FTR,INFO_BbAvH,INFO_PSH,PROBS,INFO_FTR_H,PROB_LESS_ODD,WIN_AVG,WIN_PINNACLE
47,2011-12-11,F1,Auxerre,Nice,2.0,1.0,H,1.93,,0.406092071685,True,-0.112042643341,0.93,0.93
48,2011-12-11,F1,Lille,Dijon,2.0,0.0,H,1.28,,0.488921653181,True,-0.292328346819,0.28,0.28
49,2011-12-11,F1,Lorient,Lyon,0.0,1.0,A,2.99,,0.477791894039,False,0.143343733504,-1.0,-1.0
50,2011-12-17,F1,Brest,Auxerre,1.0,0.0,H,2.15,,0.527531729681,True,0.0624154506114,1.15,1.15
51,2011-12-17,F1,Caen,Nancy,1.0,2.0,A,2.04,,0.483915466838,False,-0.00628061159312,-1.0,-1.0
52,2011-12-17,F1,Dijon,St Etienne,1.0,2.0,A,2.83,,0.359291893173,False,0.00593500271376,-1.0,-1.0
53,2011-12-17,F1,Lyon,Evian Thonon Gaillard,2.0,1.0,H,1.39,,0.509536185502,True,-0.20988827493,0.39,0.39
54,2011-12-17,F1,Marseille,Lorient,2.0,1.0,H,1.55,,0.563269915493,True,-0.0818913748299,0.55,0.55
55,2011-12-17,F1,Montpellier,Toulouse,1.0,1.0,D,1.82,,0.463965644401,False,-0.0854849050494,-1.0,-1.0
56,2011-12-17,F1,Nice,Valenciennes,2.0,0.0,H,2.31,,0.470063697471,True,0.037163264571,1.31,1.31
57,2011-12-18,F1,Ajaccio,Rennes,1.0,0.0,H,4.81,,0.378345146485,True,0.170444938584,3.81,3.81
58,2011-12-18,F1,Bordeaux,Sochaux,1.0,0.0,H,1.56,,0.512417739498,True,-0.128607901528,0.56,0.56
59,2011-12-18,F1,Paris SG,Lille,0.0,0.0,D,2.19,,0.483407694477,False,0.0267866899104,-1.0,-1.0
60,2011-12-20,F1,Nancy,Marseille,1.0,3.0,A,4.18,,0.405965623667,False,0.166731173906,-1.0,-1.0
61,2011-12-21,F1,Auxerre,Dijon,2.0,2.0,D,1.78,,0.433914961486,False,-0.127882791323,-1.0,-1.0
62,2011-12-21,F1,Evian Thonon Gaillard,Montpellier,4.0,2.0,H,3.08,,0.394199124768,True,0.0695238000929,2.08,2.08
63,2011-12-21,F1,Lille,Nice,4.0,4.0,D,1.38,,0.491702930137,False,-0.232934751023,-1.0,-1.0
64,2011-12-21,F1,Lorient,Caen,0.0,0.0,D,1.81,,0.518894099427,False,-0.0335920884187,-1.0,-1.0
65,2011-12-21,F1,Rennes,Bordeaux,1.0,0.0,H,2.13,,0.472455694599,True,0.00297212652359,1.13,1.13
