,index,A_MEANS_FIVE_AC,A_MEANS_FIVE_AF,A_MEANS_FIVE_AR,A_MEANS_FIVE_AS,A_MEANS_FIVE_AST,A_MEANS_FIVE_AY,A_MEANS_FIVE_FTAG,A_MEANS_FIVE_FTHG,A_MEANS_FIVE_FTR_A,A_MEANS_FIVE_FTR_D,A_MEANS_FIVE_FTR_H,A_MEANS_FIVE_HC,A_MEANS_FIVE_HF,A_MEANS_FIVE_HR,A_MEANS_FIVE_HS,A_MEANS_FIVE_HST,A_MEANS_FIVE_HTAG,A_MEANS_FIVE_HTHG,A_MEANS_FIVE_HTR_A,A_MEANS_FIVE_HTR_D,A_MEANS_FIVE_HTR_H,A_MEANS_FIVE_HY,A_MEANS_THREE_AC,A_MEANS_THREE_AF,A_MEANS_THREE_AR,A_MEANS_THREE_AS,A_MEANS_THREE_AST,A_MEANS_THREE_AY,A_MEANS_THREE_FTAG,A_MEANS_THREE_FTHG,A_MEANS_THREE_FTR_A,A_MEANS_THREE_FTR_D,A_MEANS_THREE_FTR_H,A_MEANS_THREE_HC,A_MEANS_THREE_HF,A_MEANS_THREE_HR,A_MEANS_THREE_HS,A_MEANS_THREE_HST,A_MEANS_THREE_HTAG,A_MEANS_THREE_HTHG,A_MEANS_THREE_HTR_A,A_MEANS_THREE_HTR_D,A_MEANS_THREE_HTR_H,A_MEANS_THREE_HY,A_STD_FIVE_AC,A_STD_FIVE_AF,A_STD_FIVE_AR,A_STD_FIVE_AS,A_STD_FIVE_AST,A_STD_FIVE_AY,A_STD_FIVE_FTAG,A_STD_FIVE_FTHG,A_STD_FIVE_FTR_A,A_STD_FIVE_FTR_D,A_STD_FIVE_FTR_H,A_STD_FIVE_HC,A_STD_FIVE_HF,A_STD_FIVE_HR,A_STD_FIVE_HS,A_STD_FIVE_HST,A_STD_FIVE_HTAG,A_STD_FIVE_HTHG,A_STD_FIVE_HTR_A,A_STD_FIVE_HTR_D,A_STD_FIVE_HTR_H,A_STD_FIVE_HY,A_STD_THREE_AC,A_STD_THREE_AF,A_STD_THREE_AR,A_STD_THREE_AS,A_STD_THREE_AST,A_STD_THREE_AY,A_STD_THREE_FTAG,A_STD_THREE_FTHG,A_STD_THREE_FTR_A,A_STD_THREE_FTR_D,A_STD_THREE_FTR_H,A_STD_THREE_HC,A_STD_THREE_HF,A_STD_THREE_HR,A_STD_THREE_HS,A_STD_THREE_HST,A_STD_THREE_HTAG,A_STD_THREE_HTHG,A_STD_THREE_HTR_A,A_STD_THREE_HTR_D,A_STD_THREE_HTR_H,A_STD_THREE_HY,H_MEANS_FIVE_AC,H_MEANS_FIVE_AF,H_MEANS_FIVE_AR,H_MEANS_FIVE_AS,H_MEANS_FIVE_AST,H_MEANS_FIVE_AY,H_MEANS_FIVE_FTAG,H_MEANS_FIVE_FTHG,H_MEANS_FIVE_FTR_A,H_MEANS_FIVE_FTR_D,H_MEANS_FIVE_FTR_H,H_MEANS_FIVE_HC,H_MEANS_FIVE_HF,H_MEANS_FIVE_HR,H_MEANS_FIVE_HS,H_MEANS_FIVE_HST,H_MEANS_FIVE_HTAG,H_MEANS_FIVE_HTHG,H_MEANS_FIVE_HTR_A,H_MEANS_FIVE_HTR_D,H_MEANS_FIVE_HTR_H,H_MEANS_FIVE_HY,H_MEANS_THREE_AC,H_MEANS_THREE_AF,H_MEANS_THREE_AR,H_MEANS_THREE_AS,H_MEANS_THREE_AST,H_MEANS_THREE_AY,H_MEANS_THREE_FTAG,H_MEANS_THREE_FTHG,H_MEANS_THREE_FTR_A,H_MEANS_THREE_FTR_D,H_MEANS_THREE_FTR_H,H_MEANS_THREE_HC,H_MEANS_THREE_HF,H_MEANS_THREE_HR,H_MEANS_THREE_HS,H_MEANS_THREE_HST,H_MEANS_THREE_HTAG,H_MEANS_THREE_HTHG,H_MEANS_THREE_HTR_A,H_MEANS_THREE_HTR_D,H_MEANS_THREE_HTR_H,H_MEANS_THREE_HY,H_STD_FIVE_AC,H_STD_FIVE_AF,H_STD_FIVE_AR,H_STD_FIVE_AS,H_STD_FIVE_AST,H_STD_FIVE_AY,H_STD_FIVE_FTAG,H_STD_FIVE_FTHG,H_STD_FIVE_FTR_A,H_STD_FIVE_FTR_D,H_STD_FIVE_FTR_H,H_STD_FIVE_HC,H_STD_FIVE_HF,H_STD_FIVE_HR,H_STD_FIVE_HS,H_STD_FIVE_HST,H_STD_FIVE_HTAG,H_STD_FIVE_HTHG,H_STD_FIVE_HTR_A,H_STD_FIVE_HTR_D,H_STD_FIVE_HTR_H,H_STD_FIVE_HY,H_STD_THREE_AC,H_STD_THREE_AF,H_STD_THREE_AR,H_STD_THREE_AS,H_STD_THREE_AST,H_STD_THREE_AY,H_STD_THREE_FTAG,H_STD_THREE_FTHG,H_STD_THREE_FTR_A,H_STD_THREE_FTR_D,H_STD_THREE_FTR_H,H_STD_THREE_HC,H_STD_THREE_HF,H_STD_THREE_HR,H_STD_THREE_HS,H_STD_THREE_HST,H_STD_THREE_HTAG,H_STD_THREE_HTHG,H_STD_THREE_HTR_A,H_STD_THREE_HTR_D,H_STD_THREE_HTR_H,H_STD_THREE_HY,INFO_AwayTeam,INFO_BbAvA,INFO_BbAvD,INFO_BbAvH,INFO_Date,INFO_Div,INFO_FTAG,INFO_FTHG,INFO_FTR,INFO_HTR,INFO_HomeTeam,INFO_PSA,INFO_PSD,INFO_PSH,INFO_WIN,INFO_WIN_P,probs_A,probs_D,probs_H,probs,pred,WIN,WIN_P,INFO_ODD_BET,prob_less_bet
68,35915,4.0,9.4,0.0,10.0,4.2,1.2,1.0,1.4,0.2,0.4,0.4,8.6,14.0,0.0,15.4,6.0,0.2,0.4,0.2,0.6,0.2,2.6,4.33,9.0,0.0,10.33,5.33,1.33,1.33,0.67,0.33,0.67,0.0,8.0,13.67,0.0,14.0,4.33,0.33,0.0,0.33,0.67,0.0,3.0,2.121,1.14,0.0,2.345,2.049,1.095,0.707,1.517,0.447,0.548,0.548,3.209,1.871,0.0,6.877,3.674,0.447,0.894,0.447,0.548,0.447,0.894,2.517,1.0,0.0,2.887,1.155,1.528,0.577,0.577,0.577,0.577,0.0,4.359,2.517,0.0,8.66,4.041,0.577,0.0,0.577,0.577,0.0,1.0,4.4,14.4,0.0,10.8,3.0,2.8,1.4,1.8,0.2,0.2,0.6,4.6,14.8,0.0,14.6,4.2,1.0,0.6,0.4,0.2,0.4,3.0,4.33,12.67,0.0,9.67,2.0,3.0,1.0,1.67,0.0,0.33,0.67,5.0,14.0,0.0,16.33,3.33,0.67,0.67,0.33,0.33,0.33,2.0,2.302,4.506,0.0,2.588,2.236,1.304,1.14,0.837,0.447,0.447,0.548,1.517,2.588,0.0,5.079,2.775,1.225,0.894,0.548,0.447,0.548,1.871,2.082,5.033,0.0,1.528,0.0,1.0,1.0,0.577,0.0,0.577,0.577,1.732,2.646,0.0,6.028,3.512,0.577,1.155,0.577,0.577,0.577,1.0,Stoke,3.16,3.26,2.38,2016-11-27,E0,1.0,0.0,A,A,Watford,3.32,3.32,2.39,3.16,3.32,0.214553161729,0.23609948206,0.549347356211,0.549347356211,H,-1.0,-1.0,2.38,0.129179288984
69,35956,4.4,11.2,0.0,13.0,5.6,3.0,1.2,1.0,0.2,0.4,0.4,5.2,10.4,0.0,11.8,1.8,0.8,0.2,0.6,0.4,0.0,2.2,6.33,11.33,0.0,12.0,4.67,2.67,0.67,1.0,0.0,0.67,0.33,4.67,11.0,0.0,9.67,2.0,0.67,0.0,0.67,0.33,0.0,1.33,3.647,3.114,0.0,5.431,2.608,2.121,1.095,1.0,0.447,0.548,0.548,3.421,1.673,0.0,4.324,0.837,0.447,0.447,0.548,0.548,0.0,1.924,3.512,3.215,0.0,6.557,2.517,2.517,0.577,1.0,0.0,0.577,0.577,4.726,2.0,0.0,4.041,1.0,0.577,0.0,0.577,0.577,0.0,1.528,5.0,10.4,0.2,12.0,5.0,1.8,1.8,1.6,0.6,0.2,0.2,6.4,13.8,0.0,13.2,4.8,1.2,0.8,0.8,0.0,0.2,1.4,5.33,11.0,0.33,13.0,6.0,2.33,2.33,1.0,1.0,0.0,0.0,4.0,13.0,0.0,9.33,3.67,1.67,0.67,1.0,0.0,0.0,1.0,1.581,3.847,0.447,2.915,2.828,0.837,1.304,1.517,0.548,0.447,0.447,3.782,1.643,0.0,6.611,2.387,1.095,1.095,0.447,0.0,0.447,0.548,2.082,5.292,0.577,3.606,3.464,0.577,1.528,1.0,0.0,0.0,0.0,2.646,1.732,0.0,2.517,2.082,1.155,1.155,0.0,0.0,0.0,0.0,Southampton,2.25,3.3,3.38,2016-12-03,E0,0.0,3.0,H,H,Crystal Palace,2.24,3.39,3.58,3.38,3.58,0.461460861753,0.274292936427,0.264246201819,0.461460861753,A,-1.0,-1.0,2.25,0.0170164173088
70,35957,5.0,12.0,0.0,17.0,5.6,2.2,1.4,1.0,0.6,0.2,0.2,4.8,13.0,0.0,9.8,2.4,0.6,0.6,0.6,0.2,0.2,1.4,4.33,13.67,0.0,16.0,6.33,1.67,1.67,0.0,1.0,0.0,0.0,4.67,13.0,0.0,9.67,1.67,0.67,0.0,0.67,0.33,0.0,1.33,4.0,3.391,0.0,7.778,2.966,1.483,0.894,1.414,0.548,0.447,0.447,3.347,2.828,0.0,3.194,1.673,0.548,1.342,0.548,0.447,0.447,1.342,2.309,3.215,0.0,5.196,3.055,1.528,0.577,0.0,0.0,0.0,0.0,2.517,0.0,0.0,2.082,1.155,0.577,0.0,0.577,0.577,0.0,1.155,3.0,11.0,0.0,5.8,2.2,2.4,0.8,2.0,0.0,0.6,0.4,8.2,7.6,0.2,20.0,7.0,0.2,1.0,0.2,0.2,0.6,1.2,2.0,11.33,0.0,4.67,2.33,2.67,1.0,1.0,0.0,1.0,0.0,10.33,8.33,0.0,19.33,6.0,0.33,0.33,0.33,0.33,0.33,1.33,1.581,2.345,0.0,2.168,0.447,0.894,0.447,1.414,0.0,0.548,0.548,3.421,2.191,0.447,4.062,3.391,0.447,1.0,0.447,0.447,0.548,1.095,1.0,3.215,0.0,1.528,0.577,0.577,0.0,0.0,0.0,0.0,0.0,2.517,2.309,0.0,5.508,2.646,0.577,0.577,0.577,0.577,0.577,1.528,Chelsea,3.51,3.49,2.12,2016-12-03,E0,3.0,1.0,A,H,Man City,3.64,3.59,2.14,3.51,3.64,0.264584560963,0.248458090624,0.486957348412,0.486957348412,H,-1.0,-1.0,2.12,0.0152592352049
71,35958,2.8,9.8,0.0,6.2,1.2,1.6,0.2,2.6,0.0,0.2,0.8,9.4,10.2,0.2,24.6,9.4,0.0,1.2,0.0,0.4,0.6,0.8,2.67,10.33,0.0,6.0,1.33,1.67,0.33,2.33,0.0,0.33,0.67,10.33,11.67,0.33,29.0,10.33,0.0,1.0,0.0,0.67,0.33,0.67,1.789,1.304,0.0,0.837,0.837,1.14,0.447,1.517,0.0,0.447,0.447,5.683,2.49,0.447,10.431,3.435,0.0,1.304,0.0,0.548,0.548,0.837,1.528,1.528,0.0,1.0,0.577,1.528,0.577,2.082,0.0,0.577,0.577,7.767,0.577,0.577,11.358,4.041,0.0,1.732,0.0,0.577,0.577,0.577,5.2,13.6,0.0,12.6,4.0,1.8,1.4,1.2,0.4,0.2,0.4,6.2,11.2,0.0,15.2,4.0,0.6,0.6,0.4,0.4,0.2,2.4,4.0,12.33,0.0,11.33,3.0,1.0,0.67,1.67,0.33,0.0,0.67,5.0,11.33,0.0,16.33,5.33,0.67,1.0,0.33,0.33,0.33,2.0,1.789,2.881,0.0,4.615,2.915,1.483,1.517,1.304,0.548,0.447,0.548,2.49,3.899,0.0,2.387,2.0,0.548,0.894,0.548,0.548,0.447,0.894,0.0,2.082,0.0,2.517,2.646,1.0,0.577,1.528,0.577,0.0,0.577,1.732,5.132,0.0,2.082,1.155,0.577,1.0,0.577,0.577,0.577,1.0,Burnley,5.92,3.92,1.62,2016-12-03,E0,0.0,2.0,H,H,Stoke,6.03,4.1,1.64,1.62,1.64,0.114689971622,0.205730090029,0.679579938349,0.679579938349,H,0.62,0.64,1.62,0.0622959877316
72,35959,5.0,14.0,0.0,8.6,1.8,2.4,0.8,2.8,0.0,0.2,0.8,5.8,8.4,0.0,16.2,6.4,0.4,2.2,0.0,0.0,1.0,1.4,4.0,16.67,0.0,7.0,1.0,2.67,0.67,2.0,0.0,0.33,0.67,6.67,9.67,0.0,16.0,4.67,0.33,1.67,0.0,0.0,1.0,2.0,2.345,4.899,0.0,2.966,1.304,1.14,0.447,1.304,0.0,0.447,0.447,3.194,3.362,0.0,4.266,2.966,0.548,1.095,0.0,0.0,0.0,1.14,2.646,4.163,0.0,2.646,1.0,1.528,0.577,1.0,0.0,0.577,0.577,2.309,3.215,0.0,6.0,1.528,0.577,0.577,0.0,0.0,0.0,1.0,6.0,10.8,0.0,19.0,6.8,1.8,2.2,1.4,0.6,0.2,0.2,3.2,10.2,0.2,8.6,2.6,0.4,0.4,0.4,0.2,0.4,1.4,7.0,11.33,0.0,18.33,7.0,2.0,1.67,1.67,0.33,0.33,0.33,2.67,8.33,0.33,7.0,2.33,0.67,0.33,0.67,0.0,0.33,2.0,1.871,2.588,0.0,1.871,1.789,1.304,1.643,1.14,0.548,0.447,0.447,2.387,3.033,0.447,3.578,1.342,0.548,0.548,0.548,0.447,0.548,1.517,1.732,2.887,0.0,2.309,0.0,1.732,2.082,1.155,0.577,0.577,0.577,3.055,1.155,0.577,4.0,1.528,0.577,0.577,0.577,0.0,0.577,1.732,Leicester,2.28,3.35,3.26,2016-12-03,E0,1.0,2.0,H,D,Sunderland,2.3,3.44,3.39,3.26,3.39,0.358735062183,0.309559825423,0.331705112394,0.358735062183,A,-1.0,-1.0,2.28,-0.0798614290453
73,35960,4.0,11.0,0.0,10.0,4.2,1.2,1.0,2.0,0.0,0.2,0.8,6.4,11.0,0.2,15.8,5.6,0.6,0.8,0.2,0.4,0.4,1.8,4.33,12.0,0.0,10.67,5.0,1.0,1.33,2.33,0.0,0.33,0.67,7.0,9.0,0.33,15.67,5.33,1.0,1.0,0.33,0.33,0.33,2.0,2.121,2.0,0.0,3.606,1.643,0.837,0.707,1.0,0.0,0.447,0.447,2.302,3.674,0.447,2.387,0.894,0.548,0.837,0.447,0.548,0.548,1.483,1.528,2.0,0.0,4.933,1.732,1.0,0.577,1.155,0.0,0.577,0.577,2.646,3.464,0.577,1.528,1.155,0.0,1.0,0.577,0.577,0.577,2.0,3.0,15.8,0.4,9.6,3.0,3.6,0.8,1.6,0.0,0.4,0.6,7.0,12.4,0.0,18.2,6.2,0.4,0.6,0.4,0.2,0.4,2.4,3.0,15.33,0.33,9.67,3.33,2.67,1.0,2.0,0.0,0.33,0.67,5.33,14.67,0.0,16.33,6.0,0.33,1.0,0.33,0.0,0.67,2.67,2.0,3.633,0.548,3.362,1.871,1.517,0.837,0.894,0.0,0.548,0.548,4.243,4.775,0.0,8.289,1.924,0.548,0.894,0.548,0.447,0.548,0.894,2.0,5.033,0.577,3.215,2.517,1.155,1.0,1.0,0.0,0.577,0.577,2.309,4.726,0.0,4.933,1.0,0.577,1.0,0.577,0.0,0.577,0.577,Swansea,9.23,5.15,1.35,2016-12-03,E0,0.0,5.0,H,H,Tottenham,9.64,5.45,1.36,1.35,1.36,0.11825422693,0.217753560975,0.663992212095,0.663992212095,H,0.35,0.36,1.35,-0.0767485286459
74,35961,4.2,13.2,0.0,10.0,4.6,1.8,1.2,2.0,0.4,0.2,0.4,5.6,13.0,0.0,16.2,6.6,0.4,1.2,0.0,0.6,0.4,2.0,3.67,12.0,0.0,8.33,4.0,1.33,0.67,2.0,0.33,0.33,0.33,5.67,14.67,0.0,16.33,8.33,0.0,1.0,0.0,0.67,0.33,2.33,1.789,2.95,0.0,3.536,3.13,0.837,1.643,2.449,0.548,0.447,0.548,1.517,2.345,0.0,7.463,5.857,0.894,1.304,0.0,0.548,0.548,1.225,2.082,3.464,0.0,3.786,3.464,0.577,0.577,3.464,0.577,0.577,0.577,1.528,0.577,0.0,10.116,7.572,0.0,1.732,0.0,0.577,0.577,1.528,5.6,9.8,0.0,15.2,5.0,1.8,1.4,1.8,0.2,0.4,0.4,3.4,13.8,0.0,10.8,3.8,0.4,1.2,0.2,0.4,0.4,1.8,6.0,10.67,0.0,15.33,6.0,1.67,1.67,1.67,0.33,0.33,0.33,3.33,14.33,0.0,11.0,3.67,0.67,1.0,0.33,0.33,0.33,2.0,2.074,2.28,0.0,8.497,3.0,1.304,1.673,2.049,0.447,0.548,0.548,1.817,2.049,0.0,3.564,2.28,0.894,1.643,0.447,0.548,0.548,1.483,2.646,1.155,0.0,8.963,3.464,1.528,2.082,2.082,0.577,0.577,0.577,2.082,2.517,0.0,4.359,2.517,1.155,1.732,0.577,0.577,0.577,2.0,Watford,3.65,3.27,2.16,2016-12-03,E0,1.0,3.0,H,H,West Brom,3.89,3.33,2.16,2.16,2.16,0.305424899798,0.295776287871,0.398798812331,0.398798812331,H,1.16,1.16,2.16,-0.0641641506316
75,35962,4.8,10.8,0.0,15.6,5.4,1.8,2.6,0.8,0.8,0.2,0.0,3.4,10.4,0.2,9.0,3.0,1.0,0.0,0.6,0.4,0.0,2.6,6.0,9.0,0.0,14.67,3.67,2.0,2.0,0.67,0.67,0.33,0.0,4.0,8.33,0.0,8.33,2.33,0.33,0.0,0.33,0.67,0.0,2.33,2.28,4.604,0.0,7.893,3.286,1.304,1.517,0.447,0.447,0.447,0.0,3.847,6.025,0.447,4.472,2.345,1.225,0.0,0.548,0.548,0.0,2.608,2.0,5.292,0.0,8.505,3.055,1.732,1.732,0.577,0.577,0.577,0.0,5.292,6.028,0.0,4.726,2.309,0.577,0.0,0.577,0.577,0.0,2.082,3.4,12.8,0.0,12.4,5.2,2.6,1.8,1.0,0.4,0.4,0.2,5.2,10.6,0.0,16.0,2.4,0.6,0.4,0.2,0.8,0.0,3.0,3.67,11.67,0.0,10.33,3.0,3.0,0.67,1.0,0.0,0.67,0.33,5.33,11.33,0.0,16.0,2.33,0.0,0.0,0.0,1.0,0.0,2.67,1.342,1.924,0.0,3.507,3.114,1.517,1.643,0.707,0.548,0.548,0.447,1.095,1.517,0.0,4.796,1.14,0.894,0.894,0.447,0.447,0.0,1.414,1.528,1.528,0.0,1.528,1.0,2.0,0.577,0.0,0.0,0.577,0.577,1.155,1.528,0.0,6.083,0.577,0.0,0.0,0.0,0.0,0.0,1.155,Arsenal,1.73,3.93,4.79,2016-12-03,E0,5.0,1.0,A,A,West Ham,1.72,4.1,5.08,1.73,1.72,0.551271175763,0.229694358255,0.219034465982,0.551271175763,A,0.73,0.72,1.73,-0.0267635063179
76,35991,6.0,11.0,0.0,15.2,5.2,2.2,1.8,1.0,0.6,0.4,0.0,3.6,10.2,0.0,8.2,3.4,1.2,0.6,0.6,0.2,0.2,1.6,7.0,8.33,0.0,16.67,6.0,1.67,2.0,1.0,0.67,0.33,0.0,2.33,11.33,0.0,6.0,3.0,1.0,1.0,0.33,0.33,0.33,1.33,2.915,4.472,0.0,2.28,3.114,1.643,1.483,0.707,0.548,0.548,0.0,1.949,3.421,0.0,3.564,2.191,1.304,0.894,0.548,0.447,0.447,0.894,3.606,3.055,0.0,1.528,4.0,0.577,2.0,1.0,0.577,0.577,0.0,1.155,3.512,0.0,2.646,3.0,1.732,1.0,0.577,0.577,0.577,0.577,3.6,14.2,0.2,12.2,3.2,2.8,0.6,1.8,0.2,0.2,0.6,7.8,10.2,0.0,15.2,4.8,0.4,1.0,0.0,0.6,0.4,1.6,3.33,15.33,0.33,12.0,4.0,3.0,1.0,2.33,0.33,0.33,0.33,8.0,10.67,0.0,17.33,6.0,0.67,1.33,0.0,0.67,0.33,1.67,1.14,2.168,0.447,2.588,1.095,0.837,0.894,2.387,0.447,0.447,0.548,3.114,2.28,0.0,6.419,3.899,0.548,1.225,0.0,0.548,0.548,1.14,1.155,1.528,0.577,3.606,0.0,1.0,1.0,3.215,0.577,0.577,0.577,3.606,3.055,0.0,8.083,4.583,0.577,1.528,0.0,0.577,0.577,1.528,Liverpool,1.76,3.89,4.59,2016-12-04,E0,3.0,4.0,H,A,Bournemouth,1.8,4.01,4.63,4.59,4.63,0.452782666742,0.279497079657,0.267720253601,0.452782666742,A,-1.0,-1.0,1.76,-0.11539915144
77,35992,4.2,15.6,0.0,15.2,4.0,3.0,1.0,1.6,0.4,0.2,0.4,3.2,10.6,0.0,9.4,3.4,0.6,0.6,0.2,0.4,0.4,1.6,2.67,17.67,0.0,10.67,3.0,2.67,1.0,1.67,0.33,0.33,0.33,3.33,10.0,0.0,9.67,3.33,1.0,0.67,0.33,0.33,0.33,1.0,3.421,5.595,0.0,8.614,3.162,1.0,1.225,1.817,0.548,0.447,0.548,1.789,3.209,0.0,2.966,2.074,1.342,0.894,0.447,0.548,0.548,1.517,3.786,2.082,0.0,4.726,2.0,1.155,1.732,2.082,0.577,0.577,0.577,1.528,3.606,0.0,4.041,2.517,1.732,1.155,0.577,0.577,0.577,1.732,5.0,12.2,0.0,8.6,1.8,2.2,0.6,1.6,0.0,0.4,0.6,8.6,12.6,0.0,15.2,6.0,0.4,0.8,0.2,0.4,0.4,3.0,6.67,11.67,0.0,9.33,2.67,3.0,0.67,1.33,0.0,0.67,0.33,9.33,14.67,0.0,14.67,5.0,0.33,0.33,0.33,0.33,0.33,3.67,3.24,1.643,0.0,3.05,1.304,1.304,0.548,0.894,0.0,0.548,0.548,1.673,4.393,0.0,3.899,2.121,0.548,1.304,0.447,0.548,0.548,1.414,3.215,0.577,0.0,4.041,0.577,1.0,0.577,0.577,0.0,0.577,0.577,1.155,1.528,0.0,2.082,1.732,0.577,0.577,0.577,0.577,0.577,1.528,Man United,2.13,3.4,3.59,2016-12-04,E0,1.0,1.0,D,A,Everton,2.17,3.5,3.65,3.4,3.5,0.221065339484,0.269593870323,0.509340790193,0.509340790193,H,-1.0,-1.0,3.59,0.23078925816
78,36007,5.0,8.2,0.2,9.8,3.4,1.4,0.6,3.2,0.0,0.2,0.8,6.4,10.2,0.2,20.0,5.6,0.2,1.4,0.0,0.4,0.6,1.0,4.67,10.0,0.0,12.0,4.33,1.67,0.33,3.33,0.0,0.0,1.0,4.67,10.0,0.33,18.33,4.67,0.33,1.33,0.0,0.33,0.67,0.67,3.317,3.899,0.447,5.45,2.302,1.342,0.548,2.28,0.0,0.447,0.447,4.099,2.588,0.447,8.396,5.177,0.447,1.517,0.0,0.548,0.548,0.707,3.055,3.464,0.0,4.583,2.517,1.528,0.577,2.517,0.0,0.0,0.0,2.517,2.646,0.577,6.351,5.033,0.577,1.528,0.0,0.577,0.577,0.577,6.4,8.6,0.0,12.6,3.4,1.6,1.2,0.8,0.8,0.0,0.2,3.6,10.0,0.0,10.0,2.6,0.8,0.4,0.4,0.4,0.2,2.0,5.33,8.33,0.0,10.67,2.67,1.67,0.67,0.67,0.67,0.0,0.33,3.33,10.33,0.0,10.67,2.33,0.33,0.33,0.33,0.33,0.33,2.33,2.51,2.074,0.0,5.505,1.14,0.894,0.837,0.837,0.447,0.0,0.447,1.673,5.568,0.0,2.449,1.14,0.837,0.548,0.548,0.548,0.447,1.225,2.082,2.887,0.0,5.859,0.577,1.155,0.577,1.155,0.577,0.0,0.577,1.155,6.429,0.0,1.155,1.155,0.577,0.577,0.577,0.577,0.577,1.528,Hull,5.09,3.47,1.79,2016-12-05,E0,0.0,1.0,H,D,Middlesbrough,5.4,3.57,1.8,1.79,1.8,0.23909596792,0.247778253595,0.513125778486,0.513125778486,H,0.79,0.8,1.79,-0.0455334393912
79,36022,4.2,10.0,0.0,11.2,4.2,1.0,1.2,1.2,0.4,0.4,0.2,7.4,16.0,0.2,13.4,4.6,0.4,0.4,0.4,0.4,0.2,2.8,4.67,10.67,0.0,12.67,3.67,1.33,1.33,0.33,0.67,0.33,0.0,4.67,17.0,0.33,9.67,2.0,0.67,0.0,0.67,0.33,0.0,3.0,1.924,2.345,0.0,2.588,2.049,1.225,0.447,1.643,0.548,0.548,0.447,4.037,4.848,0.447,6.269,3.578,0.548,0.894,0.548,0.548,0.447,0.837,2.082,3.055,0.0,1.155,2.517,1.528,0.577,0.577,0.577,0.577,0.0,1.528,6.557,0.577,1.155,0.0,0.577,0.0,0.577,0.577,0.0,1.0,4.4,12.8,0.0,10.4,3.6,2.0,0.8,2.0,0.0,0.4,0.6,6.4,9.0,0.2,14.0,4.2,0.4,1.4,0.0,0.4,0.6,1.0,5.0,14.33,0.0,10.0,3.33,2.33,0.67,1.33,0.0,0.67,0.33,6.0,9.67,0.0,13.33,3.33,0.33,0.67,0.0,0.67,0.33,1.67,3.647,2.683,0.0,1.673,1.517,1.871,0.837,1.414,0.0,0.548,0.548,2.408,2.55,0.447,2.915,1.643,0.548,1.14,0.0,0.548,0.548,1.225,4.359,2.309,0.0,1.0,0.577,2.517,0.577,1.528,0.0,0.577,0.577,2.646,3.215,0.0,3.786,1.528,0.577,0.577,0.0,0.577,0.577,1.155,Stoke,8.83,5.19,1.36,2016-12-10,E0,1.0,3.0,H,D,Arsenal,9.21,5.29,1.38,1.36,1.38,0.26181144209,0.269175652687,0.469012905223,0.469012905223,H,0.36,0.38,1.36,-0.266281212424
80,36023,6.2,10.2,0.0,10.0,2.4,2.6,0.8,2.2,0.2,0.2,0.6,3.8,11.4,0.2,15.4,6.2,0.6,0.8,0.4,0.2,0.4,2.2,7.0,9.33,0.0,11.0,2.67,2.67,0.67,1.67,0.33,0.0,0.67,3.33,10.67,0.0,13.33,4.0,0.67,0.67,0.33,0.33,0.33,2.33,2.387,3.114,0.0,3.317,0.548,1.817,0.837,1.483,0.447,0.447,0.548,0.837,6.025,0.447,3.715,3.701,0.548,0.837,0.548,0.447,0.548,1.095,3.0,4.041,0.0,3.464,0.577,2.082,0.577,1.528,0.577,0.0,0.577,0.577,7.095,0.0,3.055,1.732,0.577,0.577,0.577,0.577,0.577,1.155,7.0,12.0,0.0,17.4,4.8,2.2,1.2,1.6,0.4,0.0,0.6,4.0,9.0,0.0,11.2,4.0,0.2,1.0,0.0,0.4,0.6,1.2,7.67,14.0,0.0,19.0,6.0,2.67,1.67,2.0,0.33,0.0,0.67,3.67,10.67,0.0,11.0,5.0,0.33,1.33,0.0,0.33,0.67,1.67,1.0,5.196,0.0,3.578,2.049,1.304,0.837,1.14,0.548,0.0,0.548,2.121,5.523,0.0,2.168,2.236,0.447,0.707,0.0,0.548,0.548,0.837,0.577,1.732,0.0,2.646,1.732,0.577,0.577,1.0,0.577,0.0,0.577,1.528,5.508,0.0,2.646,2.0,0.577,0.577,0.0,0.577,0.577,0.577,Bournemouth,2.24,3.37,3.36,2016-12-10,E0,2.0,3.0,H,H,Burnley,2.26,3.45,3.48,3.36,3.48,0.41036103068,0.296006090655,0.293632878665,0.41036103068,A,-1.0,-1.0,2.24,-0.0360675407485
