,index,A_MEANS_FIVE_AC,A_MEANS_FIVE_AF,A_MEANS_FIVE_AR,A_MEANS_FIVE_AS,A_MEANS_FIVE_AST,A_MEANS_FIVE_AY,A_MEANS_FIVE_FTAG,A_MEANS_FIVE_FTHG,A_MEANS_FIVE_FTR_A,A_MEANS_FIVE_FTR_D,A_MEANS_FIVE_FTR_H,A_MEANS_FIVE_HC,A_MEANS_FIVE_HF,A_MEANS_FIVE_HR,A_MEANS_FIVE_HS,A_MEANS_FIVE_HST,A_MEANS_FIVE_HTAG,A_MEANS_FIVE_HTHG,A_MEANS_FIVE_HTR_A,A_MEANS_FIVE_HTR_D,A_MEANS_FIVE_HTR_H,A_MEANS_FIVE_HY,A_MEANS_THREE_AC,A_MEANS_THREE_AF,A_MEANS_THREE_AR,A_MEANS_THREE_AS,A_MEANS_THREE_AST,A_MEANS_THREE_AY,A_MEANS_THREE_FTAG,A_MEANS_THREE_FTHG,A_MEANS_THREE_FTR_A,A_MEANS_THREE_FTR_D,A_MEANS_THREE_FTR_H,A_MEANS_THREE_HC,A_MEANS_THREE_HF,A_MEANS_THREE_HR,A_MEANS_THREE_HS,A_MEANS_THREE_HST,A_MEANS_THREE_HTAG,A_MEANS_THREE_HTHG,A_MEANS_THREE_HTR_A,A_MEANS_THREE_HTR_D,A_MEANS_THREE_HTR_H,A_MEANS_THREE_HY,A_STD_FIVE_AC,A_STD_FIVE_AF,A_STD_FIVE_AR,A_STD_FIVE_AS,A_STD_FIVE_AST,A_STD_FIVE_AY,A_STD_FIVE_FTAG,A_STD_FIVE_FTHG,A_STD_FIVE_FTR_A,A_STD_FIVE_FTR_D,A_STD_FIVE_FTR_H,A_STD_FIVE_HC,A_STD_FIVE_HF,A_STD_FIVE_HR,A_STD_FIVE_HS,A_STD_FIVE_HST,A_STD_FIVE_HTAG,A_STD_FIVE_HTHG,A_STD_FIVE_HTR_A,A_STD_FIVE_HTR_D,A_STD_FIVE_HTR_H,A_STD_FIVE_HY,A_STD_THREE_AC,A_STD_THREE_AF,A_STD_THREE_AR,A_STD_THREE_AS,A_STD_THREE_AST,A_STD_THREE_AY,A_STD_THREE_FTAG,A_STD_THREE_FTHG,A_STD_THREE_FTR_A,A_STD_THREE_FTR_D,A_STD_THREE_FTR_H,A_STD_THREE_HC,A_STD_THREE_HF,A_STD_THREE_HR,A_STD_THREE_HS,A_STD_THREE_HST,A_STD_THREE_HTAG,A_STD_THREE_HTHG,A_STD_THREE_HTR_A,A_STD_THREE_HTR_D,A_STD_THREE_HTR_H,A_STD_THREE_HY,H_MEANS_FIVE_AC,H_MEANS_FIVE_AF,H_MEANS_FIVE_AR,H_MEANS_FIVE_AS,H_MEANS_FIVE_AST,H_MEANS_FIVE_AY,H_MEANS_FIVE_FTAG,H_MEANS_FIVE_FTHG,H_MEANS_FIVE_FTR_A,H_MEANS_FIVE_FTR_D,H_MEANS_FIVE_FTR_H,H_MEANS_FIVE_HC,H_MEANS_FIVE_HF,H_MEANS_FIVE_HR,H_MEANS_FIVE_HS,H_MEANS_FIVE_HST,H_MEANS_FIVE_HTAG,H_MEANS_FIVE_HTHG,H_MEANS_FIVE_HTR_A,H_MEANS_FIVE_HTR_D,H_MEANS_FIVE_HTR_H,H_MEANS_FIVE_HY,H_MEANS_THREE_AC,H_MEANS_THREE_AF,H_MEANS_THREE_AR,H_MEANS_THREE_AS,H_MEANS_THREE_AST,H_MEANS_THREE_AY,H_MEANS_THREE_FTAG,H_MEANS_THREE_FTHG,H_MEANS_THREE_FTR_A,H_MEANS_THREE_FTR_D,H_MEANS_THREE_FTR_H,H_MEANS_THREE_HC,H_MEANS_THREE_HF,H_MEANS_THREE_HR,H_MEANS_THREE_HS,H_MEANS_THREE_HST,H_MEANS_THREE_HTAG,H_MEANS_THREE_HTHG,H_MEANS_THREE_HTR_A,H_MEANS_THREE_HTR_D,H_MEANS_THREE_HTR_H,H_MEANS_THREE_HY,H_STD_FIVE_AC,H_STD_FIVE_AF,H_STD_FIVE_AR,H_STD_FIVE_AS,H_STD_FIVE_AST,H_STD_FIVE_AY,H_STD_FIVE_FTAG,H_STD_FIVE_FTHG,H_STD_FIVE_FTR_A,H_STD_FIVE_FTR_D,H_STD_FIVE_FTR_H,H_STD_FIVE_HC,H_STD_FIVE_HF,H_STD_FIVE_HR,H_STD_FIVE_HS,H_STD_FIVE_HST,H_STD_FIVE_HTAG,H_STD_FIVE_HTHG,H_STD_FIVE_HTR_A,H_STD_FIVE_HTR_D,H_STD_FIVE_HTR_H,H_STD_FIVE_HY,H_STD_THREE_AC,H_STD_THREE_AF,H_STD_THREE_AR,H_STD_THREE_AS,H_STD_THREE_AST,H_STD_THREE_AY,H_STD_THREE_FTAG,H_STD_THREE_FTHG,H_STD_THREE_FTR_A,H_STD_THREE_FTR_D,H_STD_THREE_FTR_H,H_STD_THREE_HC,H_STD_THREE_HF,H_STD_THREE_HR,H_STD_THREE_HS,H_STD_THREE_HST,H_STD_THREE_HTAG,H_STD_THREE_HTHG,H_STD_THREE_HTR_A,H_STD_THREE_HTR_D,H_STD_THREE_HTR_H,H_STD_THREE_HY,INFO_AwayTeam,INFO_BbAvA,INFO_BbAvD,INFO_BbAvH,INFO_Date,INFO_Div,INFO_FTAG,INFO_FTHG,INFO_FTR,INFO_HTR,INFO_HomeTeam,INFO_PSA,INFO_PSD,INFO_PSH,INFO_WIN,INFO_WIN_P,XGBoost_bfA,XGBoost_bfD,XGBoost_bfH,RF_bfA,RF_bfD,RF_bfH,NBA,NBD,NBH,MLPA,MLPD,MLPH,KNNA,KNND,KNNH,0
401,11293,3.8,14.0,0.0,9.8,6.0,1.4,1.6,0.8,0.4,0.6,0.0,9.4,11.0,0.0,19.8,10.4,0.8,0.4,0.4,0.6,0.0,1.6,4.0,15.67,0.0,10.67,7.33,1.67,2.33,1.33,0.33,0.67,0.0,8.67,12.33,0.0,20.33,12.67,1.0,0.67,0.33,0.67,0.0,1.67,1.304,5.701,0.0,4.604,3.873,1.14,1.517,0.837,0.548,0.548,0.0,4.722,3.674,0.0,1.789,3.286,0.447,0.548,0.548,0.548,0.0,0.894,1.0,5.859,0.0,6.11,4.726,1.528,1.528,0.577,0.577,0.577,0.0,0.577,2.082,0.0,1.155,1.155,0.0,0.577,0.577,0.577,0.0,1.155,2.2,15.4,0.0,7.0,4.2,2.4,0.6,0.8,0.2,0.2,0.6,6.8,11.6,0.2,10.6,6.2,0.2,0.4,0.0,0.8,0.2,1.6,1.0,14.0,0.0,5.33,3.67,2.0,0.33,1.0,0.0,0.33,0.67,6.0,12.0,0.33,10.33,6.33,0.33,0.33,0.0,1.0,0.0,1.67,1.924,4.827,0.0,3.742,1.789,1.14,0.894,0.447,0.447,0.447,0.548,3.421,2.408,0.447,2.881,2.588,0.447,0.548,0.0,0.447,0.447,1.14,1.0,4.359,0.0,4.163,2.082,1.0,0.577,0.0,0.0,0.577,0.577,4.583,2.646,0.577,4.041,3.055,0.577,0.577,0.0,0.0,0.0,1.528,West Ham,7.27,4.12,1.44,2009-01-31,E0,0.0,0.0,D,D,Arsenal,,,,4.12,,0.224278792739,0.330902844667,0.44481831789,0.208241802775,0.30301963101,0.488738566215,0.0117912296331,0.312768164169,0.675440606198,0.188799436766,0.304513987035,0.506686576198,0.193846153846,0.26,0.546153846154,1
402,11294,7.4,12.6,0.2,12.0,5.4,3.0,0.6,1.0,0.2,0.2,0.6,5.2,11.4,0.2,12.2,6.0,0.4,0.4,0.4,0.2,0.4,1.0,8.0,12.67,0.0,12.67,5.33,3.33,0.33,0.67,0.33,0.0,0.67,4.67,11.67,0.33,11.0,5.67,0.33,0.33,0.33,0.33,0.33,1.0,3.209,2.51,0.447,2.121,1.817,0.707,0.894,0.707,0.447,0.447,0.548,2.683,2.302,0.447,3.271,2.55,0.548,0.548,0.548,0.447,0.548,0.707,2.646,3.512,0.0,2.517,2.082,0.577,0.577,0.577,0.577,0.0,0.577,3.055,2.517,0.577,2.646,2.517,0.577,0.577,0.577,0.577,0.577,1.0,5.2,14.8,0.0,8.6,5.2,1.6,1.0,1.6,0.0,0.6,0.4,8.2,10.0,0.0,14.4,8.0,0.4,0.8,0.2,0.4,0.4,1.2,5.33,14.33,0.0,8.67,5.67,2.0,1.67,2.67,0.0,0.33,0.67,9.0,9.67,0.0,16.67,9.67,0.67,1.33,0.33,0.0,0.67,1.67,1.643,2.775,0.0,2.51,1.924,1.517,1.0,1.673,0.0,0.548,0.548,3.271,2.121,0.0,4.278,3.317,0.548,1.095,0.447,0.548,0.548,1.643,2.082,3.786,0.0,0.577,0.577,1.732,0.577,1.155,0.0,0.577,0.577,1.732,2.517,0.0,4.041,3.055,0.577,1.155,0.577,0.0,0.577,2.082,Wigan,5.59,3.55,1.63,2009-01-31,E0,0.0,0.0,D,D,Aston Villa,,,,3.55,,0.266481697559,0.278705209494,0.454813033342,0.285823404124,0.258042456041,0.456134139835,0.490430324692,0.259573709515,0.249995965793,0.26535998179,0.246799770732,0.487840247477,0.286153846154,0.235384615385,0.478461538462,1
403,11295,4.4,11.6,0.2,9.0,5.4,1.4,0.8,1.4,0.2,0.0,0.8,7.4,10.0,0.0,12.8,7.6,0.2,0.4,0.0,0.8,0.2,2.4,4.67,10.67,0.33,7.0,4.0,2.33,0.33,1.67,0.0,0.0,1.0,6.67,11.67,0.0,12.33,6.67,0.33,0.33,0.0,1.0,0.0,3.0,1.673,3.362,0.447,5.148,3.912,1.342,0.837,0.894,0.447,0.0,0.447,2.191,4.796,0.0,4.025,4.615,0.447,0.548,0.0,0.447,0.447,0.894,2.082,3.215,0.577,3.606,1.732,0.577,0.577,0.577,0.0,0.0,0.0,2.309,2.309,0.0,5.033,3.786,0.577,0.577,0.0,0.0,0.0,0.0,4.6,11.4,0.0,12.0,7.6,1.4,1.4,0.4,0.8,0.0,0.2,6.4,11.4,0.0,15.2,8.0,1.0,0.4,0.6,0.2,0.2,1.4,6.0,11.33,0.0,11.33,8.33,1.67,1.0,0.67,0.67,0.0,0.33,5.0,12.0,0.0,13.33,6.67,0.67,0.67,0.33,0.33,0.33,1.33,2.702,5.128,0.0,3.391,3.13,0.894,0.548,0.894,0.447,0.0,0.447,3.362,3.578,0.0,5.404,3.536,0.707,0.894,0.548,0.447,0.447,0.548,2.646,5.686,0.0,4.163,4.163,1.155,0.0,1.155,0.577,0.0,0.577,3.606,3.464,0.0,6.028,4.163,0.577,1.155,0.577,0.577,0.577,0.577,Tottenham,2.59,3.24,2.64,2009-01-31,E0,2.0,3.0,H,H,Bolton,,,,2.64,,0.341249108315,0.260576277971,0.39817455411,0.302716197524,0.270622371159,0.426661431317,0.316024862268,0.261458154036,0.422516983696,0.277517434821,0.264770152527,0.457712412651,0.278461538462,0.283076923077,0.438461538462,2
404,11296,4.2,11.6,0.0,8.0,4.4,1.4,0.6,1.0,0.0,0.6,0.4,7.2,9.2,0.0,16.2,9.0,0.2,0.6,0.0,0.6,0.4,0.4,3.0,11.67,0.0,7.67,4.0,1.33,0.67,1.33,0.0,0.33,0.67,8.33,9.67,0.0,18.67,10.67,0.33,0.67,0.0,0.67,0.33,0.33,1.924,2.702,0.0,3.082,1.673,0.548,0.548,0.707,0.0,0.548,0.548,2.95,3.421,0.0,6.38,3.808,0.447,0.894,0.0,0.548,0.548,0.548,1.0,3.786,0.0,3.512,1.0,0.577,0.577,0.577,0.0,0.577,0.577,2.517,4.041,0.0,7.506,4.041,0.577,1.155,0.0,0.577,0.577,0.577,4.4,8.2,0.0,13.2,7.2,1.4,1.0,2.0,0.0,0.4,0.6,6.4,8.4,0.0,12.6,8.6,0.2,1.0,0.0,0.2,0.8,1.2,6.0,6.67,0.0,15.33,8.67,1.67,1.0,2.0,0.0,0.67,0.33,5.33,9.0,0.0,12.0,7.67,0.33,1.0,0.0,0.33,0.67,1.0,2.608,2.387,0.0,4.382,4.147,0.894,0.707,0.707,0.0,0.548,0.548,3.507,4.506,0.0,5.32,4.98,0.447,0.0,0.0,0.447,0.447,0.837,1.732,1.528,0.0,3.512,4.726,0.577,1.0,1.0,0.0,0.577,0.577,4.041,3.0,0.0,7.0,5.508,0.577,0.0,0.0,0.577,0.577,1.0,Portsmouth,3.78,3.29,1.99,2009-01-31,E0,1.0,3.0,H,H,Fulham,,,,1.99,,0.237462863326,0.296986997128,0.46555018425,0.217117455837,0.274303084847,0.508579459316,0.00558133949128,0.109036614289,0.88538204622,0.161311627281,0.225284069532,0.613404303187,0.203076923077,0.263076923077,0.533846153846,2
405,11297,6.4,10.4,0.0,10.8,5.0,1.0,0.4,2.2,0.0,0.0,1.0,5.6,9.2,0.0,17.2,10.8,0.0,1.4,0.0,0.4,0.6,0.8,7.67,12.67,0.0,9.67,4.67,1.0,0.33,2.67,0.0,0.0,1.0,6.0,9.0,0.0,20.0,12.67,0.0,2.33,0.0,0.0,1.0,1.0,3.715,4.775,0.0,4.55,3.0,1.0,0.548,1.095,0.0,0.0,0.0,3.362,1.924,0.0,5.404,3.194,0.0,1.342,0.0,0.548,0.548,0.447,3.055,5.132,0.0,4.041,2.309,1.0,0.577,1.155,0.0,0.0,0.0,4.583,2.646,0.0,3.606,2.517,0.0,0.577,0.0,0.0,0.0,0.0,5.4,12.2,0.2,11.2,6.6,1.6,2.2,1.2,0.6,0.2,0.2,6.0,13.4,0.2,10.8,5.4,0.8,0.4,0.4,0.6,0.0,1.6,5.0,12.33,0.0,11.67,6.0,1.33,2.67,0.67,1.0,0.0,0.0,6.33,14.0,0.33,8.67,4.67,0.67,0.33,0.33,0.67,0.0,1.67,0.894,5.02,0.447,3.194,2.302,0.894,1.304,0.837,0.548,0.447,0.447,2.55,4.159,0.447,5.07,2.302,0.837,0.548,0.548,0.548,0.0,0.894,1.0,5.859,0.0,4.163,3.0,0.577,1.528,0.577,0.0,0.0,0.0,2.517,5.196,0.577,5.033,2.887,0.577,0.577,0.577,0.577,0.0,1.155,West Brom,3.41,3.24,2.12,2009-01-31,E0,2.0,2.0,D,H,Hull,,,,3.24,,0.295515030622,0.308499008417,0.39598596096,0.287771832661,0.28369313776,0.428535029578,0.361716964,0.306798733722,0.331484302279,0.26790097198,0.275313785752,0.456785242268,0.272307692308,0.278461538462,0.449230769231,1
406,11298,4.6,11.8,0.0,8.8,4.8,1.4,0.8,0.4,0.6,0.2,0.2,4.4,14.8,0.0,9.8,5.2,0.0,0.0,0.0,1.0,0.0,1.2,6.33,12.0,0.0,9.67,5.33,1.33,1.0,0.33,0.67,0.33,0.0,4.67,19.0,0.0,7.67,4.67,0.0,0.0,0.0,1.0,0.0,1.67,2.881,4.438,0.0,2.049,1.789,1.14,0.447,0.548,0.548,0.447,0.447,0.894,8.585,0.0,3.114,0.837,0.0,0.0,0.0,0.0,0.0,2.168,2.082,4.359,0.0,2.309,1.155,0.577,0.0,0.577,0.577,0.577,0.0,0.577,9.0,0.0,1.155,0.577,0.0,0.0,0.0,0.0,0.0,2.887,2.8,12.6,0.0,7.0,2.8,2.0,0.0,2.2,0.0,0.0,1.0,6.2,9.2,0.0,19.8,12.0,0.0,0.8,0.0,0.4,0.6,1.4,4.33,13.33,0.0,10.0,3.67,2.67,0.0,1.67,0.0,0.0,1.0,6.0,11.0,0.0,17.0,10.0,0.0,0.67,0.0,0.33,0.67,1.67,2.387,3.912,0.0,4.637,1.924,2.121,0.0,1.789,0.0,0.0,0.0,2.864,3.271,0.0,8.228,3.742,0.0,0.837,0.0,0.548,0.548,1.14,1.528,4.041,0.0,3.0,2.082,2.517,0.0,1.155,0.0,0.0,0.0,2.0,2.646,0.0,9.849,3.606,0.0,0.577,0.0,0.577,0.577,1.528,Everton,9.23,4.31,1.37,2009-01-31,E0,0.0,1.0,H,H,Man United,,,,1.37,,0.201555907726,0.222713664174,0.575730383396,0.177797532009,0.224448484559,0.597753983432,0.003554647856,0.0686553631342,0.92778998901,0.191978318597,0.225791995643,0.58222968576,0.232307692308,0.243076923077,0.524615384615,2
407,11299,6.0,14.0,0.4,9.2,4.0,2.0,0.8,1.8,0.0,0.4,0.6,5.4,9.4,0.0,12.6,6.8,0.2,0.6,0.2,0.4,0.4,1.2,7.0,12.33,0.0,9.33,3.0,1.67,0.67,2.0,0.0,0.33,0.67,6.33,6.33,0.0,10.67,6.33,0.0,0.67,0.0,0.67,0.33,0.33,3.536,2.739,0.548,1.483,1.581,1.0,1.095,1.304,0.0,0.548,0.548,2.191,4.561,0.0,3.05,1.304,0.447,0.894,0.447,0.548,0.548,1.304,4.359,1.528,0.0,2.082,1.0,1.155,1.155,1.732,0.0,0.577,0.577,1.528,2.309,0.0,2.082,1.528,0.0,1.155,0.0,0.577,0.577,0.577,5.4,12.0,0.0,11.8,6.4,2.4,1.2,0.6,0.4,0.6,0.0,5.4,13.2,0.0,11.2,4.6,0.6,0.4,0.2,0.6,0.2,1.6,8.33,12.67,0.0,12.67,7.33,2.0,1.0,0.67,0.33,0.67,0.0,4.0,15.67,0.0,8.0,3.67,0.33,0.67,0.0,0.67,0.33,1.67,4.219,3.162,0.0,2.95,2.608,1.949,1.095,0.548,0.548,0.548,0.0,2.302,8.349,0.0,4.658,1.673,0.894,0.548,0.447,0.548,0.447,2.074,1.528,1.528,0.0,3.786,3.215,1.732,0.0,0.577,0.577,0.577,0.0,1.732,10.786,0.0,1.0,1.155,0.577,0.577,0.0,0.577,0.577,2.887,Blackburn,2.9,3.22,2.39,2009-01-31,E0,0.0,0.0,D,D,Middlesbrough,,,,3.22,,0.290374368429,0.302824139595,0.406801521778,0.309535090392,0.290780814427,0.399684095181,0.69005023303,0.212078887376,0.0978708795938,0.365084775066,0.282437749003,0.352477475932,0.301538461538,0.304615384615,0.393846153846,1
408,11300,4.8,11.8,0.0,12.4,6.2,1.4,1.2,1.8,0.0,0.6,0.4,5.4,12.0,0.0,13.2,7.8,0.6,0.6,0.2,0.6,0.2,1.8,5.67,7.67,0.0,13.0,5.67,1.0,1.33,1.67,0.0,0.67,0.33,6.0,10.0,0.0,11.67,7.0,0.33,0.67,0.0,0.67,0.33,2.0,2.683,6.058,0.0,1.673,1.924,0.894,0.837,0.447,0.0,0.548,0.548,2.302,3.937,0.0,3.834,2.49,0.894,0.548,0.447,0.548,0.447,0.447,2.309,2.309,0.0,2.0,2.309,0.0,0.577,0.577,0.0,0.577,0.577,2.646,4.0,0.0,0.577,1.0,0.577,0.577,0.0,0.577,0.577,0.0,4.8,9.2,0.0,9.4,5.2,1.6,0.4,0.4,0.2,0.6,0.2,4.8,13.0,0.2,7.2,3.4,0.2,0.0,0.2,0.8,0.0,2.0,6.67,6.33,0.0,11.0,6.33,1.67,0.33,0.0,0.33,0.67,0.0,5.0,13.0,0.33,5.67,1.67,0.0,0.0,0.0,1.0,0.0,2.33,3.033,6.686,0.0,4.393,3.114,1.14,0.548,0.548,0.447,0.548,0.447,0.837,3.536,0.447,2.168,2.702,0.447,0.0,0.447,0.447,0.0,1.225,2.082,4.041,0.0,5.292,3.512,0.577,0.577,0.0,0.577,0.577,0.0,1.0,3.0,0.577,0.577,1.528,0.0,0.0,0.0,0.0,0.0,1.528,Man City,2.21,3.26,3.19,2009-01-31,E0,0.0,1.0,H,H,Stoke,,,,3.19,,0.324062854052,0.358044415712,0.317892789841,0.344453253412,0.290704898018,0.36484184857,0.508126903552,0.359054251009,0.132818845439,0.394586515947,0.318920239457,0.286493244596,0.306153846154,0.286153846154,0.407692307692,2
409,11342,5.4,12.0,0.2,12.2,7.6,2.8,1.4,1.0,0.4,0.4,0.2,5.2,12.0,0.0,12.6,7.0,1.0,0.4,0.4,0.2,0.4,1.2,5.0,11.33,0.33,11.67,7.33,3.33,0.67,1.67,0.0,0.67,0.33,4.33,13.0,0.0,9.67,7.0,0.0,0.67,0.0,0.33,0.67,1.33,3.209,3.162,0.447,4.97,4.393,1.483,1.342,1.414,0.548,0.548,0.447,3.421,3.808,0.0,5.857,4.301,1.414,0.548,0.548,0.447,0.548,1.304,2.0,3.055,0.577,6.658,6.11,1.528,1.155,1.528,0.0,0.577,0.577,2.887,3.606,0.0,4.509,4.583,0.0,0.577,0.0,0.577,0.577,1.528,3.8,9.6,0.0,6.6,4.0,1.8,0.6,1.2,0.0,0.8,0.2,10.8,10.0,0.0,17.6,7.6,0.4,0.6,0.0,0.8,0.2,1.0,3.67,11.67,0.0,6.67,3.67,2.67,1.0,2.0,0.0,0.67,0.33,9.33,12.67,0.0,16.33,7.67,0.67,1.0,0.0,0.67,0.33,1.33,0.837,3.782,0.0,1.817,1.871,1.304,0.894,1.304,0.0,0.447,0.447,5.541,5.657,0.0,5.128,1.817,0.894,0.894,0.0,0.447,0.447,1.225,0.577,3.512,0.0,2.517,2.082,0.577,1.0,1.0,0.0,0.577,0.577,6.11,6.028,0.0,6.658,2.517,1.155,1.0,0.0,0.577,0.577,1.528,Chelsea,2.95,3.09,2.43,2009-02-01,E0,0.0,2.0,H,D,Liverpool,,,,2.43,,0.210391864181,0.282217592001,0.50739055872,0.215064919572,0.251828042184,0.533107038244,0.016901665753,0.115413190213,0.867685144034,0.205633958297,0.239873907273,0.55449213443,0.243076923077,0.249230769231,0.507692307692,2
410,11343,5.0,10.0,0.0,9.0,4.8,2.6,1.4,1.4,0.4,0.2,0.4,7.4,10.8,0.2,15.2,8.0,0.2,1.0,0.0,0.4,0.6,1.6,5.0,11.0,0.0,11.0,5.33,3.0,1.67,1.67,0.33,0.33,0.33,5.33,12.33,0.33,11.0,5.67,0.33,1.33,0.0,0.33,0.67,1.33,3.391,1.871,0.0,4.69,1.643,1.949,1.673,0.894,0.548,0.447,0.548,3.578,5.45,0.447,7.19,4.416,0.447,0.707,0.0,0.548,0.548,1.342,2.646,1.732,0.0,3.606,0.577,1.732,2.082,1.155,0.577,0.577,0.577,3.055,7.095,0.577,2.646,2.517,0.577,0.577,0.0,0.577,0.577,1.528,6.4,13.0,0.2,12.8,8.0,1.4,2.4,1.8,0.2,0.6,0.2,5.2,9.0,0.0,12.8,7.6,1.0,1.0,0.4,0.4,0.2,1.4,6.33,12.0,0.0,13.33,9.67,1.0,2.67,1.67,0.33,0.33,0.33,5.33,8.67,0.0,12.67,7.67,1.33,1.0,0.33,0.67,0.0,2.0,3.286,4.528,0.447,2.387,3.391,1.14,1.517,0.447,0.447,0.548,0.447,1.789,1.225,0.0,5.933,3.05,0.707,0.707,0.548,0.548,0.447,1.14,3.055,5.568,0.0,3.215,3.215,1.0,2.082,0.577,0.577,0.577,0.577,2.309,1.528,0.0,7.371,4.041,0.577,0.0,0.577,0.577,0.0,1.0,Sunderland,2.83,3.17,2.48,2009-02-01,E0,1.0,1.0,D,A,Newcastle,,,,3.17,,0.325095921755,0.274333447218,0.400570601225,0.291773976696,0.264640518675,0.443585504629,0.706094956329,0.222821814391,0.0710832292799,0.342393311405,0.273387221321,0.384219467274,0.298461538462,0.278461538462,0.423076923077,1
411,11378,5.6,12.2,0.2,7.0,3.4,1.6,1.6,0.6,1.0,0.0,0.0,10.2,11.8,0.2,12.6,7.4,0.4,0.4,0.2,0.6,0.2,2.2,5.33,11.67,0.33,6.67,2.67,2.0,1.33,0.33,1.0,0.0,0.0,11.33,11.33,0.33,11.33,5.67,0.33,0.33,0.33,0.33,0.33,2.33,0.548,4.025,0.447,2.55,1.14,0.548,0.894,0.894,0.0,0.0,0.0,3.962,4.324,0.447,4.278,3.647,0.548,0.548,0.447,0.548,0.447,1.095,0.577,4.726,0.577,2.517,0.577,0.0,0.577,0.577,0.0,0.0,0.0,4.933,2.517,0.577,4.933,2.517,0.577,0.577,0.577,0.577,0.577,1.528,5.0,10.6,0.2,11.2,4.2,2.4,1.4,2.2,0.2,0.4,0.4,4.0,12.6,0.0,10.4,6.8,0.4,0.8,0.2,0.4,0.4,1.8,4.0,11.0,0.33,10.67,3.67,2.67,1.33,2.33,0.0,0.67,0.33,4.0,13.0,0.0,11.67,7.33,0.67,0.33,0.33,0.33,0.33,2.33,1.581,2.074,0.447,2.168,1.304,1.14,1.342,0.837,0.447,0.548,0.548,1.581,1.14,0.0,2.966,3.701,0.894,1.304,0.447,0.548,0.548,1.095,1.0,2.646,0.577,2.082,1.155,1.528,1.155,0.577,0.0,0.577,0.577,2.0,1.0,0.0,3.055,4.163,1.155,0.577,0.577,0.577,0.577,0.577,Aston Villa,2.44,3.22,2.83,2009-02-07,E0,2.0,0.0,A,A,Blackburn,,,,2.44,,0.283708661795,0.321102052927,0.395189315081,0.243178025939,0.289143154111,0.467678819951,0.132831938414,0.503009970702,0.364158090884,0.268142813379,0.287716351938,0.444140834682,0.22,0.266153846154,0.513846153846,0
412,11379,5.0,16.6,0.0,10.0,6.2,3.2,0.8,2.4,0.0,0.4,0.6,7.4,13.8,0.0,17.6,9.8,0.6,1.8,0.2,0.2,0.6,1.4,6.0,18.33,0.0,11.67,7.67,3.33,0.33,3.0,0.0,0.0,1.0,8.0,13.33,0.0,18.67,11.33,0.0,2.33,0.0,0.0,1.0,0.67,2.915,6.768,0.0,4.796,5.167,1.483,0.837,1.517,0.0,0.548,0.548,2.51,2.387,0.0,7.956,4.868,0.894,1.483,0.447,0.447,0.548,1.342,3.606,6.658,0.0,5.774,6.658,2.082,0.577,1.732,0.0,0.0,0.0,3.0,2.082,0.0,9.292,5.686,0.0,1.528,0.0,0.0,0.0,1.155,3.6,15.8,0.0,6.0,3.2,1.4,0.8,1.6,0.2,0.2,0.6,7.4,10.0,0.0,22.8,13.2,0.2,0.6,0.2,0.4,0.4,1.2,4.0,14.33,0.0,5.67,2.67,1.67,0.33,2.0,0.0,0.0,1.0,8.33,6.33,0.0,27.67,16.33,0.0,0.67,0.0,0.67,0.33,0.33,1.14,5.31,0.0,2.121,2.168,1.342,0.837,0.548,0.447,0.447,0.548,2.702,5.339,0.0,9.121,6.14,0.447,0.894,0.447,0.548,0.548,1.304,1.0,6.658,0.0,1.528,2.082,1.528,0.577,0.0,0.0,0.0,0.0,1.528,0.577,0.0,8.083,5.132,0.0,1.155,0.0,0.577,0.577,0.577,Hull,14.58,5.93,1.2,2009-02-07,E0,0.0,0.0,D,D,Chelsea,,,,5.93,,0.173818424344,0.226523026824,0.599658548832,0.136526914824,0.191422445991,0.672050639184,5.07579329882e-06,0.000976886068368,0.999018038138,0.0910058474735,0.168170915575,0.740823236951,0.153846153846,0.218461538462,0.627692307692,1
