,league,season,historical_training_year,features,ll,acc,prec_A,prec_D,prec_H,rec_A,rec_D,rec_H,f1_A,f1_D,f1_H,bet_all,bet_lte_19,bet_lte_4,bet_btw_19_4,bet_btw_19_5,bet_btw_15_4,bet_btw_15_5
0,D1,2014,9,best_features_NB,1.36813313391,0.484126984127,0.382716049383,0.375,0.568345323741,0.455882352941,0.196721311475,0.642276422764,0.41610738255,0.258064516129,0.603053435115,-0.037380952381,-0.0795238095238,-0.0426907630522,-0.00895104895105,0.00641379310345,-0.0197448979592,-0.00838383838384
1,D1,2014,9,all_five_nostd_features,1.52197593284,0.460317460317,0.41095890411,0.225,0.553956834532,0.441176470588,0.147540983607,0.626016260163,0.425531914894,0.178217821782,0.587786259542,-0.077380952381,-0.0720792079208,-0.110612244898,-0.131608391608,-0.102094594595,-0.105282051282,-0.0841
2,D1,2014,9,best_features_NB_reduce,1.37177566605,0.47619047619,0.375,0.352941176471,0.565217391304,0.441176470588,0.196721311475,0.634146341463,0.405405405405,0.252631578947,0.597701149425,-0.0523412698413,-0.0873076923077,-0.0616,-0.0366896551724,-0.0144520547945,-0.0438578680203,-0.0274242424242
3,D1,2015,9,best_features_NB,1.45264513633,0.452674897119,0.377777777778,0.275,0.575221238938,0.447368421053,0.189655172414,0.596330275229,0.409638554217,0.224489795918,0.585585585586,-0.0993827160494,-0.0193939393939,-0.101882845188,-0.160214285714,-0.148461538462,-0.113689839572,-0.105578947368
4,D1,2015,9,all_five_nostd_features,1.55470955171,0.452674897119,0.389473684211,0.230769230769,0.587155963303,0.486842105263,0.155172413793,0.587155963303,0.432748538012,0.185567010309,0.587155963303,-0.0825514403292,-0.0336842105263,-0.0903389830508,-0.128510638298,-0.107891156463,-0.0990760869565,-0.0840526315789
5,D1,2015,9,best_features_NB_reduce,1.43664437855,0.452674897119,0.380434782609,0.264705882353,0.564102564103,0.460526315789,0.155172413793,0.605504587156,0.416666666667,0.195652173913,0.58407079646,-0.10037037037,-0.00938775510204,-0.118403361345,-0.194714285714,-0.156041666667,-0.134892473118,-0.106842105263
6,D1,2016,9,best_features_NB,1.57274829821,0.461538461538,0.425287356322,0.208333333333,0.584,0.528571428571,0.15625,0.579365079365,0.471337579618,0.178571428571,0.581673306773,-0.0261538461538,-0.1342,-0.0270916334661,0.0438410596026,0.0545569620253,-0.00285714285714,0.0067619047619
7,D1,2016,9,all_five_nostd_features,1.69804961153,0.461538461538,0.411764705882,0.190476190476,0.578947368421,0.5,0.125,0.611111111111,0.451612903226,0.150943396226,0.594594594595,-0.0361538461538,-0.109142857143,-0.050905511811,-0.00986577181208,0.0198701298701,-0.0278536585366,-0.00561904761905
8,D1,2016,9,best_features_NB_reduce,1.53755348878,0.465384615385,0.417582417582,0.209302325581,0.587301587302,0.542857142857,0.140625,0.587301587302,0.472049689441,0.168224299065,0.587301587302,-0.0261153846154,-0.119803921569,-0.0270517928287,0.0364429530201,0.0476282051282,-0.0028078817734,0.00680952380952
9,E0,2014,9,best_features_NB,1.31199125912,0.528125,0.446153846154,0.277777777778,0.616279069767,0.604166666667,0.0694444444444,0.697368421053,0.513274336283,0.111111111111,0.654320987654,0.03840625,0.0705960264901,0.0332475884244,-0.0129487179487,-0.0348170731707,0.0255510204082,0.0101581027668
