,INFO_Div,INFO_Date,probs_A,probs_D,probs_H,probs,prob_less_bet,pred,INFO_FTR,INFO_ODD_BET,WIN,WIN_P
2822,E2,2010-03-13,0.365708341443,0.285655492057,0.348636166501,0.365708341443,-0.0424549238633,A,H,2.45,-1.0,-1.0
2823,E2,2015-04-11,0.218005723144,0.267434413911,0.514559862944,0.514559862944,-0.0536219552377,H,H,1.76,0.76,0.78
2824,F1,2013-12-14,0.507017857213,0.277965858847,0.21501628394,0.507017857213,-0.0485376983426,A,A,1.8,0.8,0.83
2825,SP1,2015-11-22,0.127815240094,0.230699155668,0.641485604238,0.641485604238,-0.0164091326042,H,D,1.52,-1.0,-1.0
2826,D1,2010-12-18,0.53043619209,0.256970611153,0.212593196757,0.53043619209,-0.0345355593222,A,H,1.77,-1.0,-1.0
2827,E2,2012-12-08,0.277882567154,0.25842477364,0.463692659206,0.463692659206,-0.00579090886903,H,A,2.13,-1.0,-1.0
2828,E1,2011-02-12,0.164945290499,0.25750065435,0.577554055152,0.577554055152,-0.0397298954655,H,H,1.62,0.62,
2829,E1,2011-04-30,0.214893737455,0.26579048473,0.519315777814,0.519315777814,-0.0488660403674,H,H,1.76,0.76,
2830,I1,2012-05-02,0.527003443717,0.279187733017,0.193808823267,0.527003443717,-0.0543919051206,A,A,1.72,0.72,
2831,E0,2013-01-01,0.0748065270869,0.190505888093,0.73468758482,0.73468758482,-0.0115810718965,H,H,1.34,0.34,0.35
2832,E0,2013-12-26,0.597695537543,0.240740532454,0.161563930003,0.597695537543,-0.0433301034827,A,A,1.56,0.56,0.57
2833,F1,2011-03-06,0.262726691252,0.323471197118,0.41380211163,0.41380211163,-0.0692896758099,H,A,2.07,-1.0,-1.0
2834,D1,2012-03-31,0.714350127535,0.173887350981,0.111762521484,0.714350127535,-0.0209439901119,A,A,1.36,0.36,
2835,E2,2010-04-10,0.32508749456,0.268213095281,0.406699410159,0.406699410159,-0.0206510171918,H,H,2.34,1.34,
2836,I1,2013-01-06,0.0664653983952,0.187090156422,0.746444445183,0.746444445183,-0.0111313123928,H,H,1.32,0.32,0.35
2837,SC0,2016-01-22,0.151853203798,0.21511947984,0.633027316362,0.633027316362,-0.0205674548796,H,H,1.53,0.53,0.58
2838,I1,2009-11-29,0.199144960564,0.287896860927,0.512958178509,0.512958178509,-0.0488395742998,H,H,1.78,0.78,
2839,SP1,2015-04-12,0.425566578233,0.255650295201,0.318783126566,0.425566578233,-0.0506238979574,A,D,2.1,-1.0,-1.0
2840,F1,2009-12-20,0.419121210292,0.296213587554,0.284665202153,0.419121210292,-0.0459950687776,A,D,2.15,-1.0,-1.0
2841,SC0,2014-02-15,0.237389646473,0.273350980776,0.489259372751,0.489259372751,-0.0315739605827,H,H,1.92,0.92,0.96
2842,SP1,2014-03-27,0.419732991452,0.288834853889,0.291432154659,0.419732991452,-0.032755696331,A,A,2.21,1.21,1.21
2843,E1,2014-03-01,0.143661673524,0.228253120167,0.628085206309,0.628085206309,-0.0170760840131,H,D,1.55,-1.0,-1.0
2844,SP1,2017-01-22,0.63800061115,0.189874692364,0.172124696486,0.63800061115,-0.0155941600916,A,A,1.53,0.53,0.55
2845,D1,2014-04-19,0.684590118906,0.175488678997,0.139921202097,0.684590118906,-0.0246297392499,A,A,1.41,0.41,0.44
2846,SC0,2016-11-26,0.292559734463,0.295408789021,0.412031476515,0.412031476515,-0.0710603109245,H,D,2.07,-1.0,-1.0
2847,SC0,2014-02-22,0.299035192035,0.292762973346,0.408201834619,0.408201834619,-0.0505137617113,H,H,2.18,1.18,1.22
2848,F1,2012-02-25,0.22199308402,0.278386189217,0.499620726763,0.499620726763,-0.00289183605099,H,H,1.99,0.99,
2849,SC0,2016-02-27,0.152430221207,0.212456071024,0.635113707769,0.635113707769,-0.0100475825537,H,H,1.55,0.55,0.58
