,Date,Div,HomeTeam,AwayTeam,pred,probs,prob_less_bet,H-A,INFO_ODD_BET
3,16/12/2017 15:00,E1,Brentford,Barnsley,H,0.460938073486,-0.167992744124,1.6,1.59
4,16/12/2017 15:00,E1,Bristol City,Nott'm Forest,H,0.418838926788,-0.110261602312,0.8,1.89
11,16/12/2017 17:30,E1,Cardiff,Hull,H,0.456960668633,-0.117751975045,1.6,1.74
