,Date,Div,HomeTeam,AwayTeam,pred,probs,prob_less_bet,H-A,INFO_ODD_BET
0,18/11/2017 12:30,E0,Arsenal,Tottenham,H,0.577970636923,0.163032877587,2.22044604925e-16,2.41
2,18/11/2017 15:00,E0,Burnley,Swansea,H,0.524391899794,0.0526937865862,0.2,2.12
3,18/11/2017 15:00,E0,Crystal Palace,Everton,H,0.501441492077,0.0830314502357,0.6,2.39
9,20/11/2017 20:00,E0,Brighton,Stoke,H,0.463198730447,0.044788688606,1.4,2.39
5,18/11/2017 15:00,E1,Norwich,Barnsley,H,0.390349740377,-0.194445581261,-1.2,1.71
7,18/11/2017 15:00,E1,Reading,Wolves,A,0.369678950353,-0.159421578747,-1.2,1.89
12,21/11/2017 19:45,E1,Aston Villa,Sunderland,H,0.442220457664,-0.178897554758,1.2,1.61
14,21/11/2017 19:45,E1,Brentford,Burton,H,0.479978327882,-0.182273327748,0.8,1.51
15,21/11/2017 19:45,E1,Bristol City,Preston,H,0.462633708983,-0.0750006996192,0.8,1.86
16,21/11/2017 19:45,E1,Derby,QPR,H,0.447191695005,-0.130842987076,2.4,1.73
2,18/11/2017 15:00,E2,Charlton,Milton Keynes Dons,H,0.545742032346,0.0109826740571,0.4,1.87
8,18/11/2017 15:00,E2,Portsmouth,Southend,H,0.503766549771,-0.0225492397031,2.0,1.9
10,18/11/2017 15:00,E2,Walsall,Gillingham,H,0.466526601633,-0.0489373158925,0.0,1.94
11,18/11/2017 15:00,E2,Wigan,Bradford,H,0.412389060473,-0.204894890144,0.8,1.62
1,18/11/2017 14:30,D1,Mainz,FC Koln,H,0.513276948481,0.0206661110428,2.6,2.03
2,18/11/2017 14:30,D1,Leverkusen,RB Leipzig,H,0.596895875356,0.148465382082,1.4,2.23
4,18/11/2017 14:30,D1,Hoffenheim,Ein Frankfurt,H,0.402260416658,-0.0543605879083,2.22044604925e-16,2.19
5,18/11/2017 14:30,D1,Wolfsburg,Freiburg,H,0.605816892151,-0.00393920540948,3.0,1.64
6,18/11/2017 17:30,D1,Hertha,M'gladbach,H,0.393767545769,0.0513017923446,0.2,2.92
1,17/11/2017 19:45,F1,Amiens,Monaco,A,0.409635906058,-0.248258830784,-0.4,1.52
2,18/11/2017 16:00,F1,Paris SG,Nantes,H,0.603832262649,-0.305258646442,2.8,1.1
8,19/11/2017 16:00,F1,Lyon,Montpellier,H,0.394837210433,-0.324587249999,0.8,1.39
0,18/11/2017 17:00,I1,Roma,Lazio,H,0.447291355023,0.00284691057886,-0.8,2.25
3,19/11/2017 14:00,I1,Benevento,Sassuolo,A,0.423229180563,-0.0507044687258,-1.4,2.11
5,19/11/2017 14:00,I1,Spal,Fiorentina,A,0.554490764603,0.0336574312696,-1.6,1.92
9,20/11/2017 19:45,I1,Verona,Bologna,A,0.34318582551,-0.0459192328557,-1.4,2.57
2,18/11/2017 15:00,SC0,Dundee,Kilmarnock,A,0.384280041954,0.038259280708,-0.8,2.89
