,Date,Div,HomeTeam,AwayTeam,pred,probs,prob_less_bet,H-A,INFO_ODD_BET
5,22/10/2017 13:00,I1,Benevento,Fiorentina,A,0.548533945868,-0.0764660541321,-1.75,1.6
7,22/10/2017 13:00,I1,Torino,Roma,A,0.478756110286,-0.021243889714,-1.33,2.0
8,22/10/2017 16:00,I1,Udinese,Juventus,A,0.517122934592,-0.177321509852,-0.58,1.44
14,25/10/2017 18:45,I1,Bologna,Lazio,A,0.544494995294,-0.0269335761343,-2.0,1.75
