,Date,Div,HomeTeam,AwayTeam,pred,probs,prob_less_bet,H-A,INFO_ODD_BET
5,16/12/2017 15:00,E0,Watford,Huddersfield,H,0.599893937252,0.0349221858394,3.2,1.77
6,16/12/2017 17:30,E0,Man City,Tottenham,H,0.675683551475,0.0305222611525,2.4,1.55
9,18/12/2017 20:00,E0,Everton,Swansea,H,0.604583308231,0.0265486261502,1.8,1.73
3,16/12/2017 15:00,E1,Brentford,Barnsley,H,0.460938073486,-0.167992744124,1.6,1.59
4,16/12/2017 15:00,E1,Bristol City,Nott'm Forest,H,0.418838926788,-0.110261602312,0.8,1.89
11,16/12/2017 17:30,E1,Cardiff,Hull,H,0.456960668633,-0.117751975045,1.6,1.74
1,16/12/2017 15:00,E2,Blackburn,Charlton,H,0.414663968961,-0.150307782451,0.8,1.77
6,16/12/2017 15:00,E2,Portsmouth,Bury,H,0.393744350489,-0.205058044721,1.0,1.67
8,16/12/2017 15:00,E2,Rotherham,Plymouth,H,0.590807232092,-0.0303107803308,-0.4,1.61
9,16/12/2017 15:00,E2,Scunthorpe,Milton Keynes Dons,H,0.546280609829,0.0143657162117,1.2,1.88
0,15/12/2017 20:00,SP1,Sevilla,Levante,H,0.595452004202,-0.162123753374,1.8,1.32
3,16/12/2017 19:45,SP1,Ath Madrid,Alaves,H,0.502242465816,-0.317429665332,1.2,1.22
7,17/12/2017 19:45,SP1,Barcelona,La Coruna,H,0.701366955307,-0.216064237354,3.0,1.09
0,15/12/2017 19:30,D1,M'gladbach,Hamburg,H,0.46510851064,-0.0843420388102,1.4,1.82
1,16/12/2017 14:30,D1,FC Koln,Wolfsburg,H,0.370066971366,0.0907373624279,-1.0,3.58
3,16/12/2017 14:30,D1,Augsburg,Freiburg,H,0.628614583942,0.0636428325297,2.8,1.77
4,16/12/2017 14:30,D1,Werder Bremen,Mainz,H,0.419199747993,-0.0936207648275,1.4,1.95
8,17/12/2017 17:00,D1,RB Leipzig,Hertha,H,0.578125413458,-0.0468745865425,0.8,1.6
1,16/12/2017 16:00,F1,Rennes,Paris SG,A,0.414905400086,-0.385094599914,-0.4,1.25
4,16/12/2017 19:00,F1,Montpellier,Metz,H,0.499375968266,-0.185555538583,2.2,1.46
9,17/12/2017 20:00,F1,Lyon,Marseille,H,0.383635518549,-0.108975318889,-0.4,2.03
11,20/12/2017 19:50,F1,Monaco,Rennes,H,0.465981328626,-0.228463115818,1.8,1.44
13,20/12/2017 19:50,F1,Bordeaux,Montpellier,H,0.389941847346,-0.139158681755,0.2,1.89
15,20/12/2017 19:50,F1,Toulouse,Lyon,A,0.425208093352,-0.156187255485,-3.4,1.72
18,20/12/2017 19:50,F1,Paris SG,Caen,H,0.69085884702,-0.235067078906,4.2,1.08
1,16/12/2017 17:00,I1,Torino,Napoli,A,0.614055469448,0.0152530742389,-0.8,1.67
3,17/12/2017 11:30,I1,Verona,Milan,A,0.528872444127,-0.100058373483,-1.6,1.59
5,17/12/2017 14:00,I1,Bologna,Juventus,A,0.468212488988,-0.221442683426,-0.8,1.45
9,17/12/2017 19:45,I1,Atalanta,Lazio,H,0.380563221449,-0.0413777068215,-0.2,2.37
3,16/12/2017 15:00,SC0,Hamilton,Ross County,A,0.376833326723,0.0259561337406,-0.2,2.85
4,16/12/2017 15:00,SC0,Kilmarnock,Motherwell,A,0.442911164244,0.0980835780375,-1.2,2.9
