,Date,Div,HomeTeam,AwayTeam,pred,probs,prob_less_bet,H-A,INFO_ODD_BET
3,29/11/2017 18:00,F1,Angers,Rennes,H,0.357490274389,-0.12327895638,-1.4,2.08
5,29/11/2017 18:00,F1,Metz,Marseille,A,0.379569211671,-0.282682443958,-3.2,1.51
8,29/11/2017 18:00,F1,Lyon,Lille,H,0.516179459043,-0.241396298533,1.8,1.32
9,29/11/2017 20:00,F1,Paris SG,Troyes,H,0.682979691516,-0.269401260865,3.6,1.05
11,02/12/2017 16:00,F1,Strasbourg,Paris SG,A,0.42816372819,-0.426537126511,-1.6,1.17
13,02/12/2017 19:00,F1,Monaco,Angers,H,0.498966530446,-0.225671150713,2.2,1.38
14,02/12/2017 19:00,F1,Nice,Metz,H,0.482718360771,-0.188422578826,-0.6,1.49
18,03/12/2017 16:00,F1,Caen,Lyon,A,0.397030050999,-0.134884842618,-2.4,1.88
