,Date,Div,HomeTeam,AwayTeam,pred,probs,prob_less_bet,H-A,INFO_ODD_BET
3,09/12/2017 15:00,E0,Huddersfield,Brighton,H,0.439841764248,0.0624832736817,-0.6,2.65
4,09/12/2017 15:00,E0,Swansea,West Brom,H,0.531816939983,0.155877090359,0.6,2.66
13,13/12/2017 19:45,E0,Newcastle,Everton,H,0.459372111061,0.0356432975017,1.4,2.36
1,09/12/2017 15:00,E1,Aston Villa,Millwall,H,0.495005604022,-0.0731762141594,1.4,1.76
4,09/12/2017 15:00,E1,Fulham,Birmingham,H,0.547327758861,-0.0514746363483,2.0,1.67
6,09/12/2017 15:00,E1,Middlesbrough,Ipswich,H,0.439586410803,-0.159215984406,0.2,1.67
7,09/12/2017 15:00,E1,Nott'm Forest,Bolton,H,0.489488090324,-0.0569599971081,2.2,1.83
9,09/12/2017 15:00,E1,Wolves,Sunderland,H,0.446759005359,-0.299509651357,2.4,1.34
1,09/12/2017 15:00,E2,Bradford,Rochdale,H,0.465002288971,-0.0531324260547,0.4,1.93
6,09/12/2017 15:00,E2,Oldham,Northampton,H,0.480173361671,-0.0326471511497,0.8,1.95
0,08/12/2017 19:30,D1,Stuttgart,Leverkusen,H,0.518368746195,0.200908428735,0.4,3.15
3,09/12/2017 14:30,D1,Hamburg,Wolfsburg,H,0.53470757813,0.142550715385,0.6,2.55
6,10/12/2017 12:30,D1,FC Koln,Freiburg,H,0.448068906616,0.00754027225495,1.4,2.27
8,10/12/2017 17:00,D1,Augsburg,Hertha,H,0.49118178164,-0.0242821358858,-0.2,1.94
9,12/12/2017 17:30,D1,Wolfsburg,RB Leipzig,H,0.51505066692,0.192470021759,1.8,3.1
11,12/12/2017 19:30,D1,Hamburg,Ein Frankfurt,H,0.443033971537,0.0584185869216,0.0,2.6
12,12/12/2017 19:30,D1,Freiburg,M'gladbach,H,0.423402226922,0.138501942022,0.6,3.51
13,13/12/2017 17:30,D1,Hoffenheim,Stuttgart,H,0.55734507862,0.0310292891461,1.8,1.9
16,13/12/2017 19:30,D1,Schalke 04,Augsburg,H,0.583854223123,0.0282986675677,0.4,1.8
17,13/12/2017 19:30,D1,Hertha,Hannover,H,0.488882691367,-0.0136298714469,0.6,1.99
1,09/12/2017 16:00,F1,Paris SG,Lille,H,0.669837767642,-0.21511798457,3.4,1.13
3,09/12/2017 19:00,F1,Monaco,Troyes,H,0.571336765129,-0.186238992447,2.4,1.32
5,09/12/2017 19:00,F1,Metz,Rennes,A,0.340082810255,-0.114462644291,-1.8,2.2
7,10/12/2017 14:00,F1,Amiens,Lyon,A,0.489539961895,-0.112869676659,-2.6,1.66
2,10/12/2017 11:30,I1,Chievo,Roma,A,0.580646965067,-0.0291091324936,-1.8,1.64
7,10/12/2017 19:45,I1,Milan,Bologna,H,0.478415798824,-0.179478938018,-0.6,1.52
8,11/12/2017 18:00,I1,Genoa,Atalanta,A,0.468349728474,0.0516830618077,0.2,2.4
2,09/12/2017 15:00,SC0,Hamilton,St Johnstone,A,0.375877294202,0.00134545899556,0.2,2.67
