,Date,Div,HomeTeam,AwayTeam,pred,probs,prob_less_bet,H-A,INFO_ODD_BET
0,28/11/2017 19:45,E0,Brighton,Crystal Palace,H,0.475068208609,0.0977097180429,3.0,2.65
17,02/12/2017 17:30,E0,Arsenal,Man United,H,0.674966803467,0.282809940722,2.2,2.55
0,28/11/2017 19:45,E1,Derby,Ipswich,H,0.49830602168,-0.0934099546517,1.6,1.69
6,02/12/2017 15:00,E1,Derby,Burton,H,0.463510731449,-0.250774982837,1.0,1.4
10,02/12/2017 15:00,E1,Sheffield Weds,Hull,H,0.49051415146,-0.061972036385,0.8,1.81
0,01/12/2017 19:30,D1,Freiburg,Hamburg,H,0.504374096599,0.101148290147,2.0,2.48
1,02/12/2017 14:30,D1,Mainz,Augsburg,H,0.463570911044,0.0667455142186,0.2,2.52
2,02/12/2017 14:30,D1,Leverkusen,Dortmund,H,0.511854668965,0.084504241615,1.4,2.34
3,02/12/2017 14:30,D1,Bayern Munich,Hannover,H,0.777579655569,-0.0844893099485,3.8,1.16
4,02/12/2017 14:30,D1,Werder Bremen,Stuttgart,H,0.415707727145,-0.0153267556138,0.8,2.32
5,02/12/2017 14:30,D1,Hoffenheim,RB Leipzig,H,0.495002715882,0.167133863423,0.2,3.05
8,03/12/2017 17:00,D1,Wolfsburg,M'gladbach,H,0.428884114498,0.0351833270962,0.2,2.54
3,29/11/2017 18:00,F1,Angers,Rennes,H,0.357490274389,-0.12327895638,-1.4,2.08
5,29/11/2017 18:00,F1,Metz,Marseille,A,0.379569211671,-0.282682443958,-3.2,1.51
8,29/11/2017 18:00,F1,Lyon,Lille,H,0.516179459043,-0.241396298533,1.8,1.32
9,29/11/2017 20:00,F1,Paris SG,Troyes,H,0.682979691516,-0.269401260865,3.6,1.05
11,02/12/2017 16:00,F1,Strasbourg,Paris SG,A,0.42816372819,-0.426537126511,-1.6,1.17
13,02/12/2017 19:00,F1,Monaco,Angers,H,0.498966530446,-0.225671150713,2.2,1.38
14,02/12/2017 19:00,F1,Nice,Metz,H,0.482718360771,-0.188422578826,-0.6,1.49
18,03/12/2017 16:00,F1,Caen,Lyon,A,0.397030050999,-0.134884842618,-2.4,1.88
