,Date,Div,HomeTeam,AwayTeam,pred,probs,prob_less_bet,H-A,INFO_ODD_BET
0,24/11/2017 20:00,E0,West Ham,Leicester,H,0.38019894164,0.0191881113156,-0.6,2.77
1,25/11/2017 15:00,E0,Crystal Palace,Stoke,H,0.52409190322,0.0314810657817,0.6,2.03
4,25/11/2017 15:00,E0,Swansea,Bournemouth,H,0.426607647278,0.0603072809772,0.2,2.73
6,25/11/2017 17:30,E0,Liverpool,Chelsea,H,0.561725426119,0.0900273129115,0.2,2.12
10,28/11/2017 19:45,E0,Brighton,Crystal Palace,H,0.475068208609,0.0813674212074,3.0,2.54
1,25/11/2017 15:00,E1,Aston Villa,Ipswich,H,0.463651682161,-0.149845250355,1.2,1.63
3,25/11/2017 15:00,E1,Fulham,Millwall,H,0.4155672687,-0.130880818731,1.11022302463e-16,1.83
8,25/11/2017 15:00,E1,Wolves,Bolton,H,0.495414112163,-0.256465587086,2.4,1.33
9,25/11/2017 17:30,E1,Sheffield United,Birmingham,H,0.567912241048,-0.0532057713745,3.4,1.61
1,25/11/2017 15:00,E2,Blackburn,Bristol Rvs,H,0.562318615739,-0.00910995568995,1.8,1.75
2,25/11/2017 15:00,E2,Doncaster,Milton Keynes Dons,H,0.487377280974,-0.0620732684768,0.0,1.82
2,25/11/2017 15:15,SP1,Real Madrid,Malaga,H,0.708878482886,-0.21704744304,3.8,1.08
0,24/11/2017 19:30,D1,Hannover,Stuttgart,H,0.546996896253,0.114096463352,2.4,2.31
1,25/11/2017 14:30,D1,Dortmund,Schalke 04,H,0.560499212879,-0.00768260530288,1.6,1.76
2,25/11/2017 14:30,D1,Ein Frankfurt,Leverkusen,H,0.403263585587,0.0273237359627,-0.2,2.66
3,25/11/2017 14:30,D1,Augsburg,Wolfsburg,H,0.507181104797,0.0834522912373,0.4,2.36
4,25/11/2017 14:30,D1,RB Leipzig,Werder Bremen,H,0.570785539008,-0.095881127659,1.4,1.5
5,25/11/2017 14:30,D1,Freiburg,Mainz,H,0.415911492018,0.0535926514381,1.4,2.76
8,26/11/2017 17:00,D1,FC Koln,Hertha,H,0.361854849693,-0.03975157601,-0.8,2.49
0,25/11/2017 14:00,I1,Bologna,Sampdoria,A,0.378460864164,0.0134973605144,-0.2,2.74
3,25/11/2017 19:45,I1,Cagliari,Inter,A,0.512063802742,-0.0939968033181,-1.2,1.65
6,26/11/2017 14:00,I1,Udinese,Napoli,A,0.628861167767,-0.0957765133923,-1.4,1.38
