,Date,Div,HomeTeam,AwayTeam,pred,probs,prob_less_bet,H-A,INFO_ODD_BET
7,02/12/2017 17:30,E0,Arsenal,Man United,H,0.674510545229,0.266347279923,2.2,2.45
8,03/12/2017 13:30,E0,Bournemouth,Southampton,H,0.424234298975,0.0782135377293,1.4,2.89
4,02/12/2017 15:00,E1,Derby,Burton,H,0.467039963921,-0.237185388191,0.8,1.42
8,02/12/2017 15:00,E1,Sheffield Weds,Hull,H,0.49051415146,-0.0529641094093,0.8,1.84
11,04/12/2017 19:45,E1,Birmingham,Wolves,A,0.371700336097,-0.196481482085,-0.8,1.76
1,02/12/2017 12:00,SP1,Barcelona,Celta,H,0.668984190981,-0.215971561231,2.4,1.13
9,04/12/2017 20:00,SP1,Girona,Alaves,H,0.469471586637,-0.144025345879,0.2,1.63
0,01/12/2017 19:30,D1,Freiburg,Hamburg,H,0.504374096599,0.102767670896,2.0,2.49
1,02/12/2017 14:30,D1,Mainz,Augsburg,H,0.463570911044,0.065164536542,0.2,2.51
2,02/12/2017 14:30,D1,Leverkusen,Dortmund,H,0.511854668965,0.084504241615,1.4,2.34
3,02/12/2017 14:30,D1,Bayern Munich,Hannover,H,0.777579655569,-0.0996133268874,3.8,1.14
4,02/12/2017 14:30,D1,Werder Bremen,Stuttgart,H,0.415707727145,-0.0134768222114,0.8,2.33
5,02/12/2017 14:30,D1,Hoffenheim,RB Leipzig,H,0.495002715882,0.175513897991,0.2,3.13
8,03/12/2017 17:00,D1,Wolfsburg,M'gladbach,H,0.428884114498,0.0427837283974,0.2,2.59
1,02/12/2017 16:00,F1,Strasbourg,Paris SG,A,0.43547620214,-0.41922465256,-1.4,1.17
3,02/12/2017 19:00,F1,Monaco,Angers,H,0.498966530446,-0.225671150713,2.2,1.38
4,02/12/2017 19:00,F1,Nice,Metz,H,0.482718360771,-0.206936811643,-0.6,1.45
8,03/12/2017 16:00,F1,Caen,Lyon,A,0.397030050999,-0.155456136846,-2.4,1.81
9,04/12/2017 20:00,I1,Verona,Genoa,A,0.403751513787,-0.0507939407585,-0.8,2.2
