,Date,Div,HomeTeam,AwayTeam,pred,probs,prob_less_bet,H-A,INFO_ODD_BET
0,15/12/2017 20:00,SP1,Sevilla,Levante,H,0.595452004202,-0.162123753374,1.8,1.32
3,16/12/2017 19:45,SP1,Ath Madrid,Alaves,H,0.502242465816,-0.317429665332,1.2,1.22
7,17/12/2017 19:45,SP1,Barcelona,La Coruna,H,0.701366955307,-0.216064237354,3.0,1.09
