,Date,Div,HomeTeam,AwayTeam,pred,probs,prob_less_bet,H-A,INFO_ODD_BET
1,04/11/2017 12:00,SP1,Valencia,Leganes,H,0.544907683145,-0.117343972485,1.6,1.51
4,04/11/2017 19:45,SP1,Barcelona,Sevilla,H,0.728910052901,-0.104423280432,4.4,1.2
9,05/11/2017 19:45,SP1,Real Madrid,Las Palmas,H,0.701820665374,-0.232758773879,2.2,1.07
1,04/11/2017 14:30,D1,M'gladbach,Mainz,H,0.55956187827,-0.0501942192911,1.55,1.64
2,04/11/2017 14:30,D1,Augsburg,Leverkusen,H,0.459013794508,0.160506331822,0.6,3.35
4,04/11/2017 14:30,D1,RB Leipzig,Hannover,H,0.658033555536,-0.0176421201398,1.05,1.48
6,04/11/2017 17:30,D1,Dortmund,Bayern Munich,H,0.496374617037,0.204829427532,1.95,3.43
8,05/11/2017 17:00,D1,Wolfsburg,Hertha,H,0.42721542624,-0.0653954111986,0.15,2.03
1,04/11/2017 16:00,F1,Angers,Paris SG,A,0.514577469343,-0.31875586399,-2.0,1.2
3,04/11/2017 19:00,F1,Monaco,Guingamp,H,0.556517891914,-0.13792655253,3.0,1.44
5,04/11/2017 19:00,F1,Montpellier,Amiens,H,0.433551934477,-0.128245818332,0.8,1.78
8,05/11/2017 16:00,F1,Marseille,Caen,H,0.500142906903,-0.170998032695,0.8,1.49
1,04/11/2017 19:45,I1,Genoa,Sampdoria,A,0.393532525485,0.00137566274022,-0.2,2.55
3,05/11/2017 14:00,I1,Fiorentina,Roma,A,0.385021693672,-0.0478787392283,-1.2,2.31
9,05/11/2017 19:45,I1,Sassuolo,Milan,A,0.519662583918,0.0501790158432,-0.8,2.13
