,Date,Div,HomeTeam,AwayTeam,pred,probs,prob_less_bet,H-A,INFO_ODD_BET
0,01/12/2017 19:30,D1,Freiburg,Hamburg,H,0.504374096599,0.101148290147,2.0,2.48
1,02/12/2017 14:30,D1,Mainz,Augsburg,H,0.463570911044,0.0667455142186,0.2,2.52
2,02/12/2017 14:30,D1,Leverkusen,Dortmund,H,0.511854668965,0.084504241615,1.4,2.34
3,02/12/2017 14:30,D1,Bayern Munich,Hannover,H,0.777579655569,-0.0844893099485,3.8,1.16
4,02/12/2017 14:30,D1,Werder Bremen,Stuttgart,H,0.415707727145,-0.0153267556138,0.8,2.32
5,02/12/2017 14:30,D1,Hoffenheim,RB Leipzig,H,0.495002715882,0.167133863423,0.2,3.05
8,03/12/2017 17:00,D1,Wolfsburg,M'gladbach,H,0.428884114498,0.0351833270962,0.2,2.54
