,Date,Div,HomeTeam,AwayTeam,pred,probs,prob_less_bet,H-A,INFO_ODD_BET
0,15/12/2017 19:30,D1,M'gladbach,Hamburg,H,0.46510851064,-0.0843420388102,1.4,1.82
1,16/12/2017 14:30,D1,FC Koln,Wolfsburg,H,0.370066971366,0.0907373624279,-1.0,3.58
3,16/12/2017 14:30,D1,Augsburg,Freiburg,H,0.628614583942,0.0636428325297,2.8,1.77
4,16/12/2017 14:30,D1,Werder Bremen,Mainz,H,0.419199747993,-0.0936207648275,1.4,1.95
8,17/12/2017 17:00,D1,RB Leipzig,Hertha,H,0.578125413458,-0.0468745865425,0.8,1.6
