,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_optimizer,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,split5_test_score,split5_train_score,split6_test_score,split6_train_score,split7_test_score,split7_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,12.5076446533,0.103951007128,-13.699474487,-12.3012447456,SGD,{'optimizer': 'SGD'},1,-14.3850214954,-12.0743844325,-13.2861525537,-12.2492152654,-13.5359010401,-12.2563543499,-14.2351769133,-12.1849942329,-14.559834104,-12.3027378312,-13.7606606863,-12.5382294059,-13.1113596026,-12.4775785765,-12.7209819859,-12.3264638703,0.647463192332,0.0125399532047,0.612516446355,0.140354720473
1,12.5404070318,0.161183387041,-14.9670543991,-6.60310495989,RMSprop,{'optimizer': 'RMSprop'},4,-15.7586150442,-6.32263788831,-14.3850382621,-6.25484549629,-15.0593680791,-6.46537926872,-15.7087373859,-6.75800458341,-15.1592222614,-6.87568309055,-15.0843100882,-6.96845699185,-14.4849392755,-6.70798217327,-14.0955746591,-6.47185018671,0.0901311876941,0.0205774308793,0.566369867012,0.244672403823
2,12.5988609493,0.225146502256,-14.2833262978,-8.69352910034,Adagrad,{'optimizer': 'Adagrad'},3,-15.0343682539,-8.64190339585,-13.935513188,-8.46350169905,-14.0603851185,-8.70612855848,-14.6098262383,-8.6383425269,-14.6847320518,-8.82387653478,-14.2601813638,-8.68472080423,-14.2851817671,-8.72398568657,-13.3957806474,-8.86577359689,0.1665265022,0.0271886921737,0.473066879788,0.115350516321
3,15.2338523269,0.31626445055,-14.1053643153,-8.33760964693,Adadelta,{'optimizer': 'Adadelta'},2,-14.4849311813,-8.37428618861,-13.6857641234,-8.26724403061,-14.0603729772,-8.3564444247,-14.8845375476,-7.88190395841,-14.6597484151,-8.4991720104,-14.2851517027,-8.43138168346,-13.2612180607,-8.29579475175,-13.5207678128,-8.59465012751,0.766569336904,0.0336548474009,0.538891750414,0.199070589967
4,14.7145961523,0.416969001293,-15.2761559752,-5.71913027445,Adam,{'optimizer': 'Adam'},7,-16.0333517926,-5.89805432795,-15.8835141484,-5.75176719495,-15.7586566719,-5.72679039404,-15.6837300445,-5.80528571325,-14.5348984547,-5.42706126632,-14.7347068413,-5.40922867133,-14.9095460452,-5.7767508519,-14.6704058057,-5.95810377587,0.158946519917,0.0380663081004,0.579341906442,0.187860385999
5,14.9484708905,0.428889095783,-14.9670567842,-6.1129452232,Adamax,{'optimizer': 'Adamax'},5,-15.2841236782,-6.16208951986,-14.7846307526,-6.16921745298,-14.5598693718,-6.23345054551,-15.6088005264,-5.96941651004,-14.7097122195,-5.95870813105,-15.2591423542,-6.10499006006,-15.0094077437,-6.1478035035,-14.5204446975,-6.15788606262,0.665743263352,0.0315813207579,0.364725139278,0.0920535808043
6,16.8137709796,0.529194116592,-15.013917769,-6.10539381528,Nadam,{'optimizer': 'Nadam'},6,-15.1842452131,-6.36548759448,-14.609878851,-6.88289180945,-15.2841861197,-6.59387188675,-15.8335960187,-6.08719257138,-14.7347097321,-5.66614220795,-15.4589553661,-5.79458055578,-14.6597935117,-5.79101497845,-14.3454940249,-5.66196891804,0.439901482875,0.0379574883914,0.47239079128,0.432449500789
