,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_criterion,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,split5_test_score,split5_train_score,split6_test_score,split6_train_score,split7_test_score,split7_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
25,18.8994714916,0.551502019167,-13.5090092214,-7.47857261638,entropy,10,sqrt,10,2,400,"{'min_samples_leaf': 10, 'n_estimators': 400, 'min_samples_split': 2, 'criterion': 'entropy', 'max_features': 'sqrt', 'max_depth': 10}",43,-13.2611666043,-7.28599459446,-12.9864518261,-7.46439546523,-13.6108068536,-7.3609228495,-14.1352626021,-7.29313020967,-14.1102887942,-7.66064090842,-13.4859337667,-7.75340778845,-13.3610681959,-7.56786989823,-13.1208144378,-7.44221921709,0.118675454324,0.0116971835062,0.398701888269,0.159489987519
26,23.646545589,0.672208845615,-13.512130579,-7.47054448059,entropy,10,sqrt,10,2,500,"{'min_samples_leaf': 10, 'n_estimators': 500, 'min_samples_split': 2, 'criterion': 'entropy', 'max_features': 'sqrt', 'max_depth': 10}",47,-13.3610635706,-7.25388143493,-12.9864524042,-7.39660183417,-13.6357795052,-7.39303650465,-14.135262024,-7.3002663205,-14.0853132517,-7.62139254669,-13.5858284203,-7.78552003936,-13.2361968435,-7.57857365145,-13.0708295232,-7.43508351301,0.212898886598,0.0206973476367,0.404285450463,0.166697724976
27,14.2178296149,0.404390156269,-13.5527173358,-7.49373594871,entropy,10,sqrt,10,10,300,"{'min_samples_leaf': 10, 'n_estimators': 300, 'min_samples_split': 10, 'criterion': 'entropy', 'max_features': 'sqrt', 'max_depth': 10}",80,-13.411012921,-7.24674565451,-13.1862446023,-7.41444310247,-13.6857259648,-7.37162726354,-14.1102859034,-7.27885823583,-14.1352614458,-7.69275439837,-13.6357777707,-7.81049700547,-13.1113278037,-7.59641417632,-13.1458080522,-7.53854775317,0.0718738062735,0.0190590864078,0.38561651396,0.187373740825
28,18.937553823,0.555604577065,-13.5090092214,-7.47857261638,entropy,10,sqrt,10,10,400,"{'min_samples_leaf': 10, 'n_estimators': 400, 'min_samples_split': 10, 'criterion': 'entropy', 'max_features': 'sqrt', 'max_depth': 10}",43,-13.2611666043,-7.28599459446,-12.9864518261,-7.46439546523,-13.6108068536,-7.3609228495,-14.1352626021,-7.29313020967,-14.1102887942,-7.66064090842,-13.4859337667,-7.75340778845,-13.3610681959,-7.56786989823,-13.1208144378,-7.44221921709,0.117195853067,0.0361619720645,0.398701888269,0.159489987519
29,23.5915167928,0.651277542114,-13.512130579,-7.47054448059,entropy,10,sqrt,10,10,500,"{'min_samples_leaf': 10, 'n_estimators': 500, 'min_samples_split': 10, 'criterion': 'entropy', 'max_features': 'sqrt', 'max_depth': 10}",47,-13.3610635706,-7.25388143493,-12.9864524042,-7.39660183417,-13.6357795052,-7.39303650465,-14.135262024,-7.3002663205,-14.0853132517,-7.62139254669,-13.5858284203,-7.78552003936,-13.2361968435,-7.57857365145,-13.0708295232,-7.43508351301,0.113954678795,0.0329385951822,0.404285450463,0.166697724976
30,14.0647028089,0.389727711678,-13.5339860095,-8.12750975515,entropy,10,sqrt,10,30,300,"{'min_samples_leaf': 10, 'n_estimators': 300, 'min_samples_split': 30, 'criterion': 'entropy', 'max_features': 'sqrt', 'max_depth': 10}",66,-13.5109087309,-7.81407150392,-12.7866613625,-8.0174495886,-13.3860385349,-7.98177043873,-14.2851071843,-8.0031787712,-13.960444212,-8.32430458438,-13.7856217747,-8.54195373427,-13.3360949661,-8.25650905344,-13.2207848455,-8.08084036669,0.0693736737525,0.0152137884808,0.436979446794,0.216900261334
31,18.6332779825,0.517773389816,-13.4902772446,-8.10788495241,entropy,10,sqrt,10,30,400,"{'min_samples_leaf': 10, 'n_estimators': 400, 'min_samples_split': 30, 'criterion': 'entropy', 'max_features': 'sqrt', 'max_depth': 10}",35,-13.4859326103,-7.83191012892,-12.936507101,-8.07453888822,-13.4359867289,-7.9817698605,-14.1352631803,-7.99247394414,-13.9604436338,-8.27078292715,-13.6607504223,-8.47415969019,-13.31112058,-8.17801059532,-12.9958562013,-8.05943358484,0.116107105818,0.0219694063814,0.39563837779,0.185221777526
32,23.2391377985,0.664174616337,-13.4996433414,-8.10431722662,entropy,10,sqrt,10,30,500,"{'min_samples_leaf': 10, 'n_estimators': 500, 'min_samples_split': 30, 'criterion': 'entropy', 'max_features': 'sqrt', 'max_depth': 10}",40,-13.5109069965,-7.90684011862,-12.8615839426,-8.0210173962,-13.4859355012,-7.99247460496,-14.2351589902,-7.9782019703,-14.110288216,-8.26007933914,-13.5858295766,-8.44561483387,-13.161276576,-8.17801117354,-13.0458388016,-8.05229837633,0.0842457538102,0.0228947051506,0.454032467012,0.16704511024
33,13.6027054191,0.394003987312,-13.5901815784,-8.98071659746,entropy,10,sqrt,10,50,300,"{'min_samples_leaf': 10, 'n_estimators': 300, 'min_samples_split': 50, 'criterion': 'entropy', 'max_features': 'sqrt', 'max_depth': 10}",98,-13.2861409904,-8.880927837,-12.9614797526,-8.9166077303,-13.411009452,-8.80956755478,-14.434950032,-8.84167823622,-14.2351572558,-8.99153722438,-13.7107003509,-9.31622820186,-13.5858336238,-9.11284970416,-13.0958237162,-8.97633629101,0.0731523749352,0.0179035467839,0.488411433879,0.1552638367
34,18.1028953493,0.523464053869,-13.5183745231,-8.99454303064,entropy,10,sqrt,10,50,400,"{'min_samples_leaf': 10, 'n_estimators': 400, 'min_samples_split': 50, 'criterion': 'entropy', 'max_features': 'sqrt', 'max_depth': 10}",55,-13.3360891845,-8.86308722952,-12.9614785963,-8.9772640941,-13.33608745,-8.84881509048,-14.3350530657,-8.9201754553,-14.2351572558,-9.04505813817,-13.5358819607,-9.29838825521,-13.3111194237,-9.05932903818,-13.0958237162,-8.94422694417,0.0785818529991,0.023003169775,0.471589466385,0.135068959246
