,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_batch_size,param_epochs,param_optimizer,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,split5_test_score,split5_train_score,split6_test_score,split6_train_score,split7_test_score,split7_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,2.03843924403,0.154154956341,0.630660804181,0.648796179749,2000,2,Adam,"{'epochs': 2, 'optimizer': 'Adam', 'batch_size': 2000}",9,0.62151197851,0.652299507532,0.644171264344,0.647173902966,0.628900554097,0.649410856174,0.601436644566,0.652561897836,0.618165810773,0.64913685593,0.644072301967,0.644848986981,0.646527337254,0.647636748908,0.640507661863,0.647300681663,0.254034317848,0.0693666735947,0.0150340341461,0.00246831756309
1,2.15712052584,0.284893095493,0.637602222981,0.667468379456,2000,3,Adam,"{'epochs': 3, 'optimizer': 'Adam', 'batch_size': 2000}",1,0.632299173881,0.670736656693,0.653558916696,0.667099109005,0.638976589279,0.670438366003,0.6123940137,0.671693666341,0.619924524496,0.667926870544,0.646863370548,0.663051096581,0.645808330619,0.665484473441,0.651002553954,0.663316797037,0.125583299563,0.0810806077722,0.013987814728,0.00313021540471
2,2.44262692332,0.396731704473,0.632697372055,0.675295733568,2000,4,Adam,"{'epochs': 4, 'optimizer': 'Adam', 'batch_size': 2000}",8,0.623725925957,0.67563307737,0.65475256456,0.670186014672,0.637647347222,0.673924138487,0.605338459785,0.676839873438,0.608907874499,0.679775106056,0.636074614145,0.675817843689,0.641221046857,0.67641037471,0.653926493471,0.673779440125,0.244272649659,0.189057202685,0.0174660384558,0.00260690469208
3,3.45581194758,0.471344172955,0.633519204444,0.682172005142,2000,5,Adam,"{'epochs': 5, 'optimizer': 'Adam', 'batch_size': 2000}",7,0.615949699114,0.68487426851,0.661180221947,0.678705066218,0.638093245591,0.678636957491,0.605906111648,0.68480239092,0.610137083015,0.685861267267,0.64556593504,0.680146137921,0.639272978209,0.683643991814,0.652061768487,0.68070596099,0.749828950468,0.129046764828,0.0191246566022,0.0027560888794
4,2.27636930346,0.44971075654,0.629887621071,0.643684020513,3000,2,Adam,"{'epochs': 2, 'optimizer': 'Adam', 'batch_size': 3000}",10,0.623736468564,0.647230210176,0.639283391722,0.645106062321,0.626871822182,0.645514237895,0.60184602918,0.648020838018,0.617532295615,0.64399651037,0.636002886003,0.64076028006,0.640280230425,0.639728517447,0.653564965158,0.639115507814,0.21606781076,0.0953859978488,0.0149163170028,0.00319997200571
5,2.43586096168,0.597270280123,0.634258671624,0.651456368532,3000,3,Adam,"{'epochs': 3, 'optimizer': 'Adam', 'batch_size': 3000}",6,0.616223806893,0.652299658309,0.648258826491,0.649230812352,0.631404770056,0.65436529471,0.609084117987,0.655137984262,0.619023104918,0.652105062696,0.651118537083,0.648713678475,0.648143226979,0.65303091137,0.650824961099,0.646767546084,0.21350857563,0.111065067362,0.0163812375873,0.00274061530083
6,2.6207806766,0.677220344543,0.635422671835,0.665296439903,3000,4,Adam,"{'epochs': 4, 'optimizer': 'Adam', 'batch_size': 3000}",3,0.629775273792,0.668551100007,0.653980574377,0.664732459048,0.63191617956,0.668215126093,0.609316243284,0.66865933667,0.61524302608,0.670368244802,0.651837928154,0.662755510799,0.638975088724,0.660289859036,0.652349299777,0.658799882767,0.287195075255,0.180623317784,0.0159918606003,0.00403406313141
7,2.75569525361,0.813896715641,0.636601926511,0.673581159575,3000,5,Adam,"{'epochs': 5, 'optimizer': 'Adam', 'batch_size': 3000}",2,0.62360784876,0.677919676231,0.666968050515,0.671109867779,0.633057341262,0.673732754974,0.610012619175,0.675019607306,0.614954109549,0.675425720496,0.648844333055,0.671307791339,0.645500797229,0.673466030212,0.649879913402,0.670667828264,0.195564962577,0.237766295053,0.0183187656185,0.00234769794636
8,2.64868485928,0.797071039677,0.620022578007,0.632666976015,4000,2,Adam,"{'epochs': 2, 'optimizer': 'Adam', 'batch_size': 4000}",12,0.608496076042,0.635986096459,0.62932513793,0.632382464708,0.609316951323,0.637547059393,0.596927083114,0.638152940088,0.606667983426,0.627336606919,0.632479768445,0.624707951813,0.646643064104,0.640116453494,0.630332014072,0.625106235247,0.151383792732,0.0734073218031,0.0158744176966,0.00580330659417
9,2.62917003036,0.874763131142,0.629528272899,0.646983069835,4000,3,Adam,"{'epochs': 3, 'optimizer': 'Adam', 'batch_size': 4000}",11,0.618361847571,0.647615682521,0.641305670352,0.642835551387,0.62270024218,0.652062038921,0.597619238545,0.646174189032,0.616919792568,0.649067068511,0.641131448149,0.645555580013,0.648436830284,0.646004690928,0.649765746567,0.646549757369,0.161983436617,0.125011062815,0.0172801212783,0.00253914567002
10,3.13628923893,0.94469627738,0.634837004789,0.656730059797,4000,4,Adam,"{'epochs': 4, 'optimizer': 'Adam', 'batch_size': 4000}",4,0.621044941025,0.655297084889,0.65404350836,0.655880079559,0.632317699418,0.658104486699,0.604492257566,0.656448210609,0.61788214727,0.660297778044,0.649430816097,0.660786539897,0.647538875649,0.658629159029,0.651958172654,0.648397139649,0.294482364441,0.171328924519,0.017468502037,0.00365670876847
