,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_criterion,param_loss,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,split5_test_score,split5_train_score,split6_test_score,split6_train_score,split7_test_score,split7_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,18.9083943665,0.0357200205326,-14.0054526093,-9.99200722163e-16,friedman_mse,deviance,10,log2,1,2,150,"{'loss': 'deviance', 'min_samples_leaf': 1, 'n_estimators': 150, 'max_features': 'log2', 'criterion': 'friedman_mse', 'min_samples_split': 2, 'max_depth': 10}",36,-13.8106354758,-9.99200722163e-16,-13.485974238,-9.99200722163e-16,-14.4599666239,-9.99200722163e-16,-14.235201196,-9.99200722163e-16,-14.6098065808,-9.99200722163e-16,-13.8356087056,-9.99200722163e-16,-13.8855603686,-9.99200722163e-16,-13.7206617634,-9.99200722163e-16,0.215040459738,0.00860406083861,0.363453301164,0.0
1,25.1463791132,0.0396299958229,-14.0460378482,-9.99200722163e-16,friedman_mse,deviance,10,log2,1,2,200,"{'loss': 'deviance', 'min_samples_leaf': 1, 'n_estimators': 200, 'max_features': 'log2', 'criterion': 'friedman_mse', 'min_samples_split': 2, 'max_depth': 10}",42,-14.1602676308,-9.99200722163e-16,-13.5858712043,-9.99200722163e-16,-14.2351936799,-9.99200722163e-16,-13.8855638376,-9.99200722163e-16,-14.534885157,-9.99200722163e-16,-13.8356087056,-9.99200722163e-16,-14.0603799151,-9.99200722163e-16,-14.0705503799,-9.99200722163e-16,0.433344995744,0.00903574958545,0.26703076102,0.0
2,13.4327839017,0.0280387699604,-14.0148206576,-9.99200722163e-16,friedman_mse,deviance,10,log2,1,10,150,"{'loss': 'deviance', 'min_samples_leaf': 1, 'n_estimators': 150, 'max_features': 'log2', 'criterion': 'friedman_mse', 'min_samples_split': 10, 'max_depth': 10}",39,-14.0354014819,-9.99200722163e-16,-13.8855609468,-9.99200722163e-16,-13.4360272002,-9.99200722163e-16,-14.9095038394,-9.99200722163e-16,-14.4349922378,-9.99200722163e-16,-14.1103229057,-9.99200722163e-16,-13.7107431348,-9.99200722163e-16,-13.5957104699,-9.99200722163e-16,0.218988618542,0.00573153643224,0.448105876527,0.0
3,18.7593414485,0.0403919816017,-13.9992103276,-9.99200722163e-16,friedman_mse,deviance,10,log2,1,10,200,"{'loss': 'deviance', 'min_samples_leaf': 1, 'n_estimators': 200, 'max_features': 'log2', 'criterion': 'friedman_mse', 'min_samples_split': 10, 'max_depth': 10}",35,-14.0104270957,-9.99200722163e-16,-14.010431721,-9.99200722163e-16,-13.4859730817,-9.99200722163e-16,-14.8845288752,-9.99200722163e-16,-14.5598624339,-9.99200722163e-16,-13.9854509751,-9.99200722163e-16,-13.53592937,-9.99200722163e-16,-13.520733098,-9.99200722163e-16,0.929699289245,0.00848799145693,0.475071125906,0.0
4,10.9524731636,0.0290112495422,-13.9586260283,-0.0178401134329,friedman_mse,deviance,10,log2,1,30,150,"{'loss': 'deviance', 'min_samples_leaf': 1, 'n_estimators': 150, 'max_features': 'log2', 'criterion': 'friedman_mse', 'min_samples_split': 30, 'max_depth': 10}",33,-14.3350941152,-0.0035680554127,-13.0364422259,-9.99200722163e-16,-14.2352052432,-0.0392486921427,-14.8845259844,-0.0142722216508,-14.0354037945,-0.0392486921427,-13.9854654292,-0.0178402770635,-13.7107390877,-0.0142722216508,-13.4457615119,-0.0142707474,0.254303650667,0.00681040343979,0.53115968807,0.0135868311685
5,14.7656159997,0.0365774929523,-14.0616540326,-9.99200722163e-16,friedman_mse,deviance,10,log2,1,30,200,"{'loss': 'deviance', 'min_samples_leaf': 1, 'n_estimators': 200, 'max_features': 'log2', 'criterion': 'friedman_mse', 'min_samples_split': 30, 'max_depth': 10}",46,-14.5099125053,-9.99200722163e-16,-13.4610044772,-9.99200722163e-16,-14.0104369245,-9.99200722163e-16,-14.7346860275,-9.99200722163e-16,-14.6347844359,-9.99200722163e-16,-13.8106401011,-9.99200722163e-16,-13.760691907,-9.99200722163e-16,-13.5707209055,-9.99200722163e-16,0.273543118563,0.00816595891216,0.466419047769,0.0
6,14.9673318565,0.0290831029415,-14.0959943156,-9.99200722163e-16,friedman_mse,deviance,10,log2,3,2,150,"{'loss': 'deviance', 'min_samples_leaf': 3, 'n_estimators': 150, 'max_features': 'log2', 'criterion': 'friedman_mse', 'min_samples_split': 2, 'max_depth': 10}",48,-14.0354049508,-9.99200722163e-16,-13.1113636498,-9.99200722163e-16,-14.5598583867,-9.99200722163e-16,-14.5349025018,-9.99200722163e-16,-14.9344643497,-9.99200722163e-16,-13.6607868465,-9.99200722163e-16,-13.9105399582,-9.99200722163e-16,-14.0205793512,-9.99200722163e-16,0.30750006268,0.00424823623451,0.537785060904,0.0
7,20.4452294111,0.0394451916218,-14.0366739198,-9.99200722163e-16,friedman_mse,deviance,10,log2,3,2,200,"{'loss': 'deviance', 'min_samples_leaf': 3, 'n_estimators': 200, 'max_features': 'log2', 'criterion': 'friedman_mse', 'min_samples_split': 2, 'max_depth': 10}",41,-13.8855563215,-9.99200722163e-16,-13.411052236,-9.99200722163e-16,-14.4349847217,-9.99200722163e-16,-14.8345853064,-9.99200722163e-16,-14.7346756206,-9.99200722163e-16,-13.5109428425,-9.99200722163e-16,-13.8605917641,-9.99200722163e-16,-13.6207017701,-9.99200722163e-16,0.302034692341,0.00753143096853,0.521687414095,0.0
8,13.461150974,0.0299990475178,-14.1334596423,-0.000446006926588,friedman_mse,deviance,10,log2,3,10,150,"{'loss': 'deviance', 'min_samples_leaf': 3, 'n_estimators': 150, 'max_features': 'log2', 'criterion': 'friedman_mse', 'min_samples_split': 10, 'max_depth': 10}",51,-14.3850405748,-9.99200722163e-16,-13.6358199765,-9.99200722163e-16,-14.1103252183,-0.0035680554127,-14.385048669,-9.99200722163e-16,-14.659758822,-9.99200722163e-16,-13.7357169428,-9.99200722163e-16,-14.3600742829,-9.99200722163e-16,-13.7956483926,-9.99200722163e-16,0.285318728473,0.00401732431565,0.34918419374,0.00118002341076
9,17.8501843214,0.0362554788589,-14.1802899095,-9.99200722163e-16,friedman_mse,deviance,10,log2,3,10,200,"{'loss': 'deviance', 'min_samples_leaf': 3, 'n_estimators': 200, 'max_features': 'log2', 'criterion': 'friedman_mse', 'min_samples_split': 10, 'max_depth': 10}",52,-14.5348857351,-9.99200722163e-16,-13.7856610897,-9.99200722163e-16,-14.2352000397,-9.99200722163e-16,-14.8595556454,-9.99200722163e-16,-14.4849392755,-9.99200722163e-16,-13.6607960971,-9.99200722163e-16,-14.2102262318,-9.99200722163e-16,-13.6706866847,-9.99200722163e-16,0.33531012253,0.00305988955045,0.413687657167,0.0
10,10.5185473561,0.0296956002712,-14.2583404028,-0.0187320915411,friedman_mse,deviance,10,log2,3,30,150,"{'loss': 'deviance', 'min_samples_leaf': 3, 'n_estimators': 150, 'max_features': 'log2', 'criterion': 'friedman_mse', 'min_samples_split': 30, 'max_depth': 10}",53,-14.3101168383,-0.0071361108254,-13.6108484812,-0.0249763878889,-14.2102239191,-0.0249764704919,-14.8345847282,-0.0249764704919,-14.7846261273,-0.0071361108254,-13.9105335984,-0.0285445259046,-14.2102210283,-0.0142722216508,-14.1955230808,-0.01783843425,0.139952622064,0.00785252153191,0.380888612304,0.00792844753318
11,14.8340575695,0.0356732308865,-14.2739530457,-0.000446006926588,friedman_mse,deviance,10,log2,3,30,200,"{'loss': 'deviance', 'min_samples_leaf': 3, 'n_estimators': 200, 'max_features': 'log2', 'criterion': 'friedman_mse', 'min_samples_split': 30, 'max_depth': 10}",54,-14.0853473633,-9.99200722163e-16,-13.9105416927,-9.99200722163e-16,-13.685769905,-9.99200722163e-16,-15.2091999417,-9.99200722163e-16,-14.8096039823,-9.99200722163e-16,-14.1602803503,-0.0035680554127,-14.3600644542,-9.99200722163e-16,-13.9705973295,-9.99200722163e-16,1.03758798976,0.00855864012864,0.472713494922,0.00118002341076
