,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_batch_size,param_epochs,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,split5_test_score,split5_train_score,split6_test_score,split6_train_score,split7_test_score,split7_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,2.1484541595,0.115388482809,-13.6276854286,-12.7405778462,300,1,"{'epochs': 1, 'batch_size': 300}",5,-13.6607978316,-12.5846479935,-13.2112559908,-12.7630472948,-13.7856680276,-12.8023057341,-14.4100294149,-12.6417428275,-14.2851297326,-12.5953338218,-13.5359120251,-12.8558005453,-12.9115801241,-12.8415383186,-13.2208160889,-12.840206234,0.0743441391444,0.0244237288221,0.49124715704,0.107754708608
1,2.17739486694,0.186497122049,-13.5714842222,-12.2669158896,300,2,"{'epochs': 2, 'batch_size': 300}",2,-13.9604742764,-12.3384401926,-13.0114487605,-12.5096990051,-14.0853490978,-12.2528040541,-13.9105255042,-12.2099810288,-14.5099130835,-11.9745011838,-13.3111552697,-12.3063244723,-13.0364456949,-12.2991843966,-12.7459651859,-12.2443927839,0.0865798747524,0.0473997153939,0.587354617027,0.139690744489
2,2.5421385169,0.430368095636,-13.6807678793,-11.9770245873,300,3,"{'epochs': 3, 'batch_size': 300}",9,-14.110331,-12.0280338272,-12.986498079,-12.0315963482,-14.0104473314,-11.96024127,-13.9355224386,-11.9638004868,-14.5348759064,-11.796084701,-13.5609014434,-12.0208828478,-13.2862034319,-12.0601390568,-13.0208862663,-11.9554181608,0.267924789425,0.204810648965,0.521416162541,0.0775195284993
3,3.71287205815,0.404465407133,-13.7213428549,-11.2723224592,300,4,"{'epochs': 4, 'batch_size': 300}",11,-14.5098922697,-11.2894038988,-13.510926654,-11.3322224636,-13.4609853978,-11.3821778827,-14.3350865991,-11.2287526564,-14.2351878983,-11.1217207412,-13.6358286489,-11.3536533467,-13.3611289029,-11.1859608549,-12.720983143,-11.2846878295,0.292289417003,0.115828689531,0.560343537953,0.0827293385886
4,2.3870960176,0.507583975792,-13.6557660835,-12.9912151572,400,1,"{'epochs': 1, 'batch_size': 400}",6,-14.0104051256,-13.0449068214,-13.2112432712,-13.1234106487,-13.660770658,-12.9949551194,-14.4849363847,-12.677405209,-14.3600291863,-12.9556893285,-13.1862636816,-13.0020789224,-12.6368526263,-13.1162640473,-13.6956565774,-13.0150111613,0.368956532114,0.117199071599,0.588149821015,0.130591296765
5,2.25898140669,0.489566981792,-13.6901212554,-12.4546829181,400,2,"{'epochs': 2, 'batch_size': 400}",10,-13.9355010466,-12.2421070744,-13.0114551202,-12.4347764497,-13.660788581,-12.3883894164,-14.6098164095,-12.4454905283,-14.7346634792,-12.3312976387,-13.261197825,-12.5953274614,-12.8116739072,-12.6096057957,-13.4957331192,-12.5904689805,0.0787695224559,0.0263880219046,0.656913570308,0.12624769933
6,2.68740436435,0.589996159077,-13.7494441087,-12.0559575252,400,3,"{'epochs': 3, 'batch_size': 400}",12,-14.1352903539,-12.0529952639,-13.1113549773,-12.2278279967,-13.735710583,-12.174309561,-14.6597582438,-11.9744966406,-14.8845196246,-11.7604148027,-13.5609008653,-12.0601260056,-12.911587062,-12.0458576662,-12.9958862875,-12.1516322651,0.199350212027,0.0719061948086,0.705216572315,0.135466718288
7,3.14077964425,0.589299112558,-13.6713887005,-11.6268918402,400,4,"{'epochs': 4, 'batch_size': 400}",8,-14.0353916531,-11.5177737355,-13.1113561337,-11.6283871705,-13.8605830917,-11.7568391478,-14.6347798106,-11.6462230696,-14.2851279981,-11.4535403126,-13.6607862683,-11.6212404038,-13.5609020216,-11.6176763134,-12.221133997,-11.7734545682,0.113029097657,0.0382337140626,0.698312048621,0.100509480884
8,2.34326115251,0.706843137741,-13.6026986663,-13.1299295802,500,1,"{'epochs': 1, 'batch_size': 500}",3,-13.4859545805,-13.1590869901,-13.3361076857,-13.2875367371,-13.6108502157,-12.9771374756,-14.3600575162,-13.0484811546,-14.1852258284,-13.0449060779,-13.2861635387,-13.2090380312,-12.9615248492,-13.1448150162,-13.5957000555,-13.1684351587,0.217250756627,0.0305590390583,0.434335757635,0.0941148516801
9,2.99839147925,0.896368891001,-13.6589115093,-12.5483529934,500,2,"{'epochs': 2, 'batch_size': 500}",7,-13.9105341766,-12.4026770022,-13.0614206592,-12.7380731372,-14.6347988899,-12.6060621908,-14.1602896009,-12.4847464069,-14.3600569381,-12.2956212973,-13.4110516578,-12.6345868919,-12.7867122407,-12.5489576922,-12.9459123659,-12.6760993291,0.433749124586,0.0818769705506,0.656327671874,0.137940414706
10,3.0321520865,0.843267589808,-13.5090375538,-12.1674497915,500,3,"{'epochs': 3, 'batch_size': 500}",1,-13.61082998,-12.0066014572,-12.9115558413,-12.1992765321,-13.6857658579,-12.1172167094,-13.8605767319,-12.0173034758,-14.3850116667,-12.1314724931,-13.3860662866,-12.3455594524,-13.4609975392,-12.2492268298,-12.7709628504,-12.2729413819,0.273885354976,0.0546321136491,0.481072619043,0.113350002008
11,3.08712866902,0.876294255257,-13.6183130437,-11.7682765146,500,4,"{'epochs': 4, 'batch_size': 500}",4,-13.7856489483,-11.6105449109,-13.2362188136,-11.7996477176,-13.8605790446,-11.728292309,-14.260168066,-11.6283863444,-14.2601507212,-11.7068781943,-13.5359189631,-11.9066932624,-13.2112716011,-11.7711137649,-12.795953572,-11.994655613,0.0771581081243,0.0475547118239,0.487987372974,0.123093411457
