,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_criterion,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,split5_test_score,split5_train_score,split6_test_score,split6_train_score,split7_test_score,split7_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,29.4426981211,0.510822027922,-13.3872615274,-9.99200722163e-16,entropy,,sqrt,1,2,330,"{'min_samples_leaf': 1, 'n_estimators': 330, 'min_samples_split': 2, 'criterion': 'entropy', 'max_features': 'sqrt', 'max_depth': None}",4,-13.3610745557,-9.99200722163e-16,-12.4620140005,-9.99200722163e-16,-13.4110250624,-9.99200722163e-16,-13.9854249579,-9.99200722163e-16,-13.835581532,-9.99200722163e-16,-13.5858405617,-9.99200722163e-16,-13.3610786028,-9.99200722163e-16,-13.0958422308,-9.99200722163e-16,0.605134602946,0.0204374366227,0.43892568368,0.0
1,33.738499403,0.594802886248,-13.3810170774,-9.99200722163e-16,entropy,,sqrt,1,2,340,"{'min_samples_leaf': 1, 'n_estimators': 340, 'min_samples_split': 2, 'criterion': 'entropy', 'max_features': 'sqrt', 'max_depth': None}",3,-13.3360990132,-9.99200722163e-16,-12.5619109668,-9.99200722163e-16,-13.3361030604,-9.99200722163e-16,-13.9604499936,-9.99200722163e-16,-13.7856333379,-9.99200722163e-16,-13.7356845657,-9.99200722163e-16,-13.2611827928,-9.99200722163e-16,-13.0708486163,-9.99200722163e-16,0.427497301014,0.0238103322665,0.419946165566,0.0
2,33.8339458704,0.659531921148,-13.3747733501,-9.99200722163e-16,entropy,,sqrt,1,2,350,"{'min_samples_leaf': 1, 'n_estimators': 350, 'min_samples_split': 2, 'criterion': 'entropy', 'max_features': 'sqrt', 'max_depth': None}",2,-13.1612817794,-9.99200722163e-16,-12.4869866521,-9.99200722163e-16,-13.3610762902,-9.99200722163e-16,-13.9354756075,-9.99200722163e-16,-13.9604523062,-9.99200722163e-16,-13.5608673319,-9.99200722163e-16,-13.3860553016,-9.99200722163e-16,-13.1458259882,-9.99200722163e-16,0.675607758675,0.150572411975,0.444215357285,0.0
3,37.2262995839,0.663056105375,-13.3654075425,-9.99200722163e-16,entropy,,sqrt,1,2,360,"{'min_samples_leaf': 1, 'n_estimators': 360, 'min_samples_split': 2, 'criterion': 'entropy', 'max_features': 'sqrt', 'max_depth': None}",1,-13.1612829357,-9.99200722163e-16,-12.5119621946,-9.99200722163e-16,-13.3111286743,-9.99200722163e-16,-13.9604505718,-9.99200722163e-16,-13.9604511499,-9.99200722163e-16,-13.585841718,-9.99200722163e-16,-13.3361059512,-9.99200722163e-16,-13.0958422308,-9.99200722163e-16,2.5274195788,0.0231336853946,0.447680515773,0.0
4,38.8218944967,0.580509752035,-13.42160434,-9.99200722163e-16,entropy,,sqrt,1,2,370,"{'min_samples_leaf': 1, 'n_estimators': 370, 'min_samples_split': 2, 'criterion': 'entropy', 'max_features': 'sqrt', 'max_depth': None}",5,-13.4359971358,-9.99200722163e-16,-12.6118585827,-9.99200722163e-16,-13.2861560226,-9.99200722163e-16,-14.185217156,-9.99200722163e-16,-13.9854278487,-9.99200722163e-16,-13.4859435954,-9.99200722163e-16,-13.4360029175,-9.99200722163e-16,-12.9458874869,-9.99200722163e-16,0.530357304686,0.0458097345486,0.475117885857,0.0
