,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_max_features,param_max_samples,param_n_estimators,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,split5_test_score,split5_train_score,split6_test_score,split6_train_score,split7_test_score,split7_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,49.6351965964,0.303623110056,-13.7993810613,-9.99200722163e-16,0.6,1.0,80,"{'max_features': 0.6, 'max_samples': 1.0, 'n_estimators': 80}",8,-13.9854376774,-9.99200722163e-16,-13.5608794733,-9.99200722163e-16,-13.7356938163,-9.99200722163e-16,-14.3850278552,-9.99200722163e-16,-14.584815428,-9.99200722163e-16,-12.986473218,-9.99200722163e-16,-13.7357076922,-9.99200722163e-16,-13.420739547,-9.99200722163e-16,0.385876468662,0.0506744509263,0.482668764667,0.0
1,59.6004012227,0.345089018345,-13.7993815672,-9.99200722163e-16,0.6,1.0,100,"{'max_features': 0.6, 'max_samples': 1.0, 'n_estimators': 100}",9,-14.1602554894,-9.99200722163e-16,-13.7606734059,-9.99200722163e-16,-13.9604650258,-9.99200722163e-16,-14.2351815385,-9.99200722163e-16,-14.1352828378,-9.99200722163e-16,-12.9614970974,-9.99200722163e-16,-13.5858613755,-9.99200722163e-16,-13.5956884839,-9.99200722163e-16,0.649442035111,0.0708383383387,0.395228184709,0.0
2,100.682722002,0.741455197334,-13.6058134468,-9.99200722163e-16,0.6,1.0,150,"{'max_features': 0.6, 'max_samples': 1.0, 'n_estimators': 150}",4,-13.8106158183,-9.99200722163e-16,-13.1862636816,-9.99200722163e-16,-13.5858527031,-9.99200722163e-16,-14.085339269,-9.99200722163e-16,-13.9854382556,-9.99200722163e-16,-13.2611827928,-9.99200722163e-16,-13.4110447199,-9.99200722163e-16,-13.5207087977,-9.99200722163e-16,5.16397610444,0.199061213247,0.307497060095,0.0
3,63.7725319266,0.406353622675,-13.643280725,-9.99200722163e-16,0.7,1.0,80,"{'max_features': 0.7, 'max_samples': 1.0, 'n_estimators': 80}",6,-13.6607804867,-9.99200722163e-16,-13.7856501046,-9.99200722163e-16,-13.5109347482,-9.99200722163e-16,-14.4849219307,-9.99200722163e-16,-14.0104132199,-9.99200722163e-16,-13.5608806296,-9.99200722163e-16,-13.0364271937,-9.99200722163e-16,-13.0958416522,-9.99200722163e-16,3.28020896717,0.0985619539741,0.441008982765,0.0
4,78.6350942254,0.486541241407,-13.4309811338,-9.99200722163e-16,0.7,1.0,100,"{'max_features': 0.7, 'max_samples': 1.0, 'n_estimators': 100}",1,-13.3860628177,-9.99200722163e-16,-13.2611931997,-9.99200722163e-16,-13.23621997,-9.99200722163e-16,-14.1352816815,-9.99200722163e-16,-13.9604650258,-9.99200722163e-16,-13.6357991627,-9.99200722163e-16,-13.0614027361,-9.99200722163e-16,-12.7709472288,-9.99200722163e-16,6.5078682463,0.0885983584583,0.427078771914,0.0
5,108.127413958,0.738025873899,-13.5215192984,-9.99200722163e-16,0.7,1.0,150,"{'max_features': 0.7, 'max_samples': 1.0, 'n_estimators': 150}",2,-13.7357001761,-9.99200722163e-16,-13.1363178002,-9.99200722163e-16,-13.2112421149,-9.99200722163e-16,-14.5098940042,-9.99200722163e-16,-13.8106163965,-9.99200722163e-16,-13.4859557368,-9.99200722163e-16,-13.1613008588,-9.99200722163e-16,-13.120837581,-9.99200722163e-16,2.42524520407,0.164544131361,0.453126302937,0.0
6,68.8472752571,0.393108993769,-13.6307933428,-9.99200722163e-16,0.8,1.0,80,"{'max_features': 0.8, 'max_samples': 1.0, 'n_estimators': 80}",5,-14.0853363782,-9.99200722163e-16,-13.3610890097,-9.99200722163e-16,-13.3610890097,-9.99200722163e-16,-14.3850284334,-9.99200722163e-16,-14.1103136551,-9.99200722163e-16,-13.2112392241,-9.99200722163e-16,-13.2112478965,-9.99200722163e-16,-13.3207789751,-9.99200722163e-16,1.48577999184,0.0877720841699,0.447091785452,0.0
7,84.0732381046,0.538523137569,-13.6651340594,-9.99200722163e-16,0.8,1.0,100,"{'max_features': 0.8, 'max_samples': 1.0, 'n_estimators': 100}",7,-13.9854394119,-9.99200722163e-16,-13.4110366256,-9.99200722163e-16,-13.6108276674,-9.99200722163e-16,-14.3600517346,-9.99200722163e-16,-14.1352834159,-9.99200722163e-16,-13.2861600698,-9.99200722163e-16,-13.2861675859,-9.99200722163e-16,-13.2458027604,-9.99200722163e-16,1.65125126919,0.178806512102,0.408829200911,0.0
8,129.46902737,0.740613490343,-13.5246420294,-9.99200722163e-16,0.8,1.0,150,"{'max_features': 0.8, 'max_samples': 1.0, 'n_estimators': 150}",3,-13.535904509,-9.99200722163e-16,-13.3860622395,-9.99200722163e-16,-13.5359056654,-9.99200722163e-16,-14.0603625702,-9.99200722163e-16,-14.160257802,-9.99200722163e-16,-13.1612921863,-9.99200722163e-16,-13.0364271937,-9.99200722163e-16,-13.3207766608,-9.99200722163e-16,1.28117313648,0.186008050596,0.374578313469,0.0
