,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_criterion,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,split5_test_score,split5_train_score,split6_test_score,split6_train_score,split7_test_score,split7_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
144,0.19697868824,0.00365909934044,-15.9942338999,-0.185093648105,entropy,30,sqrt,1,2,"{'max_features': 'sqrt', 'min_samples_split': 2, 'criterion': 'entropy', 'max_depth': 30, 'min_samples_leaf': 1}",171,-15.9584430883,-0.228355629016,-15.9834197871,-0.199813168187,-15.5338952911,-0.0392488573488,-16.0083976422,-0.146290850142,-16.1582341301,-0.246199375407,-15.9834261469,-0.306854500156,-16.3080908537,-0.274742084045,-16.0199828784,-0.0392447205391,0.0310536792493,0.00121856602811,0.206071128413,0.0953500066361
145,0.199802994728,0.00421777367592,-16.1315979951,-2.8316893962,entropy,30,sqrt,1,10,"{'max_features': 'sqrt', 'min_samples_split': 10, 'criterion': 'entropy', 'max_depth': 30, 'min_samples_leaf': 1}",198,-16.7326455888,-2.59400114855,-16.3080752433,-3.19344007489,-15.6837254193,-2.66179667948,-16.4828976806,-2.66536002652,-15.9084879563,-2.97578175606,-15.7586549374,-2.81878839174,-15.8585501692,-3.12564157024,-16.3198831087,-2.61870552215,0.0300399663379,0.00252043156112,0.35625498091,0.22265087759
146,0.174058645964,0.00300398468971,-15.81002501,-6.75208488273,entropy,30,sqrt,1,30,"{'max_features': 'sqrt', 'min_samples_split': 30, 'criterion': 'entropy', 'max_depth': 30, 'min_samples_leaf': 1}",128,-16.0083814536,-6.67232953897,-16.0083959077,-6.6723357342,-14.9844391392,-6.6616219034,-16.5078749575,-6.75796997274,-16.0083987985,-6.62238626254,-15.6087947448,-7.16472696814,-16.0083860789,-6.84717168847,-15.3451928956,-6.61813699338,0.0210422227057,0.000268348185154,0.444765592929,0.171397851093
147,0.174183487892,0.00308111310005,-15.5384062516,-8.38312149598,entropy,30,sqrt,1,50,"{'max_features': 'sqrt', 'min_samples_split': 50, 'criterion': 'entropy', 'max_depth': 30, 'min_samples_leaf': 1}",74,-15.4090117973,-8.7525337644,-15.3840293169,-8.31721894401,-15.6337645056,-8.49918778758,-15.8086008188,-8.44567744698,-16.8075727943,-8.20662054283,-14.8845548924,-8.13168295365,-15.1592609983,-8.12454097801,-15.2202248233,-8.58750955036,0.00671578310504,0.000434928708272,0.548419728681,0.212486908286
148,0.197735756636,0.00426876544952,-16.0254481995,-2.33885614451,entropy,30,sqrt,3,2,"{'max_features': 'sqrt', 'min_samples_split': 2, 'criterion': 'entropy', 'max_depth': 30, 'min_samples_leaf': 3}",176,-15.3840414583,-2.51907239789,-15.1592702489,-2.7402978635,-16.7326380727,-2.2443289922,-16.5827934905,-2.27287384852,-15.9584430883,-2.14085621126,-16.4828965242,-2.34423553499,-15.7087044307,-2.26573641604,-16.1949208222,-2.18344789164,0.00888438427667,0.00307524962568,0.537982677011,0.185625135959
149,0.201059132814,0.0039224922657,-16.1721840291,-3.47929034414,entropy,30,sqrt,3,10,"{'max_features': 'sqrt', 'min_samples_split': 10, 'criterion': 'entropy', 'max_depth': 30, 'min_samples_leaf': 3}",204,-15.8835205081,-3.41109054643,-15.883516461,-3.66442380238,-15.6337812723,-3.55381606706,-16.8325327264,-3.45034584681,-16.4579308106,-3.48602549231,-16.3580280627,-3.55024801164,-16.3080769778,-3.43963911988,-16.0199753568,-3.27873386658,0.0156105800235,0.00241021002073,0.36236985949,0.107350448382
150,0.174310266972,0.00401449203491,-15.8599770685,-6.96884065313,entropy,30,sqrt,3,30,"{'max_features': 'sqrt', 'min_samples_split': 30, 'criterion': 'entropy', 'max_depth': 30, 'min_samples_leaf': 3}",143,-15.9334675459,-7.09693515434,-15.0593750171,-7.0790900037,-16.1582190979,-6.98988812276,-16.607762095,-7.03985155433,-15.7336817076,-6.83646529195,-16.2581224239,-6.89712157314,-15.6837294664,-6.84360454169,-15.4451592533,-6.96776898317,0.0147369179215,0.00205306192919,0.457182846365,0.0951319868507
151,0.184468090534,0.00420701503754,-15.7413443718,-8.53477567061,entropy,30,sqrt,3,50,"{'max_features': 'sqrt', 'min_samples_split': 50, 'criterion': 'entropy', 'max_depth': 30, 'min_samples_leaf': 3}",103,-15.6587545021,-8.6347857055,-15.1592714052,-8.59553651774,-14.909534482,-8.36718914903,-16.0333633558,-8.42427291424,-16.7825874231,-8.6062439881,-15.3840426147,-8.71329184571,-16.0083987985,-8.6098145216,-15.9949857924,-8.32707072296,0.0248573968734,0.00130995449799,0.555708247748,0.132163681007
152,0.163212388754,0.00335043668747,-15.7756832815,-7.55266166071,entropy,30,sqrt,10,2,"{'max_features': 'sqrt', 'min_samples_split': 2, 'criterion': 'entropy', 'max_depth': 30, 'min_samples_leaf': 10}",116,-15.9834192089,-7.5179782487,-14.4599897504,-7.68567264034,-16.1082824671,-7.65355857217,-15.8835124139,-7.54651253183,-15.9834128491,-7.4787224527,-15.5838267185,-7.5322436143,-16.0083987985,-7.37881417524,-16.1949271866,-7.62779105042,0.0195197412135,0.000628996118943,0.525167572485,0.0941170380452
153,0.151990562677,0.00323882699013,-15.7756832815,-7.55266166071,entropy,30,sqrt,10,10,"{'max_features': 'sqrt', 'min_samples_split': 10, 'criterion': 'entropy', 'max_depth': 30, 'min_samples_leaf': 10}",116,-15.9834192089,-7.5179782487,-14.4599897504,-7.68567264034,-16.1082824671,-7.65355857217,-15.8835124139,-7.54651253183,-15.9834128491,-7.4787224527,-15.5838267185,-7.5322436143,-16.0083987985,-7.37881417524,-16.1949271866,-7.62779105042,0.018793127861,0.000769833710564,0.525167572485,0.0941170380452
