,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_n_neighbors,param_p,param_weights,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,split5_test_score,split5_train_score,split6_test_score,split6_train_score,split7_test_score,split7_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.450316637754,11.1653546095,-15.6882615597,-7.99822234724,3,1,uniform,"{'n_neighbors': 3, 'weights': 'uniform', 'p': 1}",15,-16.0583331167,-8.06032201061,-14.6348127658,-8.16022888381,-15.5338744773,-7.95327597026,-16.2331480378,-7.87834730222,-15.4090060157,-8.02464079565,-15.8585420749,-7.96398525789,-15.4589565224,-7.9497093191,-16.3198761658,-7.99526923834,0.107471214283,1.64637381019,0.515490612223,0.0796280703956
1,0.487589985132,10.3664637804,-15.6882615597,-9.99200722163e-16,3,1,distance,"{'n_neighbors': 3, 'weights': 'distance', 'p': 1}",15,-16.0583331167,-9.99200722163e-16,-14.6348127658,-9.99200722163e-16,-15.5338744773,-9.99200722163e-16,-16.2331480378,-9.99200722163e-16,-15.4090060157,-9.99200722163e-16,-15.8585420749,-9.99200722163e-16,-15.4589565224,-9.99200722163e-16,-16.3198761658,-9.99200722163e-16,0.084690742588,1.17055872705,0.515490612223,0.0
2,0.491485178471,10.6622835994,-15.4853280652,-8.03256433814,3,2,uniform,"{'n_neighbors': 3, 'weights': 'uniform', 'p': 2}",13,-15.5088972004,-7.97111856021,-14.6098366452,-8.24943002132,-15.3091119402,-8.06388758793,-15.9834012859,-8.01750237194,-15.7836183384,-8.0353450445,-16.2830985445,-7.92830189526,-15.0343988965,-8.00323006769,-15.3701784099,-7.99169915625,0.104134155899,0.925237674095,0.498541785586,0.090431720655
3,0.505558222532,11.1147888601,-15.4853280652,-9.99200722163e-16,3,2,distance,"{'n_neighbors': 3, 'weights': 'distance', 'p': 2}",13,-15.5088972004,-9.99200722163e-16,-14.6098366452,-9.99200722163e-16,-15.3091119402,-9.99200722163e-16,-15.9834012859,-9.99200722163e-16,-15.7836183384,-9.99200722163e-16,-16.2830985445,-9.99200722163e-16,-15.0343988965,-9.99200722163e-16,-15.3701784099,-9.99200722163e-16,0.0721578312308,0.340349247867,0.498541785586,0.0
4,0.588046550751,10.4045683444,-15.2449257747,-9.85583308921,5,1,uniform,"{'n_neighbors': 5, 'weights': 'uniform', 'p': 1}",11,-15.4839210798,-9.7052075333,-14.7846596606,-10.0513120472,-15.6837103871,-9.89788591231,-15.3590508837,-9.71590971707,-15.0843285893,-9.84793396256,-15.4090025467,-9.81225167377,-14.3600898933,-10.0120627769,-15.7950409268,-9.80410109053,0.110501494617,0.442912483323,0.448987880228,0.117947404647
5,0.433026790619,9.21787148714,-15.2449257747,-9.99200722163e-16,5,1,distance,"{'n_neighbors': 5, 'weights': 'distance', 'p': 1}",11,-15.4839210798,-9.99200722163e-16,-14.7846596606,-9.99200722163e-16,-15.6837103871,-9.99200722163e-16,-15.3590508837,-9.99200722163e-16,-15.0843285893,-9.99200722163e-16,-15.4090025467,-9.99200722163e-16,-14.3600898933,-9.99200722163e-16,-15.7950409268,-9.99200722163e-16,0.0281483387853,0.168422652921,0.448987880228,0.0
6,0.371779054403,9.06723120809,-15.1762407277,-9.77867048426,5,2,uniform,"{'n_neighbors': 5, 'weights': 'uniform', 'p': 2}",9,-14.6847528656,-9.64811715984,-14.684750553,-9.9478389359,-15.5088983567,-9.61600210043,-15.8835072104,-9.66239004232,-14.8595666304,-9.93356489698,-15.8835106794,-9.70164079954,-14.8346038076,-9.81581543383,-15.0702590864,-9.90399450525,0.0145859205026,0.100475280621,0.477313793739,0.128771109316
7,0.458992928267,9.53132125735,-15.1762407277,-9.99200722163e-16,5,2,distance,"{'n_neighbors': 5, 'weights': 'distance', 'p': 2}",9,-14.6847528656,-9.99200722163e-16,-14.684750553,-9.99200722163e-16,-15.5088983567,-9.99200722163e-16,-15.8835072104,-9.99200722163e-16,-14.8595666304,-9.99200722163e-16,-15.8835106794,-9.99200722163e-16,-14.8346038076,-9.99200722163e-16,-15.0702590864,-9.99200722163e-16,0.0841040239976,0.232483157982,0.477313793739,0.0
8,0.392441272736,8.74717822671,-14.8764737357,-11.732130447,10,1,uniform,"{'n_neighbors': 10, 'weights': 'uniform', 'p': 1}",5,-14.8095692926,-11.7889289307,-14.3350686761,-11.8638566075,-15.2341321221,-11.6212259483,-15.3340290883,-11.7318340966,-14.5348522017,-11.7710876624,-15.8584831024,-11.5284546077,-14.3350634726,-11.8103304897,-14.5703705969,-11.7413252335,0.0444951224491,0.177815098211,0.512697065974,0.101291070479
9,0.487934499979,9.71062237024,-15.1075454896,-9.99200722163e-16,10,1,distance,"{'n_neighbors': 10, 'weights': 'distance', 'p': 1}",8,-15.1842255556,-9.99200722163e-16,-14.5598757316,-9.99200722163e-16,-15.2841184748,-9.99200722163e-16,-15.1842226648,-9.99200722163e-16,-14.8845265625,-9.99200722163e-16,-15.8335503439,-9.99200722163e-16,-14.9344840072,-9.99200722163e-16,-14.9952794002,-9.99200722163e-16,0.0989638234424,0.161617281903,0.346830598407,0.0
