,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_activation,param_alpha,param_hidden_layer_sizes,param_max_iter,param_solver,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,split5_test_score,split5_train_score,split6_test_score,split6_train_score,split7_test_score,split7_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
13,3.04525586963,0.00439885258675,-13.5683514448,-13.1508891918,logistic,3,"(5,)",200,adam,"{'alpha': 3, 'activation': 'logistic', 'max_iter': 200, 'solver': 'adam', 'hidden_layer_sizes': (5,)}",23,-13.6108230421,-13.1055675631,-12.986473218,-13.2839700033,-13.710722321,-13.1769284236,-14.5598462453,-13.0520449973,-14.2102094651,-13.077022046,-13.2611903089,-13.0948600928,-13.0614073614,-13.234017145,-13.1458340883,-13.1827032631,0.0916434301224,0.00229540864686,0.534513554083,0.0764287051046
14,17.6696880758,0.00376784801483,-13.4965452568,-13.1999497137,logistic,3,"(5,)",500,sgd,"{'alpha': 3, 'activation': 'logistic', 'max_iter': 500, 'solver': 'sgd', 'hidden_layer_sizes': (5,)}",6,-13.6857479349,-13.1483853845,-12.8865791426,-13.2768346359,-13.710722321,-13.1697930562,-14.3350819738,-13.0912964153,-14.0603654611,-13.0805916708,-13.0364260374,-13.1840627997,-13.0364300845,-13.3481967354,-13.2208097245,-13.3004370117,0.758777815903,0.000643009051217,0.496781440979,0.092099638645
15,3.04246005416,0.00501409173012,-13.5683514448,-13.1508891918,logistic,3,"(5,)",500,adam,"{'alpha': 3, 'activation': 'logistic', 'max_iter': 500, 'solver': 'adam', 'hidden_layer_sizes': (5,)}",23,-13.6108230421,-13.1055675631,-12.986473218,-13.2839700033,-13.710722321,-13.1769284236,-14.5598462453,-13.0520449973,-14.2102094651,-13.077022046,-13.2611903089,-13.0948600928,-13.0614073614,-13.234017145,-13.1458340883,-13.1827032631,0.208721026436,0.00328765056919,0.534513554083,0.0764287051046
16,25.4881210923,0.00580376386642,-13.5121541413,-13.2030713985,logistic,3,"(10,)",200,sgd,"{'alpha': 3, 'activation': 'logistic', 'max_iter': 200, 'solver': 'sgd', 'hidden_layer_sizes': (10,)}",13,-13.7606693587,-13.1983377473,-12.7866804418,-13.3553325985,-13.7107228992,-13.1876318464,-14.2851303108,-13.0698857699,-13.9604679166,-13.0591825123,-13.2611897308,-13.1876287075,-13.0863765441,-13.3339228617,-13.2458033389,-13.2326491445,0.267986539975,0.0036794540611,0.466542788583,0.1000762888
17,3.02419385314,0.00657111406326,-13.5589841915,-13.1829994196,logistic,3,"(10,)",200,adam,"{'alpha': 3, 'activation': 'logistic', 'max_iter': 200, 'solver': 'adam', 'hidden_layer_sizes': (10,)}",21,-13.6857456222,-13.1912024625,-12.8616001312,-13.2554236602,-13.7356938163,-13.1983346084,-14.3850278552,-13.0663182928,-14.0104178452,-13.08772646,-13.1862683069,-13.1519479881,-13.3361175144,-13.2304447116,-13.2707940605,-13.2825971734,0.449243982012,0.00292790873962,0.459825079058,0.0719149762088
18,25.0519354641,0.0104530155659,-13.5121541413,-13.2030713985,logistic,3,"(10,)",500,sgd,"{'alpha': 3, 'activation': 'logistic', 'max_iter': 500, 'solver': 'sgd', 'hidden_layer_sizes': (10,)}",13,-13.7606693587,-13.1983377473,-12.7866804418,-13.3553325985,-13.7107228992,-13.1876318464,-14.2851303108,-13.0698857699,-13.9604679166,-13.0591825123,-13.2611897308,-13.1876287075,-13.0863765441,-13.3339228617,-13.2458033389,-13.2326491445,0.598909976984,0.00390869640485,0.466542788583,0.1000762888
19,2.94996851683,0.00555437803268,-13.5589841915,-13.1829994196,logistic,3,"(10,)",500,adam,"{'alpha': 3, 'activation': 'logistic', 'max_iter': 500, 'solver': 'adam', 'hidden_layer_sizes': (10,)}",21,-13.6857456222,-13.1912024625,-12.8616001312,-13.2554236602,-13.7356938163,-13.1983346084,-14.3850278552,-13.0663182928,-14.0104178452,-13.08772646,-13.1862683069,-13.1519479881,-13.3361175144,-13.2304447116,-13.2707940605,-13.2825971734,0.366129897991,0.00337401808311,0.459825079058,0.0719149762088
20,61.6379051805,0.0111579596996,-13.5027878999,-13.1932579705,logistic,3,"(50,)",200,sgd,"{'alpha': 3, 'activation': 'logistic', 'max_iter': 200, 'solver': 'sgd', 'hidden_layer_sizes': (50,)}",10,-13.5359010401,-13.130543951,-12.6368381722,-13.2946754086,-13.6857479349,-13.2518575872,-14.4849219307,-13.1198373067,-14.0353887623,-13.1305418033,-13.4360092772,-13.0877224951,-13.0863805912,-13.2554248166,-13.1208393167,-13.2754603956,1.74162926893,0.00625823595862,0.542740427934,0.0780513161288
21,4.49986934662,0.00882351398468,-13.5152820761,-13.2017363434,logistic,3,"(50,)",200,adam,"{'alpha': 3, 'activation': 'logistic', 'max_iter': 200, 'solver': 'adam', 'hidden_layer_sizes': (50,)}",17,-13.9105411145,-13.162686765,-12.6867823192,-13.1769218979,-13.5608823641,-13.2518607261,-14.5598497143,-13.1198437497,-14.0603677737,-13.1912007278,-12.9864894066,-13.1805032524,-13.2112438494,-13.1840579261,-13.1458329312,-13.3468157019,0.636651401511,0.00346032742807,0.585412634182,0.0644998710864
22,74.1020283997,0.0128836333752,-13.5246431135,-13.173634939,logistic,3,"(50,)",500,sgd,"{'alpha': 3, 'activation': 'logistic', 'max_iter': 500, 'solver': 'sgd', 'hidden_layer_sizes': (50,)}",19,-13.5858492341,-13.1127045,-12.6618125584,-13.2625636533,-13.6857467786,-13.2233120701,-14.5098997858,-13.0591822645,-14.0603660392,-13.1091362794,-13.4859574713,-13.0984277352,-13.0614079396,-13.2661316261,-13.1458311954,-13.2576213832,1.86824481012,0.00643459615593,0.54676333851,0.0810968766531
23,3.39764484763,0.0114277303219,-13.5152820761,-13.2017363434,logistic,3,"(50,)",500,adam,"{'alpha': 3, 'activation': 'logistic', 'max_iter': 500, 'solver': 'adam', 'hidden_layer_sizes': (50,)}",17,-13.9105411145,-13.162686765,-12.6867823192,-13.1769218979,-13.5608823641,-13.2518607261,-14.5598497143,-13.1198437497,-14.0603677737,-13.1912007278,-12.9864894066,-13.1805032524,-13.2112438494,-13.1840579261,-13.1458329312,-13.3468157019,0.508386080476,0.00600532131016,0.585412634182,0.0644998710864
