,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_n_estimators,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,split5_test_score,split5_train_score,split6_test_score,split6_train_score,split7_test_score,split7_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,1.76821124554,0.0157366991043,-13.9430066638,-13.4581978697,10,{'n_estimators': 10},3,-14.3350865991,-13.1555320685,-13.3361284995,-13.683615834,-14.0354026382,-13.3589110618,-14.4099999287,-13.4195651128,-13.8356000332,-13.6086739495,-13.9105324421,-13.430275309,-13.985453866,-13.5123357925,-13.6956704633,-13.4966738296,0.252805301827,0.00817188866064,0.320983934998,0.150666950643
1,3.92165884376,0.0294157862663,-13.6963701866,-13.0621470559,30,{'n_estimators': 30},1,-14.3101139475,-12.9307423472,-12.7617262913,-13.1876478714,-14.1103286873,-13.0663303528,-14.3350842864,-13.1341224144,-13.4110505015,-13.137690222,-13.610847903,-12.9378816796,-13.760691907,-12.9628565806,-13.2708102607,-13.1399049794,0.22144384103,0.0133992858215,0.512783708606,0.0969981644035
2,6.97449585795,0.0381163954735,-13.8555970122,-12.7905326313,50,{'n_estimators': 50},2,-14.0354066853,-12.7380712373,-13.2861814617,-12.7630463035,-14.1852524238,-12.8022948305,-14.3350912244,-12.8379736499,-13.8605825136,-12.7701811753,-13.8605854044,-12.8486814507,-13.8106453046,-12.7130922887,-13.4707528121,-12.8509201145,0.434172281158,0.00604739688753,0.325057253089,0.0491627620705
3,10.6967677772,0.0624800920486,-14.058534771,-12.2771831826,100,{'n_estimators': 100},4,-14.085357192,-12.1814507932,-13.2612140136,-12.4704631164,-14.1852558928,-12.2670849491,-15.1092954594,-12.1957220236,-14.0354043727,-12.2064262724,-14.0603839622,-12.3277423868,-13.9854671637,-12.2207009722,-13.7456738925,-12.3478749471,0.68930766032,0.0035888798598,0.482241215246,0.0928776460349
4,29.830232501,0.182000130415,-14.5830435634,-11.2156939944,300,{'n_estimators': 300},5,-14.8096091858,-11.2180729406,-13.8855690411,-11.3822039853,-14.7846365342,-11.2858638458,-15.5838116863,-11.1467069588,-15.0094106345,-11.1538433174,-14.559866481,-11.0503690497,-13.9105532559,-11.196659239,-14.1205572805,-11.291832619,0.6268778014,0.00812403919329,0.55096584755,0.096651119512
5,49.212513417,0.306620776653,-14.6579751565,-10.5489170099,500,{'n_estimators': 500},6,-15.1093029755,-10.5187269759,-13.9854712108,-10.5793840005,-14.7596673515,-10.5686787604,-14.9095125119,-10.515156938,-15.2092022544,-10.4830439437,-14.6597669163,-10.6578809718,-14.185263987,-10.4366593059,-14.4454603826,-10.6318051831,0.34415114503,0.0230946694175,0.403442783834,0.0698700509051
