,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_criterion,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,split5_test_score,split5_train_score,split6_test_score,split6_train_score,split7_test_score,split7_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,1.0149962306,0.0120631158352,-14.5798943069,-13.239201846,entropy,5,,2,35,"{'max_features': None, 'min_samples_split': 35, 'criterion': 'entropy', 'max_depth': 5, 'min_samples_leaf': 2}",34,-15.2840710655,-13.2482774718,-14.4600001573,-13.512381059,-15.2091958946,-13.2447460921,-14.8844907165,-13.2375723143,-14.3350808175,-13.2126110428,-14.1602231124,-13.1376467728,-14.4599475446,-13.1911942022,-13.8456142141,-13.1291858129,0.0402529246505,0.00968363601688,0.47281375855,0.111899178141
1,1.51537367702,0.0124858617783,-14.5798943069,-13.239201846,entropy,5,,2,40,"{'max_features': None, 'min_samples_split': 40, 'criterion': 'entropy', 'max_depth': 5, 'min_samples_leaf': 2}",34,-15.2840710655,-13.2482774718,-14.4600001573,-13.512381059,-15.2091958946,-13.2447460921,-14.8844907165,-13.2375723143,-14.3350808175,-13.2126110428,-14.1602231124,-13.1376467728,-14.4599475446,-13.1911942022,-13.8456142141,-13.1291858129,0.0288918680691,0.0103628280116,0.47281375855,0.111899178141
2,1.26750537753,0.00469797849655,-14.5861381787,-13.243215821,entropy,5,,2,45,"{'max_features': None, 'min_samples_split': 45, 'criterion': 'entropy', 'max_depth': 5, 'min_samples_leaf': 2}",36,-15.2840710655,-13.2482774718,-14.4600001573,-13.512381059,-15.2091958946,-13.2590186442,-14.8844907165,-13.2375723143,-14.3350808175,-13.2126110428,-14.1352487262,-13.1519189945,-14.4599475446,-13.1911942022,-13.9205892717,-13.132752839,0.120607961642,0.00321951019495,0.461692624045,0.110077930492
3,1.17910736799,0.0188021063805,-14.5736502906,-13.2400938805,entropy,5,,3,35,"{'max_features': None, 'min_samples_split': 35, 'criterion': 'entropy', 'max_depth': 5, 'min_samples_leaf': 3}",27,-15.2840710655,-13.2482774718,-14.4600001573,-13.512381059,-15.2091958946,-13.2447460921,-14.8844907165,-13.2375723143,-14.3350808175,-13.2126110428,-14.1102754965,-13.1447830488,-14.4599475446,-13.1911942022,-13.8456142141,-13.1291858129,0.0559335190035,0.0225114060504,0.478609030272,0.111111722554
4,1.30616760254,0.00998815894127,-14.5736502906,-13.2400938805,entropy,5,,3,40,"{'max_features': None, 'min_samples_split': 40, 'criterion': 'entropy', 'max_depth': 5, 'min_samples_leaf': 3}",27,-15.2840710655,-13.2482774718,-14.4600001573,-13.512381059,-15.2091958946,-13.2447460921,-14.8844907165,-13.2375723143,-14.3350808175,-13.2126110428,-14.1102754965,-13.1447830488,-14.4599475446,-13.1911942022,-13.8456142141,-13.1291858129,0.0519956942902,0.00597505246259,0.478609030272,0.111111722554
5,1.17679786682,0.00625386834145,-14.5798941624,-13.2441078555,entropy,5,,3,45,"{'max_features': None, 'min_samples_split': 45, 'criterion': 'entropy', 'max_depth': 5, 'min_samples_leaf': 3}",31,-15.2840710655,-13.2482774718,-14.4600001573,-13.512381059,-15.2091958946,-13.2590186442,-14.8844907165,-13.2375723143,-14.3350808175,-13.2126110428,-14.0853011103,-13.1590552705,-14.4599475446,-13.1911942022,-13.9205892717,-13.132752839,0.0712945724504,0.00552477156633,0.468042399048,0.109361058067
6,1.30338853598,0.00836724042892,-14.5736502906,-13.2414319013,entropy,5,,4,35,"{'max_features': None, 'min_samples_split': 35, 'criterion': 'entropy', 'max_depth': 5, 'min_samples_leaf': 4}",27,-15.2840710655,-13.2482774718,-14.4600001573,-13.512381059,-15.2091958946,-13.2554502583,-14.8844907165,-13.2375723143,-14.3350808175,-13.2126110428,-14.1102754965,-13.1447830488,-14.4599475446,-13.1911942022,-13.8456142141,-13.1291858129,0.207544362205,0.0100180835318,0.478609030272,0.111224082365
7,1.03280079365,0.00457486510277,-14.5736502906,-13.2414319013,entropy,5,,4,40,"{'max_features': None, 'min_samples_split': 40, 'criterion': 'entropy', 'max_depth': 5, 'min_samples_leaf': 4}",27,-15.2840710655,-13.2482774718,-14.4600001573,-13.512381059,-15.2091958946,-13.2554502583,-14.8844907165,-13.2375723143,-14.3350808175,-13.2126110428,-14.1102754965,-13.1447830488,-14.4599475446,-13.1911942022,-13.8456142141,-13.1291858129,0.0290752981005,0.00228383034201,0.478609030272,0.111224082365
8,1.19594907761,0.00688830018044,-14.5798941624,-13.2454458762,entropy,5,,4,45,"{'max_features': None, 'min_samples_split': 45, 'criterion': 'entropy', 'max_depth': 5, 'min_samples_leaf': 4}",31,-15.2840710655,-13.2482774718,-14.4600001573,-13.512381059,-15.2091958946,-13.2697228104,-14.8844907165,-13.2375723143,-14.3350808175,-13.2126110428,-14.0853011103,-13.1590552705,-14.4599475446,-13.1911942022,-13.9205892717,-13.132752839,0.0932505226078,0.00540566801391,0.468042399048,0.109600524675
9,1.01357528567,0.00858688354492,-14.5705282101,-13.2481220107,entropy,5,,5,35,"{'max_features': None, 'min_samples_split': 35, 'criterion': 'entropy', 'max_depth': 5, 'min_samples_leaf': 5}",25,-15.2840710655,-13.2482774718,-14.4600001573,-13.5266532806,-15.2091958946,-13.2697228104,-14.8844907165,-13.251844536,-14.3350808175,-13.2126110428,-14.0853011103,-13.1519191597,-14.4599475446,-13.1911942022,-13.8456142141,-13.1327535823,0.0357952588257,0.00781725207427,0.481693071658,0.114633552727
10,1.09636318684,0.00702279806137,-14.5705282101,-13.2481220107,entropy,5,,5,40,"{'max_features': None, 'min_samples_split': 40, 'criterion': 'entropy', 'max_depth': 5, 'min_samples_leaf': 5}",25,-15.2840710655,-13.2482774718,-14.4600001573,-13.5266532806,-15.2091958946,-13.2697228104,-14.8844907165,-13.251844536,-14.3350808175,-13.2126110428,-14.0853011103,-13.1519191597,-14.4599475446,-13.1911942022,-13.8456142141,-13.1327535823,0.0534024142722,0.0071393581939,0.481693071658,0.114633552727
