,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_n_neighbors,param_p,param_weights,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,split5_test_score,split5_train_score,split6_test_score,split6_train_score,split7_test_score,split7_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.451225876808,10.380456388,-13.7837186198,-13.5790007866,200,2,uniform,"{'n_neighbors': 200, 'weights': 'uniform', 'p': 2}",1,-13.5858006686,-13.5979140262,-13.1612476679,-13.6264595433,-13.5608262824,-13.6050452635,-14.4598943537,-13.5443870824,-14.3350230013,-13.4337815774,-14.2351306603,-13.4765911384,-13.2861126605,-13.7013784642,-13.6456138048,-13.6464491975,0.177041527432,1.28844405537,0.462070177382,0.0833579678339
1,0.473416417837,8.99768581986,-13.8055692077,-13.6516962128,250,2,uniform,"{'n_neighbors': 250, 'weights': 'uniform', 'p': 2}",2,-13.6856895406,-13.6799759966,-13.5108850263,-13.6942497051,-13.2611336491,-13.6728362512,-14.4099415344,-13.5550886053,-14.235126035,-13.587205895,-14.4598926192,-13.5301094089,-13.3360544948,-13.7656008184,-13.5456428184,-13.7285030217,0.0742634458739,0.179176826449,0.456022394038,0.0792199264258
2,0.535798370838,10.160939157,-13.8742531706,-13.6418833591,300,2,uniform,"{'n_neighbors': 300, 'weights': 'uniform', 'p': 2}",3,-13.8355335446,-13.5657960757,-13.4359589772,-13.7156578724,-13.6856935877,-13.7763096104,-14.5348134649,-13.5586559999,-14.2850736509,-13.5479557986,-14.434917655,-13.4872912571,-13.2361575285,-13.7941438574,-13.5456393469,-13.6892564015,0.0659827995026,0.567592418968,0.456048127149,0.108614992606
