,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_C,param_penalty,param_solver,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,split5_test_score,split5_train_score,split6_test_score,split6_train_score,split7_test_score,split7_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.81116387248,0.140748620033,-13.3984030961,-13.270379169,0.01,l1,liblinear,"{'penalty': 'l1', 'C': 0.01, 'solver': 'liblinear'}",1,-14.0940296016,-13.1081774657,-13.3222089913,-13.3263600065,-13.2061142797,-13.2600171956,-14.0478182409,-13.2019687359,-14.0768565333,-13.1853844491,-12.886852311,-13.2931873052,-12.9158717893,-13.3885548739,-12.6362479948,-13.3993833197,0.132298927925,0.134115472707,0.557229242475,0.0952513032509
1,2.41645798087,0.00624012947083,-13.6088339579,-12.8744080894,0.01,l2,liblinear,"{'penalty': 'l2', 'C': 0.01, 'solver': 'liblinear'}",5,-14.1230300852,-12.8013115461,-13.4383131099,-12.9739223608,-13.0900202401,-13.0029468306,-14.1348975058,-12.7666049524,-13.9027087545,-12.7873373748,-13.9317383118,-12.8785540242,-12.8578254414,-12.8868498153,-13.3915235028,-12.8977378107,0.424435000227,0.00511516262365,0.452967340118,0.08037994912
2,1.19084048271,0.00391814112663,-13.5943179193,-12.9708078807,0.1,l1,liblinear,"{'penalty': 'l1', 'C': 0.1, 'solver': 'liblinear'}",2,-14.1230267284,-12.8966865327,-13.4673339321,-13.0070906466,-13.1190390465,-13.094163768,-13.8736724779,-12.907578302,-13.9027047229,-12.8827001439,-14.1639304227,-12.965624074,-12.944897987,-13.0195291017,-13.1591280384,-12.9930904769,0.184914882063,0.0031728418902,0.451436591622,0.0677174132678
3,2.50869441032,0.00703185796738,-13.7104193502,-12.8023647551,0.1,l2,liblinear,"{'penalty': 'l2', 'C': 0.1, 'solver': 'liblinear'}",6,-14.2970323155,-12.7308147284,-13.6705105963,-12.9407507154,-13.2931915288,-12.8744109762,-13.9607470393,-12.7127022285,-13.9897826439,-12.7500204735,-14.1639337824,-12.7085526531,-13.0319712044,-12.8661175849,-13.2753271156,-12.8355486812,0.214931899386,0.00633516356005,0.435301175603,0.0823152002425
4,4.63958734274,0.00610375404358,-13.7358162653,-12.8137668311,1,l1,liblinear,"{'penalty': 'l1', 'C': 1, 'solver': 'liblinear'}",11,-14.2680331747,-12.7722830155,-13.6414864144,-12.9448964511,-13.2931915288,-12.890995263,-14.0478209286,-12.7251402996,-14.0188081696,-12.6878246463,-14.1639337824,-12.750016058,-13.1480706195,-12.8744094403,-13.304375708,-12.8645694752,1.11004275034,0.00661112708645,0.415399365062,0.0858187091195
5,4.27655816078,0.00391298532486,-13.7285602198,-12.7935520405,1,l2,liblinear,"{'penalty': 'l2', 'C': 1, 'solver': 'liblinear'}",10,-14.3260327992,-12.6312903402,-13.6414857425,-12.9573367301,-13.2931915288,-12.8536786498,-14.0187980907,-12.7168491161,-14.0188074977,-12.7583130969,-14.1639357982,-12.7168455645,-13.0029456787,-12.8619707932,-13.3624749103,-12.8521320332,0.438910967216,0.00304412298583,0.443404022344,0.0986732230388
6,2.13541197777,0.00356596708298,-13.5979475379,-12.8557472073,0.01,l2,sag,"{'penalty': 'l2', 'C': 0.01, 'solver': 'sag'}",3,-14.0650271038,-12.768134478,-13.4963614736,-12.96148093,-13.0319691886,-12.9822126804,-14.1058706362,-12.7914804228,-13.9607551024,-12.7541641935,-13.9897846597,-12.8536732744,-12.7707495363,-12.8785549841,-13.3624722204,-12.8562766954,0.079859098777,0.00334081592719,0.478514363425,0.0789170694999
7,0.69843801856,0.0051027238369,-13.5979476219,-12.8588570393,0.01,l2,lbfgs,"{'penalty': 'l2', 'C': 0.01, 'solver': 'lbfgs'}",4,-14.0650277752,-12.7722813835,-13.4963614736,-12.9656272417,-13.0319691886,-12.9822126804,-14.1058706362,-12.7914804228,-13.9607551024,-12.7541641935,-13.9897846597,-12.857819586,-12.7707495363,-12.8909941112,-13.3624722204,-12.8562766954,0.166474110684,0.00453680451857,0.478514445409,0.0795711637297
8,4.17138662934,0.00362196564674,-13.7176753117,-12.8085840067,0.1,l2,sag,"{'penalty': 'l2', 'C': 0.1, 'solver': 'sag'}",7,-14.3550319401,-12.7266676309,-13.6705105963,-12.9573357702,-13.2931915288,-12.8744105922,-13.9607470393,-12.7127020365,-13.9897826439,-12.7500201856,-14.1929579642,-12.7251378039,-13.0029463507,-12.890995263,-13.2753271156,-12.8314027713,0.324648155659,0.00343561264299,0.454744526803,0.0866524469015
9,1.61382675171,0.00685748457909,-13.7176753117,-12.8070290776,0.1,l2,lbfgs,"{'penalty': 'l2', 'C': 0.1, 'solver': 'lbfgs'}",7,-14.3260321278,-12.7308144404,-13.6995347781,-12.9490431468,-13.2931915288,-12.8868498153,-13.9607470393,-12.7127020365,-13.9897826439,-12.7417273702,-14.1929579642,-12.7209913962,-13.0029463507,-12.8744100163,-13.2753271156,-12.8396943992,0.0954360241485,0.00435252369108,0.449484347933,0.0855274936508
10,8.50195747614,0.00237399339676,-13.7358162653,-12.7971800872,1,l2,sag,"{'penalty': 'l2', 'C': 1, 'solver': 'sag'}",12,-14.3550326114,-12.6354371497,-13.6705105963,-12.9614829458,-13.3222157106,-12.8702641845,-14.0187980907,-12.7044097971,-13.9897826439,-12.7541669772,-14.1639357982,-12.7126992528,-13.0029456787,-12.8827025437,-13.3624749103,-12.8562778472,0.202772713901,0.000327775512475,0.442056450839,0.104221875099
11,2.12127897143,0.00866588950157,-13.7176759836,-12.7945892451,1,l2,lbfgs,"{'penalty': 'l2', 'C': 1, 'solver': 'lbfgs'}",9,-14.3260327992,-12.6769054368,-13.6705105963,-12.9407510034,-13.2641673469,-12.8744104962,-13.9607483831,-12.6712385356,-13.9607584621,-12.7500204735,-14.2510090156,-12.7085527491,-13.0029456787,-12.8868488554,-13.304377053,-12.8479864112,0.448105517344,0.0051628435438,0.455855371356,0.0984576781226
