,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_alpha,param_l1_ratio,param_loss,param_penalty,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,split5_test_score,split5_train_score,split6_test_score,split6_train_score,split7_test_score,split7_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.23535323143,0.00626987218857,-14.0554353854,-13.7914022624,0.0018,0.55,log,elasticnet,"{'penalty': 'elasticnet', 'alpha': 0.0018, 'loss': 'log', 'l1_ratio': 0.55}",15,-14.3101497935,-13.7692808009,-13.83563877,-13.8120894534,-14.1353290907,-13.9048690543,-14.9844611093,-13.5230896858,-14.9844379828,-13.5765945746,-13.4110967544,-14.1403742584,-13.8106678529,-13.9120003741,-12.9709175519,-13.692919898,0.0107715962387,0.00498066585195,0.661100930222,0.186396803865
1,0.218370974064,0.0022711455822,-13.9867505552,-13.7708858962,0.0018,0.58,log,elasticnet,"{'penalty': 'elasticnet', 'alpha': 0.0018, 'loss': 'log', 'l1_ratio': 0.58}",12,-14.0354361715,-13.7978257398,-13.7357418037,-13.8691798268,-13.9605072316,-13.9405460565,-14.7097503782,-13.4196155006,-14.8845398602,-13.5409114598,-13.5109971897,-14.0511713036,-13.8606183596,-13.9120007045,-13.1958415675,-13.635836578,0.00497205617655,0.000124093173706,0.531784563055,0.203765420051
2,0.219080328941,0.00232529640198,-13.9773843138,-13.7494778974,0.0018,0.6,log,elasticnet,"{'penalty': 'elasticnet', 'alpha': 0.0018, 'loss': 'log', 'l1_ratio': 0.6}",10,-13.7107714647,-13.8798911795,-13.7107697303,-13.826361262,-13.8106649621,-13.8442097168,-15.2841485392,-13.5587681749,-15.2092051452,-13.5480486444,-13.3361782214,-14.0261945027,-13.8106695873,-13.7407336317,-12.9459210446,-13.5716160672,0.0128193915606,0.000297642130379,0.782424540336,0.164742263931
3,0.211705029011,0.00232073664665,-13.9867490373,-13.7619645672,0.0018,0.62,log,elasticnet,"{'penalty': 'elasticnet', 'alpha': 0.0018, 'loss': 'log', 'l1_ratio': 0.62}",11,-14.1353290907,-13.7550069272,-13.7856905759,-13.8263610142,-14.0104554257,-13.9012962079,-15.1343010662,-13.5873131138,-15.0593588285,-13.4873886461,-13.3611531856,-14.0476013483,-13.5609274607,-13.8834583263,-12.8459517939,-13.6072909535,0.0185576264063,0.00019058998527,0.741956832049,0.176697734452
4,0.212642669678,0.00224500894547,-13.9961160015,-13.7267317094,0.0018,0.64,log,elasticnet,"{'penalty': 'elasticnet', 'alpha': 0.0018, 'loss': 'log', 'l1_ratio': 0.64}",14,-14.135330247,-13.8156641996,-14.0104577383,-13.8870191952,-13.9105578812,-13.9120031,-14.8845658775,-13.4231828952,-14.9344886325,-13.5016628502,-13.5609471182,-13.9833749467,-13.6608250052,-13.7657110934,-12.8709419369,-13.5252353948,0.00855006176859,0.000223870308776,0.638746931577,0.199596573267
5,0.227315604687,0.00389516353607,-13.8525003731,-13.6959557033,0.002,0.55,log,elasticnet,"{'penalty': 'elasticnet', 'alpha': 0.002, 'loss': 'log', 'l1_ratio': 0.55}",2,-13.8855875422,-13.837074019,-13.7607144553,-13.9012909213,-13.7856894196,-13.8584792125,-15.0593825332,-13.3589538502,-14.6348000462,-13.4053245281,-13.0864326258,-14.0261930159,-13.6857924533,-13.6550937762,-12.920930323,-13.5252363034,0.0211153259094,0.00219007132905,0.667524271565,0.230867668809
6,0.2326130867,0.00239828228951,-13.9929910299,-13.7088899756,0.002,0.58,log,elasticnet,"{'penalty': 'elasticnet', 'alpha': 0.002, 'loss': 'log', 'l1_ratio': 0.58}",13,-13.8356410827,-13.8156654387,-13.9605083879,-13.8299296478,-14.0604030416,-13.8691872611,-15.0843534503,-13.5123846935,-14.709717423,-13.4766829104,-13.3861206338,-13.9798066434,-14.0604036197,-13.6229821861,-12.8459512154,-13.5644810239,0.0221753135982,0.000295883927072,0.654123619747,0.175325127636
7,0.2129971385,0.00327971577644,-13.914938296,-13.6812351499,0.002,0.6,log,elasticnet,"{'penalty': 'elasticnet', 'alpha': 0.002, 'loss': 'log', 'l1_ratio': 0.6}",4,-13.7856888415,-13.7443016045,-13.7357383348,-13.8334964642,-13.6108681387,-13.7621427902,-14.9594820979,-13.4695646419,-14.8845381257,-13.5801573434,-13.5609372895,-13.9262822603,-13.7107645268,-13.5765921791,-13.0708787024,-13.5573439157,0.0063985874575,0.0024630264806,0.61762379445,0.1479338257
8,0.208287000656,0.00230821967125,-13.9492842165,-13.6544757542,0.002,0.62,log,elasticnet,"{'penalty': 'elasticnet', 'alpha': 0.002, 'loss': 'log', 'l1_ratio': 0.62}",8,-13.8855869641,-13.787121078,-14.0354309681,-13.8156570958,-14.1103523919,-13.8691828831,-14.9345111808,-13.3910670924,-14.7097237827,-13.3339596201,-13.4110984889,-13.926283582,-13.6358477282,-13.5765965571,-12.8709425155,-13.535938125,0.0086099486425,0.000247490168534,0.626150130828,0.210886197829
9,0.210792839527,0.00231200456619,-13.8743532016,-13.6567061335,0.002,0.64,log,elasticnet,"{'penalty': 'elasticnet', 'alpha': 0.002, 'loss': 'log', 'l1_ratio': 0.64}",3,-13.6608180672,-13.7228937677,-13.7107685739,-13.8513377325,-14.1602976952,-13.7550042013,-14.9844576403,-13.3482501796,-14.3351091474,-13.4588449462,-13.4860170219,-14.0083493521,-13.8356376137,-13.5837334939,-12.8209581795,-13.5252353948,0.0107926835039,0.000316923153812,0.59792876539,0.203863131694
10,0.21749162674,0.00237277150154,-13.9336711401,-13.6625023133,0.0022,0.55,log,elasticnet,"{'penalty': 'elasticnet', 'alpha': 0.0022, 'loss': 'log', 'l1_ratio': 0.55}",5,-14.0354303899,-13.7121863799,-13.6857936097,-13.8192239947,-14.1103500793,-13.7264611622,-14.6597900427,-13.4624275398,-14.8845358131,-13.5337715492,-13.5609378676,-13.804964907,-13.6608180672,-13.6693655022,-12.8709448298,-13.5716174713,0.0115065063766,0.000228261026152,0.59964733683,0.120584617245
