,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_criterion,param_loss,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,split5_test_score,split5_train_score,split6_test_score,split6_train_score,split7_test_score,split7_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
10,377.540864527,0.536665707827,-13.927388817,-9.99200722163e-16,friedman_mse,deviance,20,log2,2,10,150,"{'loss': 'deviance', 'min_samples_leaf': 2, 'n_estimators': 150, 'max_features': 'log2', 'criterion': 'friedman_mse', 'min_samples_split': 10, 'max_depth': 20}",23,-14.2851291544,-9.99200722163e-16,-13.3111431283,-9.99200722163e-16,-13.7606757185,-9.99200722163e-16,-14.3350796612,-9.99200722163e-16,-14.2601547683,-9.99200722163e-16,-14.1602589584,-9.99200722163e-16,-13.7357048014,-9.99200722163e-16,-13.570706441,-9.99200722163e-16,6.24637047222,0.0624303963627,0.358934169613,0.0
11,308.574420393,0.48226121068,-13.7744114285,-9.99200722163e-16,friedman_mse,deviance,20,log2,2,15,150,"{'loss': 'deviance', 'min_samples_leaf': 2, 'n_estimators': 150, 'max_features': 'log2', 'criterion': 'friedman_mse', 'min_samples_split': 15, 'max_depth': 20}",6,-13.8106244907,-9.99200722163e-16,-13.0863753878,-9.99200722163e-16,-13.0614038925,-9.99200722163e-16,-14.7846232365,-9.99200722163e-16,-14.1602664745,-9.99200722163e-16,-13.6857444659,-9.99200722163e-16,-13.9604748545,-9.99200722163e-16,-13.6456855487,-9.99200722163e-16,7.15932341394,0.0651791107783,0.525801345852,0.0
12,269.536677092,0.683772236109,-13.7806535657,-9.99200722163e-16,friedman_mse,deviance,20,log2,3,8,150,"{'loss': 'deviance', 'min_samples_leaf': 3, 'n_estimators': 150, 'max_features': 'log2', 'criterion': 'friedman_mse', 'min_samples_split': 8, 'max_depth': 20}",8,-14.0104213141,-9.99200722163e-16,-13.4609946484,-9.99200722163e-16,-13.4859568931,-9.99200722163e-16,-14.085339269,-9.99200722163e-16,-13.8605721066,-9.99200722163e-16,-13.5359073998,-9.99200722163e-16,-14.0603671955,-9.99200722163e-16,-13.7456443849,-9.99200722163e-16,1.08685307284,0.125599229252,0.245063793479,0.0
13,251.60691911,0.497290492058,-13.5995765136,-9.99200722163e-16,friedman_mse,deviance,20,log2,3,10,150,"{'loss': 'deviance', 'min_samples_leaf': 3, 'n_estimators': 150, 'max_features': 'log2', 'criterion': 'friedman_mse', 'min_samples_split': 10, 'max_depth': 20}",1,-13.6358061006,-9.99200722163e-16,-13.3111460191,-9.99200722163e-16,-13.4609848197,-9.99200722163e-16,-14.8845086395,-9.99200722163e-16,-14.1103159678,-9.99200722163e-16,-13.1862735104,-9.99200722163e-16,-13.1113584463,-9.99200722163e-16,-13.0958543809,-9.99200722163e-16,3.49475140746,0.167512942143,0.578639419381,0.0
14,215.387251377,0.392160356045,-13.9960767552,-9.99200722163e-16,friedman_mse,deviance,20,log2,3,15,150,"{'loss': 'deviance', 'min_samples_leaf': 3, 'n_estimators': 150, 'max_features': 'log2', 'criterion': 'friedman_mse', 'min_samples_split': 15, 'max_depth': 20}",27,-13.8855447583,-9.99200722163e-16,-13.2861704767,-9.99200722163e-16,-13.8855488054,-9.99200722163e-16,-14.3850284334,-9.99200722163e-16,-14.534878219,-9.99200722163e-16,-13.7107333061,-9.99200722163e-16,-14.4349812527,-9.99200722163e-16,-13.8456199999,-9.99200722163e-16,8.85531978878,0.132456835847,0.397929721289,0.0
15,277.587425739,0.66734367609,-13.7088476669,-9.99200722163e-16,friedman_mse,deviance,20,log2,4,8,150,"{'loss': 'deviance', 'min_samples_leaf': 4, 'n_estimators': 150, 'max_features': 'log2', 'criterion': 'friedman_mse', 'min_samples_split': 8, 'max_depth': 20}",2,-13.6358072569,-9.99200722163e-16,-13.3361238742,-9.99200722163e-16,-13.7357013324,-9.99200722163e-16,-14.3101093222,-9.99200722163e-16,-14.1352863067,-9.99200722163e-16,-13.8106239126,-9.99200722163e-16,-13.1862775575,-9.99200722163e-16,-13.5207157406,-9.99200722163e-16,2.23661412888,0.118455447078,0.354831214992,0.0
16,253.640813291,0.450984507799,-13.7775350991,-9.99200722163e-16,friedman_mse,deviance,20,log2,4,10,150,"{'loss': 'deviance', 'min_samples_leaf': 4, 'n_estimators': 150, 'max_features': 'log2', 'criterion': 'friedman_mse', 'min_samples_split': 10, 'max_depth': 20}",7,-13.8855516962,-9.99200722163e-16,-13.3860726464,-9.99200722163e-16,-13.5608864112,-9.99200722163e-16,-14.3850324805,-9.99200722163e-16,-14.3600598289,-9.99200722163e-16,-13.7357007543,-9.99200722163e-16,-13.4360167933,-9.99200722163e-16,-13.4707383476,-9.99200722163e-16,7.86274813378,0.145718065132,0.376294209825,0.0
17,201.442208648,0.509009480476,-13.893051642,-9.99200722163e-16,friedman_mse,deviance,20,log2,4,15,150,"{'loss': 'deviance', 'min_samples_leaf': 4, 'n_estimators': 150, 'max_features': 'log2', 'criterion': 'friedman_mse', 'min_samples_split': 15, 'max_depth': 20}",18,-14.0353974347,-9.99200722163e-16,-13.4360214186,-9.99200722163e-16,-14.1852379698,-9.99200722163e-16,-14.4100051321,-9.99200722163e-16,-13.9604719637,-9.99200722163e-16,-13.9854428809,-9.99200722163e-16,-13.6108351835,-9.99200722163e-16,-13.5207319409,-9.99200722163e-16,2.28536525336,0.022172217582,0.318801603,0.0
18,266.372445643,0.506352961063,-13.7587958224,-9.99200722163e-16,friedman_mse,deviance,25,log2,2,8,150,"{'loss': 'deviance', 'min_samples_leaf': 2, 'n_estimators': 150, 'max_features': 'log2', 'criterion': 'friedman_mse', 'min_samples_split': 8, 'max_depth': 25}",4,-13.6358043661,-9.99200722163e-16,-13.3610924787,-9.99200722163e-16,-14.0104103291,-9.99200722163e-16,-14.335079083,-9.99200722163e-16,-14.3101000716,-9.99200722163e-16,-13.4110337348,-9.99200722163e-16,-13.3860633958,-9.99200722163e-16,-13.6206832555,-9.99200722163e-16,4.01516319361,0.270731702791,0.379420082451,0.0
19,250.445664883,0.357710361481,-13.7962644016,-9.99200722163e-16,friedman_mse,deviance,25,log2,2,10,150,"{'loss': 'deviance', 'min_samples_leaf': 2, 'n_estimators': 150, 'max_features': 'log2', 'criterion': 'friedman_mse', 'min_samples_split': 10, 'max_depth': 25}",10,-14.0353887623,-9.99200722163e-16,-13.4609871323,-9.99200722163e-16,-13.8855412893,-9.99200722163e-16,-14.4100062885,-9.99200722163e-16,-14.3350773485,-9.99200722163e-16,-13.685755451,-9.99200722163e-16,-13.4609969611,-9.99200722163e-16,-13.0958555381,-9.99200722163e-16,3.66866860384,0.0371795642742,0.42713089719,0.0
20,226.660762817,0.440416991711,-13.7806550112,-9.99200722163e-16,friedman_mse,deviance,25,log2,2,15,150,"{'loss': 'deviance', 'min_samples_leaf': 2, 'n_estimators': 150, 'max_features': 'log2', 'criterion': 'friedman_mse', 'min_samples_split': 15, 'max_depth': 25}",9,-13.9105179881,-9.99200722163e-16,-13.3111483317,-9.99200722163e-16,-13.7357048014,-9.99200722163e-16,-14.1103124988,-9.99200722163e-16,-14.3350842864,-9.99200722163e-16,-13.985446928,-9.99200722163e-16,-13.6108351835,-9.99200722163e-16,-13.2458033389,-9.99200722163e-16,2.65327474352,0.0688271637786,0.355688902792,0.0
21,259.090695411,0.42198497057,-13.8524594645,-9.99200722163e-16,friedman_mse,deviance,25,log2,3,8,150,"{'loss': 'deviance', 'min_samples_leaf': 3, 'n_estimators': 150, 'max_features': 'log2', 'criterion': 'friedman_mse', 'min_samples_split': 8, 'max_depth': 25}",16,-14.0603637266,-9.99200722163e-16,-13.6607787522,-9.99200722163e-16,-13.7856483702,-9.99200722163e-16,-14.7596448032,-9.99200722163e-16,-14.6597403208,-9.99200722163e-16,-13.2611931997,-9.99200722163e-16,-13.4609853978,-9.99200722163e-16,-13.1708282814,-9.99200722163e-16,2.03953064374,0.131246254939,0.561969553214,0.0
22,243.994034022,0.400524169207,-13.8243624029,-9.99200722163e-16,friedman_mse,deviance,25,log2,3,10,150,"{'loss': 'deviance', 'min_samples_leaf': 3, 'n_estimators': 150, 'max_features': 'log2', 'criterion': 'friedman_mse', 'min_samples_split': 10, 'max_depth': 25}",11,-14.4599539044,-9.99200722163e-16,-13.0364295064,-9.99200722163e-16,-13.5359091343,-9.99200722163e-16,-13.9354912179,-9.99200722163e-16,-14.4849253997,-9.99200722163e-16,-13.0614015798,-9.99200722163e-16,-14.16026474,-9.99200722163e-16,-13.9205933217,-9.99200722163e-16,4.80352277024,0.0971610198244,0.531637898209,0.0
23,210.981129259,0.37823471427,-13.9242689049,-9.99200722163e-16,friedman_mse,deviance,25,log2,3,15,150,"{'loss': 'deviance', 'min_samples_leaf': 3, 'n_estimators': 150, 'max_features': 'log2', 'criterion': 'friedman_mse', 'min_samples_split': 15, 'max_depth': 25}",22,-13.9854440372,-9.99200722163e-16,-13.3610913224,-9.99200722163e-16,-13.7856524173,-9.99200722163e-16,-14.3350831301,-9.99200722163e-16,-14.6597518841,-9.99200722163e-16,-13.7606693587,-9.99200722163e-16,-13.7606786093,-9.99200722163e-16,-13.7456513278,-9.99200722163e-16,1.44357625551,0.0558610862596,0.376719364906,0.0
24,248.04316467,0.444088697433,-13.8368513029,-9.99200722163e-16,friedman_mse,deviance,25,log2,4,8,150,"{'loss': 'deviance', 'min_samples_leaf': 4, 'n_estimators': 150, 'max_features': 'log2', 'criterion': 'friedman_mse', 'min_samples_split': 8, 'max_depth': 25}",14,-14.4100039758,-9.99200722163e-16,-13.5109399517,-9.99200722163e-16,-13.8355988769,-9.99200722163e-16,-14.5848235223,-9.99200722163e-16,-14.5348730156,-9.99200722163e-16,-13.610833449,-9.99200722163e-16,-13.1363258945,-9.99200722163e-16,-13.0708578736,-9.99200722163e-16,3.42604277052,0.0833466743277,0.571160878621,0.0
25,238.83095184,0.403675407171,-13.7400675317,-9.99200722163e-16,friedman_mse,deviance,25,log2,4,10,150,"{'loss': 'deviance', 'min_samples_leaf': 4, 'n_estimators': 150, 'max_features': 'log2', 'criterion': 'friedman_mse', 'min_samples_split': 10, 'max_depth': 25}",3,-14.2102106214,-9.99200722163e-16,-12.9115598884,-9.99200722163e-16,-13.3111465973,-9.99200722163e-16,-14.5348712811,-9.99200722163e-16,-14.6847199104,-9.99200722163e-16,-12.9864743744,-9.99200722163e-16,-13.6108305582,-9.99200722163e-16,-13.6706768488,-9.99200722163e-16,5.41914250934,0.081188997867,0.632971153549,0.0
26,205.303665906,0.313057392836,-13.8274860734,-9.99200722163e-16,friedman_mse,deviance,25,log2,4,15,150,"{'loss': 'deviance', 'min_samples_leaf': 4, 'n_estimators': 150, 'max_features': 'log2', 'criterion': 'friedman_mse', 'min_samples_split': 15, 'max_depth': 25}",12,-14.0353904968,-9.99200722163e-16,-13.4360133244,-9.99200722163e-16,-13.7107298371,-9.99200722163e-16,-14.0354003255,-9.99200722163e-16,-14.4599544825,-9.99200722163e-16,-14.010413798,-9.99200722163e-16,-13.3860668648,-9.99200722163e-16,-13.5457157195,-9.99200722163e-16,1.5931432804,0.0641585350056,0.346606633551,0.0
