,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_C,param_gamma,param_kernel,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,split5_test_score,split5_train_score,split6_test_score,split6_train_score,split7_test_score,split7_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,42.8619695008,3.58488973975,-13.6058134468,-12.7744571906,0.01,auto,linear,"{'kernel': 'linear', 'C': 0.01, 'gamma': 'auto'}",5,-13.8355919389,-12.7237810082,-12.8865779862,-12.9307254136,-13.635803788,-12.7737331231,-14.4349766274,-12.6666881566,-14.1602566457,-12.7309147235,-13.2861548663,-12.8486534483,-13.6857502475,-12.7344814573,-12.9209002369,-12.786680194,0.683343982878,0.175122666399,0.517620542391,0.077258506088
1,46.2624646127,3.38677886128,-13.5808375982,-12.7432376104,0.015,auto,linear,"{'kernel': 'linear', 'C': 0.015, 'gamma': 'auto'}",3,-13.8355925171,-12.7130763463,-12.8116548279,-12.8772043346,-13.6108294019,-12.734485257,-14.2351850075,-12.6060320407,-14.2351809604,-12.6666898087,-13.2611810584,-12.8486544395,-13.6358014753,-12.7487547528,-13.0208706446,-12.7510039037,0.290636970255,0.0417899422434,0.491488776211,0.082781176216
2,65.4636956453,3.95107796788,-13.5589839024,-12.7427916479,0.02,auto,linear,"{'kernel': 'linear', 'C': 0.02, 'gamma': 'auto'}",1,-13.8855407111,-12.7023727583,-12.7117607524,-12.8236836686,-13.6358043661,-12.7166453104,-14.3600563599,-12.6595536979,-14.1852327663,-12.6631224967,-13.2611816365,-12.8415191547,-13.6108270892,-12.7558910288,-12.8209338791,-12.7795450681,5.73641166916,0.184388659161,0.559034476619,0.0646201350919
3,77.4694696963,4.86893829703,-13.5808386824,-12.7316412389,0.025,auto,linear,"{'kernel': 'linear', 'C': 0.025, 'gamma': 'auto'}",4,-13.9105150973,-12.6988049507,-12.7617089465,-12.8165478056,-13.7107269463,-12.7059406485,-14.335082552,-12.6274409514,-14.2601553465,-12.6631227445,-13.261183371,-12.8415190721,-13.6108270892,-12.705937427,-12.795942579,-12.7938163111,2.63589531943,0.326432366048,0.564115605387,0.071676281828
4,76.4392959476,4.63198161125,-13.574594377,-12.7405618961,0.03,auto,linear,"{'kernel': 'linear', 'C': 0.03, 'gamma': 'auto'}",2,-13.9604627132,-12.7273495592,-12.6867869445,-12.8236835034,-13.7107269463,-12.7416221113,-14.3600580944,-12.6559860555,-14.1852327663,-12.641713999,-13.3361042167,-12.8343830439,-13.485956315,-12.7309143105,-12.8709182151,-12.7688425857,3.09950001735,0.635048281186,0.55960072603,0.0649077731913
