,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_batch_size,param_epochs,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,split5_test_score,split5_train_score,split6_test_score,split6_train_score,split7_test_score,split7_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,4.7518004775,0.128173649311,-14.1116162821,-9.87991078929,100,5,"{'epochs': 5, 'batch_size': 100}",3,-14.8595729902,-9.74446299889,-13.4859927392,-9.8300909596,-14.235219119,-9.71234983935,-15.3091015333,-9.78012604117,-14.385030746,-10.1726037111,-13.4609986955,-10.0834017475,-13.7607069392,-10.0405942515,-13.3957899047,-9.67565676523,0.136553577731,0.043967740225,0.664609378077,0.178002241968
1,7.03528341651,0.186666637659,-14.8203227616,-6.49650896515,100,10,"{'epochs': 10, 'batch_size': 100}",6,-15.4339410868,-6.81146172766,-14.8595284718,-6.74723309569,-14.859540035,-6.66159348796,-15.4339983248,-6.04435839458,-14.5598832477,-6.34763913971,-14.6348225945,-6.36547974719,-14.7846631296,-6.36904548972,-13.9956088799,-6.62526063866,0.0672172457795,0.0287988604145,0.438678587806,0.241325942004
2,9.81374132633,0.257215023041,-15.0950751647,-4.06311055097,100,15,"{'epochs': 15, 'batch_size': 100}",10,-15.8335619072,-4.1175725394,-15.3340857482,-3.96415359093,-14.8845508453,-4.23532241557,-15.9084960506,-3.88922302301,-14.88454622,-4.06406195099,-15.0593813768,-3.94631025755,-14.9095414199,-4.16753506234,-13.9456066079,-4.12070556794,0.215573466003,0.0433855539982,0.581920253634,0.112092185874
3,12.537325114,0.330833792686,-15.4853442552,-2.30719526726,100,20,"{'epochs': 20, 'batch_size': 100}",15,-16.2331682735,-2.27287930032,-15.2341980325,-2.2336339949,-15.9085041448,-2.24790580354,-16.1082899832,-2.46198689802,-15.2841392886,-2.20508253034,-15.5838434852,-2.36565402764,-15.0094551529,-2.46199284544,-14.5204580048,-2.20842673785,0.179797104249,0.0554511532,0.547339673877,0.101011438805
4,15.4242864847,0.400451868773,-15.319875437,-1.22652053214,100,25,"{'epochs': 25, 'batch_size': 100}",14,-15.7336747696,-1.40226353684,-15.3840379894,-1.15606407883,-15.6337818505,-1.24883426299,-15.9084943161,-0.991930473537,-14.7846712239,-1.49146913492,-15.3341094528,-1.37015533349,-14.8096554387,-1.00620451245,-14.9703257077,-1.14524292402,0.208085915371,0.0546376796588,0.401487852227,0.172247652407
5,3.89474207163,0.505210906267,-14.1053745786,-10.239386288,150,5,"{'epochs': 5, 'batch_size': 150}",2,-14.484947948,-10.1155329145,-13.5359264792,-10.2689525238,-14.0354107324,-10.4045397859,-15.084327433,-9.89430389698,-14.6847592254,-10.0620333123,-13.6857924533,-10.2761025946,-13.960522842,-10.2118866009,-13.3707783542,-10.6817386753,0.115463188829,0.0852363517075,0.559439025841,0.22130448126
6,6.28883734345,0.538678079844,-14.5736852725,-7.04420985655,150,10,"{'epochs': 10, 'batch_size': 150}",4,-16.0832994085,-7.11833968708,-14.2352069777,-6.87213535549,-14.459988594,-6.7436926297,-14.9844628438,-6.74370221165,-14.2601640189,-7.48226713145,-14.4599787653,-7.26462558104,-14.2352283696,-7.15402032381,-13.8706448577,-6.97489593223,0.158558594224,0.0669412433616,0.641789649091,0.243171837515
7,8.21775022149,0.630614340305,-14.9389721542,-4.79411365986,150,15,"{'epochs': 15, 'batch_size': 150}",7,-15.6837190595,-4.51006929059,-14.3850660139,-4.80265074306,-15.4589732891,-4.83833955749,-15.3340799666,-4.88114391459,-14.5099402571,-4.73485950749,-14.6348035152,-4.96678071383,-14.5848674625,-4.82405378894,-14.9203141785,-4.79501176291,0.0806419508544,0.0632506125812,0.459680466169,0.124752988332
8,10.8911871016,0.705441564322,-15.2667837349,-2.96860634732,150,20,"{'epochs': 20, 'batch_size': 150}",12,-15.6837115434,-2.71531494997,-15.2341835784,-2.79381481235,-15.184244635,-2.93297285579,-15.3840194882,-2.86874397602,-15.0843413089,-3.20058741972,-15.8585507473,-2.85090741609,-15.633780116,-2.91869270425,-14.0705735231,-3.46781664434,0.239996383407,0.090927676246,0.517649283753,0.230575746874
9,12.5519005656,0.806038439274,-15.2386923831,-1.69839194355,150,25,"{'epochs': 25, 'batch_size': 150}",11,-15.4839251269,-1.67343591341,-14.9844437645,-1.86611123611,-14.9345082899,-1.74479875633,-15.5588523324,-1.49503025167,-14.9344909451,-1.58780043583,-15.6587591274,-1.78048087992,-15.6088196058,-1.8589753731,-14.7453831776,-1.58050270199,0.136375729898,0.0983706535788,0.34804205179,0.127923864421
