,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_criterion,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,split5_test_score,split5_train_score,split6_test_score,split6_train_score,split7_test_score,split7_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
62,158.768045872,1.02013161778,-13.6058077369,-0.122651696582,entropy,30,,10,2,350,"{'min_samples_leaf': 10, 'n_estimators': 350, 'min_samples_split': 2, 'criterion': 'entropy', 'max_features': None, 'max_depth': 30}",79,-13.3111327214,-0.0999066253951,-12.8616036001,-0.110610874236,-13.3860558797,-0.139155730553,-14.6347584186,-0.132019537125,-14.1352753217,-0.142723703363,-13.4609721001,-0.135588088155,-13.6108195731,-0.0963384873793,-13.4457285329,-0.124870526451,1.3327319002,0.125661428907,0.509268630336,0.016918935795
63,113.246751636,0.738365024328,-13.6713704867,-0.130679883213,entropy,30,,10,10,250,"{'min_samples_leaf': 10, 'n_estimators': 250, 'min_samples_split': 10, 'criterion': 'entropy', 'max_features': None, 'max_depth': 30}",101,-13.411027375,-0.12131520568,-12.7117567053,-0.135587592537,-13.4859522678,-0.142723785966,-14.7346571194,-0.142723785966,-14.2101961674,-0.142723703363,-13.6108178386,-0.132019867537,-13.6857421533,-0.103474598205,-13.5207053262,-0.124870526451,0.835086061685,0.149320231782,0.555732477698,0.0128579707929
64,135.876635581,0.910467654467,-13.5995638651,-0.127111796823,entropy,30,,10,10,300,"{'min_samples_leaf': 10, 'n_estimators': 300, 'min_samples_split': 10, 'criterion': 'entropy', 'max_features': None, 'max_depth': 30}",76,-13.3610803373,-0.117746985062,-12.7117572835,-0.117747150268,-13.4360058083,-0.149859896791,-14.7346553849,-0.132019454521,-14.1352747435,-0.142723703363,-13.6357899121,-0.12845197733,-13.3860541452,-0.103474598205,-13.3957459326,-0.124870609046,1.36800208844,0.138687590423,0.563014731332,0.0138122466105
65,159.039532155,1.09014046192,-13.6058077369,-0.122651696582,entropy,30,,10,10,350,"{'min_samples_leaf': 10, 'n_estimators': 350, 'min_samples_split': 10, 'criterion': 'entropy', 'max_features': None, 'max_depth': 30}",79,-13.3111327214,-0.0999066253951,-12.8616036001,-0.110610874236,-13.3860558797,-0.139155730553,-14.6347584186,-0.132019537125,-14.1352753217,-0.142723703363,-13.4609721001,-0.135588088155,-13.6108195731,-0.0963384873793,-13.4457285329,-0.124870526451,1.44065690107,0.179404224787,0.509268630336,0.016918935795
66,110.619076133,0.77544888854,-13.6120502355,-0.46652134728,entropy,30,,10,30,250,"{'min_samples_leaf': 10, 'n_estimators': 250, 'min_samples_split': 30, 'criterion': 'entropy', 'max_features': None, 'max_depth': 30}",84,-13.2611822147,-0.47098694901,-12.9614947848,-0.478122894629,-13.6108195731,-0.492395777104,-14.4349627516,-0.453147084962,-13.9854307395,-0.495963997723,-13.8855308824,-0.442442588311,-13.510923185,-0.460282700169,-13.2457929245,-0.438828786331,1.22874845579,0.0924861064277,0.444710446931,0.0201722255195
67,132.876508772,0.88100913167,-13.5652196792,-0.466521383023,entropy,30,,10,30,300,"{'min_samples_leaf': 10, 'n_estimators': 300, 'min_samples_split': 30, 'criterion': 'entropy', 'max_features': None, 'max_depth': 30}",54,-13.2112334425,-0.460282700169,-12.8865704701,-0.467418728391,-13.5358981493,-0.485259583676,-14.3850157138,-0.467419471818,-13.7856385414,-0.495963832517,-13.9354808109,-0.442442588311,-13.6857433096,-0.478122894629,-13.0958376021,-0.43526126467,1.26491629352,0.15933300079,0.458163730513,0.0192031552668
68,155.329201341,1.04129198194,-13.5683412537,-0.467413258665,entropy,30,,10,30,350,"{'min_samples_leaf': 10, 'n_estimators': 350, 'min_samples_split': 30, 'criterion': 'entropy', 'max_features': None, 'max_depth': 30}",57,-13.2861548663,-0.474554921819,-12.886569892,-0.467418728391,-13.4360006048,-0.488827556485,-14.4099918344,-0.467419471818,-13.8855337732,-0.492395694501,-13.8605570744,-0.442442670914,-13.7606658898,-0.460282700169,-13.0208602302,-0.44596432522,1.70491466338,0.147573370804,0.473418662516,0.0168379390648
69,108.084845006,0.712930142879,-13.5402411565,-2.08372979623,entropy,30,,10,50,250,"{'min_samples_leaf': 10, 'n_estimators': 250, 'min_samples_split': 50, 'criterion': 'entropy', 'max_features': None, 'max_depth': 30}",41,-13.4110227497,-2.08375609065,-12.9115419654,-2.02666662582,-13.2611822147,-2.11586842416,-14.4099900999,-2.21577562777,-13.9854295832,-2.06948436461,-13.585841718,-2.05164450057,-13.5858434525,-2.05521098652,-13.1708103454,-2.05143174977,2.09321330886,0.134958521997,0.445136582521,0.0556934511107
70,126.939125359,0.920378893614,-13.5464850282,-2.08952769088,entropy,30,,10,50,300,"{'min_samples_leaf': 10, 'n_estimators': 300, 'min_samples_split': 50, 'criterion': 'entropy', 'max_features': None, 'max_depth': 30}",46,-13.3610751338,-2.09089220147,-13.011440088,-2.01953034979,-13.3111292524,-2.08375534722,-14.4099900999,-2.21577513215,-14.1103003574,-2.11230135998,-13.4609709438,-2.06234899722,-13.5358923676,-2.07305101578,-13.1708103454,-2.05856712347,1.0765658555,0.137142650323,0.445557069765,0.0540377009347
71,147.423446894,1.12751021981,-13.4871660057,-2.07882345714,entropy,30,,10,50,350,"{'min_samples_leaf': 10, 'n_estimators': 350, 'min_samples_split': 50, 'criterion': 'entropy', 'max_features': None, 'max_depth': 30}",12,-13.3361013259,-2.076619319,-12.9115436999,-1.96957757401,-13.2112328643,-2.09445959606,-14.2851199039,-2.19793452468,-13.985429005,-2.08375683407,-13.610815526,-2.08732538511,-13.4110221716,-2.06591515276,-13.1458167309,-2.05499927143,0.641712751573,0.311123586096,0.426167602145,0.0583119773173
