,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_criterion,param_loss,param_max_features,param_n_estimators,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,split5_test_score,split5_train_score,split6_test_score,split6_train_score,split7_test_score,split7_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.972157508135,0.0103853642941,-14.1739554749,-13.6614938073,friedman_mse,deviance,sqrt,10,"{'max_features': 'sqrt', 'loss': 'deviance', 'criterion': 'friedman_mse', 'n_estimators': 10}",21,-14.3100283796,-13.7156389563,-13.9603927556,-13.7691613569,-13.7855749436,-13.5729175658,-14.7096197137,-13.5693471975,-14.0602943472,-13.7156401953,-14.2600807637,-13.5229632205,-14.5348001672,-13.6442738005,-13.7705610482,-13.7820081653,0.294068483807,0.00661255485706,0.319203866786,0.0920621668916
1,4.75801175833,0.012202590704,-13.5777156624,-11.6349117214,friedman_mse,deviance,sqrt,100,"{'max_features': 'sqrt', 'loss': 'deviance', 'criterion': 'friedman_mse', 'n_estimators': 100}",5,-13.5109312792,-11.628375606,-13.1113451486,-11.6604857919,-13.411034313,-11.6105321075,-14.5348672339,-11.4820807083,-14.0603677737,-11.5998293455,-13.3860547234,-11.7996382183,-13.4110337348,-11.606961574,-13.1958149529,-11.6913904197,0.895085886743,0.00336202157463,0.448503260409,0.0843986700116
2,8.08714109659,0.0268272459507,-13.8025133327,-9.39195958433,friedman_mse,deviance,sqrt,300,"{'max_features': 'sqrt', 'loss': 'deviance', 'criterion': 'friedman_mse', 'n_estimators': 300}",13,-14.1103153896,-9.30198968225,-12.8366367301,-9.39118891989,-13.4859673,-9.57673118807,-14.7596505848,-9.21992126884,-14.3101133693,-9.37334946886,-13.7856501046,-9.54461571565,-14.0104259394,-9.27700916421,-13.1208543598,-9.45087126689,0.460375835878,0.00867528233796,0.592633906114,0.118409945214
3,12.8001984954,0.0362014174461,-13.9149119873,-7.70963179632,friedman_mse,deviance,sqrt,500,"{'max_features': 'sqrt', 'loss': 'deviance', 'criterion': 'friedman_mse', 'n_estimators': 500}",17,-13.9854515533,-7.65710374654,-12.7617176189,-7.53578647578,-13.7856645587,-7.90686878187,-14.7596540538,-7.71062201704,-14.659755353,-7.73203439706,-13.9354998903,-7.87832070404,-14.0603799151,-7.55362766148,-13.3707795114,-7.70269058673,0.0843033456475,0.00875105415588,0.605973920279,0.125113995558
4,0.467631995678,0.00545725226402,-14.2738528701,-13.8893958044,friedman_mse,deviance,log2,10,"{'max_features': 'log2', 'loss': 'deviance', 'criterion': 'friedman_mse', 'n_estimators': 10}",23,-13.9853613601,-13.8904683849,-13.8355161998,-13.9011718077,-14.0103357462,-13.9761008888,-14.8844311659,-13.7334736989,-14.684632608,-13.8155371561,-14.7096058378,-13.9225798924,-14.010338637,-13.9511258225,-14.0704543356,-13.924708784,0.0124822600845,0.00176593126118,0.385214592229,0.0738098778912
5,1.95563903451,0.010339230299,-13.424733865,-11.7339237603,friedman_mse,deviance,log2,100,"{'max_features': 'log2', 'loss': 'deviance', 'criterion': 'friedman_mse', 'n_estimators': 100}",1,-13.4859545805,-11.6818955286,-12.9115517942,-11.9566362084,-13.6358008972,-11.7354168554,-14.0104080164,-11.7318459915,-13.8355936734,-11.56771346,-13.1363131749,-11.8139072184,-13.3111408156,-11.6140972718,-13.0708520878,-11.7698775481,0.10713667735,0.00186311313639,0.361386076164,0.11290958639
6,5.0499176681,0.0205880105495,-13.6807529903,-9.69434782673,friedman_mse,deviance,log2,300,"{'max_features': 'log2', 'loss': 'deviance', 'criterion': 'friedman_mse', 'n_estimators': 300}",8,-13.910521457,-9.52677651243,-13.03642835,-9.92283347174,-13.7107356187,-9.65522799414,-14.5598566523,-9.54818501011,-14.2851372487,-9.68377268525,-13.3860633958,-9.73372067005,-13.3860790062,-9.59813596862,-13.1708334886,-9.88613030151,0.0662087421192,0.00608265923956,0.505054374598,0.137331287085
7,8.3158762157,0.0334195196629,-13.7775420376,-8.11594087172,friedman_mse,deviance,log2,500,"{'max_features': 'log2', 'loss': 'deviance', 'criterion': 'friedman_mse', 'n_estimators': 500}",12,-14.1103211712,-7.93541347298,-13.0364370225,-8.28508414247,-13.9105324421,-8.22799674272,-14.7097064379,-8.04959116359,-14.0104282521,-8.14236275199,-13.510941108,-8.04602038227,-13.8605882952,-8.04959075057,-13.0708706023,-8.19146756712,0.0692344978233,0.00568636173535,0.521778751485,0.108312049554
8,3.14196714759,0.00580462813377,-13.9179615741,-13.3591138924,friedman_mse,deviance,,10,"{'max_features': None, 'loss': 'deviance', 'criterion': 'friedman_mse', 'n_estimators': 10}",19,-13.7106668175,-13.3374319386,-13.6607226706,-13.2910508527,-13.5857925743,-13.3695472458,-13.9853850647,-13.373115549,-14.6097308416,-13.3873843013,-14.3849677264,-13.1733033721,-13.4359572427,-13.4516121899,-13.9705076496,-13.4894656901,0.0468683405608,0.00134057576532,0.380107936324,0.0910218912066
9,27.2222395837,0.00956442952156,-13.534008343,-11.0693765815,friedman_mse,deviance,,100,"{'max_features': None, 'loss': 'deviance', 'criterion': 'friedman_mse', 'n_estimators': 100}",4,-13.8355942516,-10.9968230245,-13.1363189565,-11.2037717253,-13.5608765825,-11.021799082,-14.5098963168,-11.0895923827,-13.8855441801,-10.8077144356,-13.3361094201,-11.2679897015,-13.2861722111,-10.978980352,-12.7209669428,-11.1883419486,0.245732107102,0.00210432601664,0.510771635538,0.139748370871
