,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_C,param_gamma,param_kernel,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,split5_test_score,split5_train_score,split6_test_score,split6_train_score,split7_test_score,split7_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,63.2973561585,4.18604692817,-13.5589839024,-12.7427916479,0.02,auto,linear,"{'kernel': 'linear', 'C': 0.02, 'gamma': 'auto'}",1,-13.8855407111,-12.7023727583,-12.7117607524,-12.8236836686,-13.6358043661,-12.7166453104,-14.3600563599,-12.6595536979,-14.1852327663,-12.6631224967,-13.2611816365,-12.8415191547,-13.6108270892,-12.7558910288,-12.8209338791,-12.7795450681,1.17950029751,0.0324668515079,0.559034476619,0.0646201350919
1,66.3049726188,4.14119711518,-13.574594377,-12.7405618961,0.03,auto,linear,"{'kernel': 'linear', 'C': 0.03, 'gamma': 'auto'}",4,-13.9604627132,-12.7273495592,-12.6867869445,-12.8236835034,-13.7107269463,-12.7416221113,-14.3600580944,-12.6559860555,-14.1852327663,-12.641713999,-13.3361042167,-12.8343830439,-13.485956315,-12.7309143105,-12.8709182151,-12.7688425857,0.341769791968,0.0475501820315,0.55960072603,0.0649077731913
2,49.733035326,4.30050346255,-13.5745895344,-12.8194994192,0.004,auto,linear,"{'kernel': 'linear', 'C': 0.004, 'gamma': 'auto'}",3,-13.5608719572,-12.8165479708,-12.8615983967,-12.9342904127,-13.735696129,-12.852228525,-14.2102048398,-12.6274376472,-14.3850214954,-12.7344795574,-13.3111269398,-12.8593541452,-13.6358026316,-12.8058395092,-12.8959031509,-12.9258175859,0.326987602676,0.0576463883911,0.515865874494,0.0945062985012
3,50.0562681258,4.2808034122,-13.5683461686,-12.8003232969,0.005,auto,linear,"{'kernel': 'linear', 'C': 0.005, 'gamma': 'auto'}",2,-13.5858474996,-12.8343890739,-12.861599553,-12.912881502,-13.7107211647,-12.8450928271,-14.2851291544,-12.6274388037,-14.3100994934,-12.7166407672,-13.336101904,-12.8914671395,-13.5858532813,-12.7701594507,-12.8709130079,-12.8045168112,0.274583391978,0.0489190101858,0.515332512038,0.0880061038676
4,50.6949344277,4.27731886506,-13.5870789404,-12.7806992828,0.006,auto,linear,"{'kernel': 'linear', 'C': 0.006, 'gamma': 'auto'}",5,-13.7856402759,-12.8415263412,-12.9115483252,-12.8700647545,-13.7606710932,-12.8308212663,-14.2601541902,-12.5881896985,-14.2601524557,-12.6952326825,-13.336101904,-12.8343789964,-13.4609830852,-12.7665923039,-12.9208985011,-12.8187882193,0.56281365647,0.0537949761609,0.494280092127,0.08880744421
