,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_activation,param_alpha,param_hidden_layer_sizes,param_solver,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,split5_test_score,split5_train_score,split6_test_score,split6_train_score,split7_test_score,split7_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
68,9.02407601476,0.00856611132622,-13.7681695082,-11.1215658631,relu,3,"(30,)",adam,"{'alpha': 3, 'activation': 'relu', 'solver': 'adam', 'hidden_layer_sizes': (30,)}",55,-13.8106198655,-11.0860322571,-13.4360196841,-10.9754211351,-13.7856535736,-11.0182378001,-14.6347717163,-11.0110999546,-14.4100109137,-10.8897900355,-13.7107321498,-11.4035891063,-13.5359085562,-11.1895014862,-12.820954708,-11.3988551302,0.670029244081,0.00629831741541,0.527897224882,0.180368392024
69,30.3075875938,0.0175096690655,-15.7070037997,-9.99200722163e-16,relu,3,"(100,)",lbfgs,"{'alpha': 3, 'activation': 'relu', 'solver': 'lbfgs', 'hidden_layer_sizes': (100,)}",75,-16.4079785694,-9.99200722163e-16,-14.8346095892,-9.99200722163e-16,-16.233166539,-9.99200722163e-16,-15.6587521895,-9.99200722163e-16,-14.9844541714,-9.99200722163e-16,-16.1332701509,-9.99200722163e-16,-16.2581310964,-9.99200722163e-16,-15.1452619158,-9.99200722163e-16,1.64055887411,0.00834075104897,0.597360736236,0.0
70,71.1674650908,0.010926514864,-13.6276795742,-10.821409214,relu,3,"(100,)",sgd,"{'alpha': 3, 'activation': 'relu', 'solver': 'sgd', 'hidden_layer_sizes': (100,)}",37,-14.0353922313,-10.6685696913,-13.0114609019,-10.8719478585,-13.6358107259,-10.8862222279,-14.8345668052,-10.7684733429,-13.8605813572,-10.7399301387,-13.3361256087,-11.1003013399,-13.336123296,-10.7185206498,-12.9709007731,-10.817308463,1.10753105421,0.00473253132867,0.576426136815,0.126461228207
71,11.2129442394,0.0121579766273,-13.7057335369,-10.6898374963,relu,3,"(100,)",adam,"{'alpha': 3, 'activation': 'relu', 'solver': 'adam', 'hidden_layer_sizes': (100,)}",53,-13.7856501046,-10.7220872183,-13.2861820399,-10.8612447661,-13.735710583,-10.7934501438,-14.7096966091,-10.6400167398,-14.0353928094,-10.7327864284,-13.8356150654,-10.6257541827,-13.4360283566,-10.4152405655,-12.8209529723,-10.7281199259,2.69612072915,0.00664325837921,0.521056959417,0.125727128097
72,6.21622139215,0.00889563560486,-15.3729403968,-8.08564089933,relu,10,"(10,)",lbfgs,"{'alpha': 10, 'activation': 'relu', 'solver': 'lbfgs', 'hidden_layer_sizes': (10,)}",68,-15.8335676888,-7.82482994035,-15.1592662017,-8.22802218446,-14.9345117589,-8.04961627491,-15.8335757831,-8.07102741589,-15.0344075689,-8.13882154257,-15.8085985061,-8.17806783922,-15.1093047099,-8.13525257852,-15.2702166808,-8.05948941872,0.66169428612,0.0070235373782,0.36172921091,0.114194052398
73,20.8022920787,0.00676786899567,-13.5714678153,-13.0170803468,relu,10,"(10,)",sgd,"{'alpha': 10, 'activation': 'relu', 'solver': 'sgd', 'hidden_layer_sizes': (10,)}",31,-13.735689191,-12.9378629287,-12.7617025867,-13.055606527,-13.6857467786,-13.0127915967,-14.3600500001,-12.955703371,-14.0104097509,-12.9307246702,-13.8106100367,-12.9663986161,-13.1363201129,-13.1305359385,-13.0708520878,-13.1470191263,1.12710231156,0.00362539152229,0.500928988317,0.0800994622705
74,5.74729314446,0.00438496470451,-13.5308850339,-13.0523186477,relu,10,"(10,)",adam,"{'alpha': 10, 'activation': 'relu', 'solver': 'adam', 'hidden_layer_sizes': (10,)}",22,-13.7107182739,-12.9378640025,-12.8116554061,-13.1305404817,-13.6857479349,-13.1055645068,-14.3600523128,-12.920026947,-14.0853369564,-12.9699765839,-13.7856414322,-13.0092208154,-12.8865837678,-13.1947672964,-12.9209031298,-13.1505885476,0.431753144582,0.0019450709799,0.550068369935,0.0988312741877
75,14.0067477226,0.0109231173992,-15.5727570147,-1.32998894445,relu,10,"(30,)",lbfgs,"{'alpha': 10, 'activation': 'relu', 'solver': 'lbfgs', 'hidden_layer_sizes': (30,)}",71,-15.8335700014,-1.15249428876,-15.608809777,-1.19887975255,-15.6837306227,-1.35230712653,-16.2081881058,-1.37371504599,-15.0344052562,-1.34873981455,-15.8086083349,-1.37371587202,-15.433991965,-1.47005353337,-14.9703164505,-1.37000612185,0.57841531241,0.0072515481481,0.389374026857,0.0965577217841
76,29.7399693727,0.00668686628342,-13.6339047263,-13.1290241331,relu,10,"(30,)",sgd,"{'alpha': 10, 'activation': 'relu', 'solver': 'sgd', 'hidden_layer_sizes': (30,)}",38,-13.8106088804,-13.0984230268,-12.7367247316,-13.1911891634,-13.6357945374,-13.1519432798,-14.5098876444,-13.0556049576,-14.4099924126,-12.9985154102,-13.8106065677,-13.0520307069,-13.2611885745,-13.2233038924,-12.8959008366,-13.2611826276,0.641717031455,0.00406913766472,0.604201828696,0.0866253690084
77,7.38804164529,0.011279374361,-13.5652248832,-13.1067289223,relu,10,"(30,)",adam,"{'alpha': 10, 'activation': 'relu', 'solver': 'adam', 'hidden_layer_sizes': (30,)}",29,-13.7856373851,-13.094859845,-12.7617025867,-13.1911929631,-13.5608731135,-13.0199241556,-14.3850232299,-13.0627464376,-14.1352868849,-13.0163654344,-13.6607642982,-13.0448972394,-13.3361157799,-13.1733539251,-12.8959118296,-13.2504913781,2.53578582788,0.0089580654114,0.5244952839,0.0820364456549
78,29.9658376575,0.0206902325153,-15.4041652488,-9.99200722163e-16,relu,10,"(100,)",lbfgs,"{'alpha': 10, 'activation': 'relu', 'solver': 'lbfgs', 'hidden_layer_sizes': (100,)}",69,-16.0833115499,-9.99200722163e-16,-14.709746331,-9.99200722163e-16,-15.5588633174,-9.99200722163e-16,-15.4589617259,-9.99200722163e-16,-14.9844553277,-9.99200722163e-16,-16.083319066,-9.99200722163e-16,-15.5338814152,-9.99200722163e-16,-14.8203611281,-9.99200722163e-16,1.9636856457,0.00778371665389,0.495653928614,0.0
79,55.879803896,0.00806686282158,-13.6432755211,-13.0349220122,relu,10,"(100,)",sgd,"{'alpha': 10, 'activation': 'relu', 'solver': 'sgd', 'hidden_layer_sizes': (100,)}",43,-13.8106135057,-12.9628411339,-12.786677551,-13.1376736188,-13.7606682024,-13.0520421062,-14.484919618,-12.9271585973,-14.2601524557,-12.9521350677,-13.835585001,-12.9842396366,-13.2362176573,-13.1198326809,-12.9708839943,-13.1434532565,2.54901827771,0.00323809472376,0.561152302336,0.083718897898
80,6.5426594913,0.00713974237442,-13.5152792573,-13.1789893164,relu,10,"(100,)",adam,"{'alpha': 10, 'activation': 'relu', 'solver': 'adam', 'hidden_layer_sizes': (100,)}",16,-13.7357001761,-13.0627587455,-12.7117636432,-13.3517719773,-13.5858567502,-13.1697982602,-14.3101104785,-13.0734582859,-14.2601582373,-13.0199339028,-13.5359021964,-13.1483794371,-13.0863782786,-13.2340145843,-12.8959164582,-13.3717993386,0.198214542988,0.00188932347484,0.55382096663,0.122995803537
