,league,season,historical_training_year,features,best_score,hidden_layer_sizes,activation,solver,alpha,max_iter
0,F1,2014,7,best_features_MLP,0.471857410882,"(30,)",logistic,sgd,0.2,170
1,F1,2015,7,best_features_MLP,0.478037383178,"(170,)",logistic,sgd,1.3,150
2,F1,2016,7,best_features_MLP,0.481690140845,"(180,)",logistic,sgd,1.6,260
