,league,season,historical_training_year,features,best_score,learning_rate,n_estimators,max_depth,min_child_weight,gamma,subsample,colsample_bytree,objective,scale_pos_weight,reg_alpha
0,E2,2014,9,all_features,0.45076142132,0.01,130,5,3,0.61,0.75,0.65,multi:softprob,1,0.27
1,E2,2015,9,all_features,0.456774519717,0.01,310,3,8,0.19,0.5,0.65,multi:softprob,1,0.48
2,E2,2016,9,all_features,0.454659633258,0.01,400,3,8,0.22,0.9,0.6,multi:softprob,1,0.12
