,league,season,historical_training_year,features,best_score,learning_rate,n_estimators,max_depth,min_child_weight,gamma,subsample,colsample_bytree,objective,scale_pos_weight,reg_alpha
0,SP1,2014,9,all_features,0.512882171075,0.01,280,4,3,0.37,0.6,0.65,multi:softprob,1,0.24
1,SP1,2015,9,all_features,0.519131334023,0.01,160,3,5,0.43,0.95,0.9,multi:softprob,1,0.39
2,SP1,2016,9,all_features,0.526878015162,0.01,190,3,5,0.67,0.8,0.95,multi:softprob,1,0.39
