,league,season,historical_training_year,features,best_score,learning_rate,n_estimators,max_depth,min_child_weight,gamma,subsample,colsample_bytree,objective,scale_pos_weight,reg_alpha
0,E0,2014,9,all_features,0.518232819074,0.01,165,8,8,0.31,0.88,0.65,p,1,0.97
1,E0,2015,9,all_features,0.51399580126,0.01,135,7,8,0.19,0.88,0.68,t,1,0.88
2,E0,2016,9,all_features,0.502805049088,0.01,105,7,8,0.28,0.73,0.59,t,1,0.73
