,league,season,historical_training_year,features,best_score,learning_rate,n_estimators,max_depth,min_child_weight,gamma,subsample,colsample_bytree,objective,scale_pos_weight,reg_alpha
0,D1,2014,9,all_features,0.496389891697,0.01,260,4,1,0.58,0.73,0.46,r,1,0.5
1,D1,2015,9,all_features,0.50202247191,0.01,230,4,1,0.25,0.82,0.49,o,1,0.35
2,D1,2016,9,all_features,0.503161698284,0.01,200,4,1,0.41,0.76,0.4,b,1,0.46
