,league,season,historical_training_year,features,best_score,hidden_layer_sizes,activation,solver,alpha,max_iter
0,E1,2014,7,best_features_MLP,0.440677966102,"(180,)",logistic,adam,2.0,270
1,E1,2015,7,best_features_MLP,0.437822164948,"(150,)",logistic,adam,1.6,150
2,E1,2016,7,best_features_MLP,0.437177835052,"(70,)",logistic,sgd,2.3,180
