,A_MEANS_FIVE_AC,A_MEANS_FIVE_AF,A_MEANS_FIVE_AR,A_MEANS_FIVE_AS,A_MEANS_FIVE_AST,A_MEANS_FIVE_AY,A_MEANS_FIVE_FTAG,A_MEANS_FIVE_FTHG,A_MEANS_FIVE_FTR_A,A_MEANS_FIVE_FTR_D,A_MEANS_FIVE_FTR_H,A_MEANS_FIVE_HC,A_MEANS_FIVE_HF,A_MEANS_FIVE_HR,A_MEANS_FIVE_HS,A_MEANS_FIVE_HST,A_MEANS_FIVE_HTAG,A_MEANS_FIVE_HTHG,A_MEANS_FIVE_HTR_A,A_MEANS_FIVE_HTR_D,A_MEANS_FIVE_HTR_H,A_MEANS_FIVE_HY,A_MEANS_THREE_AC,A_MEANS_THREE_AF,A_MEANS_THREE_AR,A_MEANS_THREE_AS,A_MEANS_THREE_AST,A_MEANS_THREE_AY,A_MEANS_THREE_FTAG,A_MEANS_THREE_FTHG,A_MEANS_THREE_FTR_A,A_MEANS_THREE_FTR_D,A_MEANS_THREE_FTR_H,A_MEANS_THREE_HC,A_MEANS_THREE_HF,A_MEANS_THREE_HR,A_MEANS_THREE_HS,A_MEANS_THREE_HST,A_MEANS_THREE_HTAG,A_MEANS_THREE_HTHG,A_MEANS_THREE_HTR_A,A_MEANS_THREE_HTR_D,A_MEANS_THREE_HTR_H,A_MEANS_THREE_HY,A_STD_FIVE_AC,A_STD_FIVE_AF,A_STD_FIVE_AR,A_STD_FIVE_AS,A_STD_FIVE_AST,A_STD_FIVE_AY,A_STD_FIVE_FTAG,A_STD_FIVE_FTHG,A_STD_FIVE_FTR_A,A_STD_FIVE_FTR_D,A_STD_FIVE_FTR_H,A_STD_FIVE_HC,A_STD_FIVE_HF,A_STD_FIVE_HR,A_STD_FIVE_HS,A_STD_FIVE_HST,A_STD_FIVE_HTAG,A_STD_FIVE_HTHG,A_STD_FIVE_HTR_A,A_STD_FIVE_HTR_D,A_STD_FIVE_HTR_H,A_STD_FIVE_HY,A_STD_THREE_AC,A_STD_THREE_AF,A_STD_THREE_AR,A_STD_THREE_AS,A_STD_THREE_AST,A_STD_THREE_AY,A_STD_THREE_FTAG,A_STD_THREE_FTHG,A_STD_THREE_FTR_A,A_STD_THREE_FTR_D,A_STD_THREE_FTR_H,A_STD_THREE_HC,A_STD_THREE_HF,A_STD_THREE_HR,A_STD_THREE_HS,A_STD_THREE_HST,A_STD_THREE_HTAG,A_STD_THREE_HTHG,A_STD_THREE_HTR_A,A_STD_THREE_HTR_D,A_STD_THREE_HTR_H,A_STD_THREE_HY,H_MEANS_FIVE_AC,H_MEANS_FIVE_AF,H_MEANS_FIVE_AR,H_MEANS_FIVE_AS,H_MEANS_FIVE_AST,H_MEANS_FIVE_AY,H_MEANS_FIVE_FTAG,H_MEANS_FIVE_FTHG,H_MEANS_FIVE_FTR_A,H_MEANS_FIVE_FTR_D,H_MEANS_FIVE_FTR_H,H_MEANS_FIVE_HC,H_MEANS_FIVE_HF,H_MEANS_FIVE_HR,H_MEANS_FIVE_HS,H_MEANS_FIVE_HST,H_MEANS_FIVE_HTAG,H_MEANS_FIVE_HTHG,H_MEANS_FIVE_HTR_A,H_MEANS_FIVE_HTR_D,H_MEANS_FIVE_HTR_H,H_MEANS_FIVE_HY,H_MEANS_THREE_AC,H_MEANS_THREE_AF,H_MEANS_THREE_AR,H_MEANS_THREE_AS,H_MEANS_THREE_AST,H_MEANS_THREE_AY,H_MEANS_THREE_FTAG,H_MEANS_THREE_FTHG,H_MEANS_THREE_FTR_A,H_MEANS_THREE_FTR_D,H_MEANS_THREE_FTR_H,H_MEANS_THREE_HC,H_MEANS_THREE_HF,H_MEANS_THREE_HR,H_MEANS_THREE_HS,H_MEANS_THREE_HST,H_MEANS_THREE_HTAG,H_MEANS_THREE_HTHG,H_MEANS_THREE_HTR_A,H_MEANS_THREE_HTR_D,H_MEANS_THREE_HTR_H,H_MEANS_THREE_HY,H_STD_FIVE_AC,H_STD_FIVE_AF,H_STD_FIVE_AR,H_STD_FIVE_AS,H_STD_FIVE_AST,H_STD_FIVE_AY,H_STD_FIVE_FTAG,H_STD_FIVE_FTHG,H_STD_FIVE_FTR_A,H_STD_FIVE_FTR_D,H_STD_FIVE_FTR_H,H_STD_FIVE_HC,H_STD_FIVE_HF,H_STD_FIVE_HR,H_STD_FIVE_HS,H_STD_FIVE_HST,H_STD_FIVE_HTAG,H_STD_FIVE_HTHG,H_STD_FIVE_HTR_A,H_STD_FIVE_HTR_D,H_STD_FIVE_HTR_H,H_STD_FIVE_HY,H_STD_THREE_AC,H_STD_THREE_AF,H_STD_THREE_AR,H_STD_THREE_AS,H_STD_THREE_AST,H_STD_THREE_AY,H_STD_THREE_FTAG,H_STD_THREE_FTHG,H_STD_THREE_FTR_A,H_STD_THREE_FTR_D,H_STD_THREE_FTR_H,H_STD_THREE_HC,H_STD_THREE_HF,H_STD_THREE_HR,H_STD_THREE_HS,H_STD_THREE_HST,H_STD_THREE_HTAG,H_STD_THREE_HTHG,H_STD_THREE_HTR_A,H_STD_THREE_HTR_D,H_STD_THREE_HTR_H,H_STD_THREE_HY,INFO_AwayTeam,INFO_BbAvA,INFO_BbAvD,INFO_BbAvH,INFO_Date,INFO_Div,INFO_FTAG,INFO_FTHG,INFO_FTR,INFO_HTR,INFO_HomeTeam,INFO_PSA,INFO_PSD,INFO_PSH,INFO_WIN,INFO_WIN_P,probs_A,probs_D,probs_H,probs,pred,WIN,WIN_P,INFO_ODD,INFO_ODD_BET,prob_less_bet
31322,2.8,19.4,0.2,10.0,2.6,2.8,0.8,1.8,0.0,0.6,0.4,7.8,11.6,0.0,15.8,5.2,0.6,1.2,0.0,0.4,0.6,1.4,2.0,17.0,0.0,12.33,3.33,2.0,1.0,1.67,0.0,0.67,0.33,8.33,12.0,0.0,15.0,5.0,0.67,1.33,0.0,0.33,0.67,1.67,1.304,8.173,0.447,4.0,1.817,2.168,0.837,1.483,0.0,0.548,0.548,3.701,3.435,0.0,2.775,1.304,0.548,0.837,0.0,0.548,0.548,1.342,0.0,5.568,0.0,3.055,1.528,2.646,1.0,0.577,0.0,0.577,0.577,4.163,2.646,0.0,3.0,1.0,0.577,0.577,0.0,0.577,0.577,1.528,3.4,13.2,0.2,7.2,2.4,2.4,0.4,2.6,0.0,0.2,0.8,6.2,16.2,0.2,17.0,8.0,0.2,1.6,0.0,0.2,0.8,2.0,3.33,12.33,0.0,7.0,2.0,2.0,0.33,2.33,0.0,0.33,0.67,7.33,16.67,0.33,17.67,6.33,0.0,2.0,0.0,0.0,1.0,1.67,2.51,4.207,0.447,3.701,2.881,1.949,0.548,1.342,0.0,0.447,0.447,4.025,5.586,0.447,5.431,2.915,0.447,0.894,0.0,0.447,0.447,1.225,3.215,3.512,0.0,5.0,2.646,2.646,0.577,1.528,0.0,0.577,0.577,5.033,7.024,0.577,7.572,0.577,0.0,1.0,0.0,0.0,0.0,1.528,Parma,11.99,5.82,1.26,2015-04-29,I1,0.0,4.0,H,H,Lazio,12.9,6.35,1.27,1.26,1.27,0.0788631125448,0.174188730926,0.74694815653,0.74694815653,H,0.26,0.27,0,1.26,-0.0467026371211
31323,4.8,16.6,0.0,12.0,2.6,3.0,0.8,1.0,0.2,0.4,0.4,5.4,18.4,0.2,9.8,3.4,0.6,0.8,0.4,0.2,0.4,3.0,5.0,17.33,0.0,11.33,1.33,3.0,0.67,1.33,0.0,0.33,0.67,6.67,15.67,0.0,11.0,4.33,0.33,1.0,0.33,0.0,0.67,2.33,2.588,3.05,0.0,3.742,1.817,1.581,0.447,0.707,0.447,0.548,0.548,2.302,6.066,0.447,3.564,2.302,0.548,0.837,0.548,0.447,0.548,1.414,1.0,2.082,0.0,3.215,0.577,1.0,0.577,0.577,0.0,0.577,0.577,2.082,5.033,0.0,4.359,2.517,0.577,1.0,0.577,0.0,0.577,1.528,4.0,18.6,0.0,12.2,2.6,3.2,1.0,1.8,0.0,0.6,0.4,7.0,14.6,0.2,15.8,4.2,0.2,0.8,0.0,0.4,0.6,1.8,4.33,16.67,0.0,11.67,2.67,3.0,1.33,2.0,0.0,0.67,0.33,8.67,12.33,0.0,19.33,5.67,0.33,0.67,0.0,0.67,0.33,1.67,1.0,4.827,0.0,2.387,1.14,1.304,0.707,0.837,0.0,0.548,0.548,3.082,4.98,0.447,6.943,2.28,0.447,0.447,0.0,0.548,0.548,1.095,1.155,3.512,0.0,1.155,1.528,1.0,0.577,1.0,0.0,0.577,0.577,1.528,2.309,0.0,6.11,1.528,0.577,0.577,0.0,0.577,0.577,1.155,Genoa,4.0,3.46,1.94,2015-04-29,I1,3.0,1.0,A,A,Milan,4.29,3.64,1.95,4.0,4.29,0.248925874444,0.265542683633,0.485531441923,0.485531441923,H,-1.0,-1.0,0,1.94,-0.0299324756027
31324,4.4,16.8,0.2,14.4,6.4,3.2,1.6,1.2,0.4,0.4,0.2,5.8,16.4,0.4,14.4,2.6,0.8,0.6,0.4,0.2,0.4,2.6,5.67,18.67,0.33,15.67,6.67,3.33,1.67,0.67,0.67,0.33,0.0,6.0,16.33,0.67,12.33,2.0,1.0,0.33,0.67,0.0,0.33,3.0,2.074,7.19,0.447,4.099,1.342,1.304,0.548,1.095,0.548,0.548,0.447,2.28,1.817,0.548,5.413,1.517,0.837,0.894,0.548,0.447,0.548,1.14,0.577,9.292,0.577,5.033,1.528,1.528,0.577,0.577,0.577,0.577,0.0,2.0,0.577,0.577,3.512,1.732,1.0,0.577,0.577,0.0,0.577,1.0,5.0,16.6,0.0,11.6,3.0,3.0,1.0,1.2,0.4,0.2,0.4,5.2,15.4,0.0,12.2,3.4,0.2,0.8,0.2,0.4,0.4,3.0,5.0,16.33,0.0,11.67,3.0,3.33,1.33,1.0,0.67,0.0,0.33,5.33,15.0,0.0,12.33,3.33,0.33,0.67,0.33,0.33,0.33,3.0,1.581,2.793,0.0,2.702,1.414,0.707,0.707,1.304,0.548,0.447,0.548,2.864,4.219,0.0,4.868,2.51,0.447,1.095,0.447,0.548,0.548,0.707,1.0,3.786,0.0,1.528,2.0,0.577,0.577,1.0,0.577,0.0,0.577,0.577,5.568,0.0,4.726,3.512,0.577,1.155,0.577,0.577,0.577,1.0,Torino,2.79,3.19,2.61,2015-04-29,I1,2.0,2.0,D,H,Palermo,2.9,3.37,2.64,3.19,3.37,0.45507084188,0.276612698221,0.268316459899,0.45507084188,A,-1.0,-1.0,0,2.79,0.0966479028122
31325,3.4,20.2,0.0,8.8,3.4,3.2,1.4,2.0,0.4,0.2,0.4,9.2,15.6,0.0,18.6,4.8,0.6,1.2,0.2,0.4,0.4,1.6,3.67,16.67,0.0,9.0,2.67,3.0,1.0,1.33,0.33,0.33,0.33,10.67,12.33,0.0,20.0,4.33,0.33,1.0,0.0,0.67,0.33,1.0,2.608,7.463,0.0,4.97,2.191,1.483,0.894,1.871,0.548,0.447,0.548,3.114,6.348,0.0,4.506,1.304,0.548,1.304,0.447,0.548,0.548,1.14,3.055,6.658,0.0,6.083,2.309,2.0,1.0,1.155,0.577,0.577,0.577,1.528,3.215,0.0,1.732,1.528,0.577,1.0,0.0,0.577,0.577,1.0,5.0,17.6,0.2,12.6,3.4,3.2,0.4,1.0,0.0,0.6,0.4,6.4,16.6,0.0,12.8,3.6,0.4,0.6,0.0,0.8,0.2,3.0,4.0,16.33,0.33,9.0,3.0,3.33,0.0,1.0,0.0,0.33,0.67,8.33,12.0,0.0,15.0,3.33,0.0,0.33,0.0,0.67,0.33,2.33,2.739,2.793,0.447,5.595,0.894,2.28,0.548,0.707,0.0,0.548,0.548,3.975,8.562,0.0,4.324,1.342,0.548,0.548,0.0,0.447,0.447,1.0,3.0,3.055,0.577,3.606,1.0,2.517,0.0,1.0,0.0,0.577,0.577,4.163,6.083,0.0,4.359,1.528,0.0,0.577,0.0,0.577,0.577,0.577,Verona,5.44,3.83,1.64,2015-04-29,I1,1.0,1.0,D,D,Sampdoria,6.01,4.08,1.65,3.83,4.08,0.196460398958,0.260195615455,0.543343985588,0.543343985588,H,-1.0,-1.0,0,1.64,-0.0664121119731
31326,6.0,12.2,0.0,15.0,4.8,2.8,0.8,0.8,0.2,0.6,0.2,5.0,15.0,0.0,10.2,2.0,0.4,0.4,0.2,0.6,0.2,3.8,4.67,12.33,0.0,16.0,4.67,3.0,1.0,1.0,0.33,0.33,0.33,5.0,15.0,0.0,10.67,2.0,0.33,0.33,0.33,0.33,0.33,4.33,2.345,3.493,0.0,4.528,1.643,0.837,0.447,0.837,0.447,0.548,0.447,1.414,3.742,0.0,2.775,0.707,0.548,0.548,0.447,0.548,0.447,1.304,2.082,2.887,0.0,5.568,1.155,1.0,0.0,1.0,0.577,0.577,0.577,1.732,3.464,0.0,3.512,1.0,0.577,0.577,0.577,0.577,0.577,1.155,5.2,19.4,0.2,15.2,6.0,2.6,1.6,1.4,0.4,0.2,0.4,4.0,16.2,0.2,11.2,4.0,0.8,0.8,0.4,0.0,0.6,2.8,6.0,19.67,0.33,14.33,4.67,3.0,0.67,2.0,0.0,0.33,0.67,4.0,16.0,0.33,10.33,3.33,0.33,1.33,0.0,0.0,1.0,2.33,2.49,7.893,0.447,4.868,3.082,0.894,1.342,1.517,0.548,0.447,0.548,2.828,0.837,0.447,3.633,2.55,0.837,0.837,0.548,0.0,0.548,0.837,3.0,10.97,0.577,6.506,2.887,1.0,0.577,1.732,0.0,0.577,0.577,0.0,1.0,0.577,4.163,3.215,0.577,0.577,0.0,0.0,0.0,0.577,Roma,1.76,3.62,4.71,2015-04-29,I1,3.0,0.0,A,A,Sassuolo,1.78,3.76,5.19,1.76,1.78,0.473584150097,0.276577997108,0.249837852795,0.473584150097,A,0.76,0.78,0,1.76,-0.0945976680845
31332,5.8,12.4,0.2,13.2,4.6,2.4,0.8,1.4,0.2,0.0,0.8,3.2,15.2,0.2,8.6,3.6,0.4,0.8,0.2,0.2,0.6,3.6,5.33,11.33,0.33,14.33,5.67,2.33,1.0,1.0,0.33,0.0,0.67,4.33,15.67,0.33,8.67,3.33,0.67,0.67,0.33,0.0,0.67,4.33,0.837,3.578,0.447,3.114,1.673,1.673,1.304,1.14,0.447,0.0,0.447,2.168,3.114,0.447,2.302,1.14,0.894,0.837,0.447,0.447,0.548,1.14,0.577,2.309,0.577,1.528,1.155,2.309,1.732,1.0,0.577,0.0,0.577,2.082,2.517,0.577,2.887,1.528,1.155,0.577,0.577,0.0,0.577,0.577,3.6,16.2,0.0,12.0,2.6,2.2,0.8,2.2,0.0,0.4,0.6,9.0,12.6,0.0,12.2,4.6,0.4,0.8,0.2,0.2,0.6,0.8,4.0,15.0,0.0,13.33,2.67,1.67,1.33,2.0,0.0,0.67,0.33,10.67,12.67,0.0,10.67,4.33,0.67,0.67,0.33,0.33,0.33,0.67,1.517,3.347,0.0,2.739,1.517,1.095,0.837,0.837,0.0,0.548,0.548,3.24,1.817,0.0,3.633,1.517,0.548,0.837,0.447,0.447,0.548,1.095,2.0,1.0,0.0,2.887,2.082,0.577,0.577,1.0,0.0,0.577,0.577,2.082,2.082,0.0,4.163,2.082,0.577,1.155,0.577,0.577,0.577,1.155,Napoli,1.8,3.63,4.43,2015-04-30,I1,2.0,4.0,H,H,Empoli,1.85,3.81,4.64,4.43,4.64,0.271931866681,0.267288696673,0.460779436645,0.460779436645,H,3.43,3.64,0,4.43,0.235045802334
31370,3.6,16.2,0.0,15.0,3.2,3.0,1.0,1.2,0.2,0.4,0.4,3.4,13.2,0.2,9.4,2.6,0.6,0.4,0.2,0.8,0.0,2.75,3.33,15.67,0.0,16.67,3.67,2.67,0.67,1.0,0.33,0.0,0.67,4.0,14.67,0.0,9.0,1.33,0.33,0.33,0.0,1.0,0.0,3.0,1.14,2.683,0.0,4.062,1.483,1.581,0.707,0.837,0.447,0.548,0.548,1.517,3.493,0.447,2.074,2.302,0.894,0.548,0.447,0.447,0.0,0.5,1.155,3.512,0.0,4.041,1.155,1.528,0.577,1.0,0.577,0.0,0.577,1.0,4.041,0.0,2.0,1.528,0.577,0.577,0.0,0.0,0.0,0.0,5.4,16.4,0.2,11.0,3.4,3.0,0.4,1.0,0.0,0.6,0.4,6.8,13.0,0.2,14.8,3.6,0.2,0.4,0.0,0.8,0.2,2.6,6.0,16.67,0.0,9.33,3.0,4.33,0.33,0.67,0.0,0.67,0.33,8.0,9.33,0.33,16.0,3.33,0.0,0.0,0.0,1.0,0.0,2.33,2.881,2.793,0.447,4.301,0.894,2.121,0.548,0.707,0.0,0.548,0.548,3.768,5.148,0.447,4.97,1.342,0.447,0.548,0.0,0.447,0.447,0.894,1.732,2.517,0.0,3.786,1.0,1.528,0.577,0.577,0.0,0.577,0.577,4.359,1.528,0.577,5.292,1.528,0.0,0.0,0.0,0.0,0.0,0.577,Juventus,2.41,3.16,3.1,2015-05-02,I1,1.0,0.0,A,A,Sampdoria,2.5,3.26,3.2,2.41,2.5,0.345988028468,0.28157218506,0.372439786472,0.372439786472,H,-1.0,-1.0,0,3.1,0.0498591413109
31371,4.2,15.4,0.4,11.8,3.8,1.2,0.8,1.0,0.2,0.2,0.6,5.2,17.4,0.0,10.4,4.2,0.6,0.6,0.2,0.4,0.4,2.4,5.33,14.33,0.33,14.33,4.0,0.33,1.0,1.0,0.33,0.0,0.67,5.0,17.0,0.0,11.0,3.67,0.67,0.67,0.33,0.0,0.67,2.67,2.387,2.966,0.548,4.604,1.924,1.304,1.304,0.707,0.447,0.447,0.548,1.483,1.517,0.0,5.128,2.775,0.894,0.548,0.447,0.548,0.548,1.342,2.517,3.055,0.577,4.163,1.0,0.577,1.732,0.0,0.577,0.0,0.577,2.0,1.732,0.0,3.0,2.309,1.155,0.577,0.577,0.0,0.577,1.528,4.6,17.8,0.2,13.8,5.0,2.8,1.6,1.2,0.4,0.2,0.4,3.4,16.2,0.2,10.4,4.0,0.8,0.8,0.4,0.0,0.6,2.8,5.67,13.33,0.0,14.33,5.33,2.67,1.33,0.67,0.33,0.33,0.33,4.33,16.67,0.33,9.0,3.0,0.67,0.67,0.33,0.0,0.67,2.67,2.881,8.289,0.447,5.848,2.121,0.837,1.342,1.643,0.548,0.447,0.548,1.949,0.837,0.447,2.966,2.55,0.837,0.837,0.548,0.0,0.548,0.837,3.512,2.517,0.0,6.506,2.517,0.577,1.528,0.577,0.577,0.577,0.577,0.577,0.577,0.577,2.0,2.646,1.155,0.577,0.577,0.0,0.577,0.577,Palermo,2.69,3.25,2.67,2015-05-02,I1,0.0,0.0,D,D,Sassuolo,2.74,3.39,2.77,3.25,3.39,0.357068109992,0.308573448456,0.334358441553,0.357068109992,A,-1.0,-1.0,0,2.69,-0.0146791019043
31400,4.2,18.6,0.2,15.4,5.6,3.4,1.8,0.6,0.8,0.0,0.2,2.6,14.0,0.2,9.8,3.8,0.6,0.4,0.6,0.2,0.2,3.2,5.33,18.67,0.33,15.67,6.67,3.33,1.67,1.0,0.67,0.0,0.33,3.33,13.0,0.33,9.0,3.0,0.33,0.67,0.33,0.33,0.33,3.33,3.271,2.702,0.447,2.408,2.966,1.342,1.304,0.894,0.447,0.0,0.447,1.817,4.848,0.447,1.483,1.483,0.548,0.894,0.548,0.447,0.447,0.837,4.041,3.512,0.577,1.528,3.055,1.155,1.528,1.0,0.577,0.0,0.577,1.528,6.557,0.577,1.0,1.0,0.577,1.155,0.577,0.577,0.577,0.577,3.8,19.4,0.4,13.6,5.2,2.8,1.4,1.2,0.4,0.4,0.2,5.0,18.0,0.6,14.4,4.4,0.6,0.6,0.2,0.4,0.4,2.4,2.67,20.67,0.67,13.0,6.33,2.33,1.67,1.67,0.33,0.33,0.33,5.0,18.33,0.67,13.0,4.67,1.0,0.67,0.33,0.33,0.33,2.67,3.114,5.595,0.548,6.914,4.087,1.789,0.894,0.837,0.548,0.548,0.447,1.871,1.732,0.548,3.209,0.894,0.894,0.548,0.447,0.548,0.548,0.548,2.887,7.371,0.577,7.211,4.041,2.309,0.577,0.577,0.577,0.577,0.577,2.646,2.309,0.577,2.646,0.577,1.0,0.577,0.577,0.577,0.577,0.577,Lazio,1.71,3.73,5.03,2015-05-03,I1,1.0,1.0,D,D,Atalanta,1.69,4.04,5.55,3.73,4.04,0.499818223011,0.264383286576,0.235798490413,0.499818223011,A,-1.0,-1.0,0,1.71,-0.0849770986268
31401,4.2,18.6,0.2,11.4,3.6,3.0,1.0,1.8,0.0,0.6,0.4,9.0,13.0,0.0,17.2,3.8,0.2,1.0,0.2,0.2,0.6,1.8,5.0,16.33,0.33,12.67,5.0,3.0,1.33,2.0,0.0,0.67,0.33,10.33,12.33,0.0,17.33,4.33,0.0,1.33,0.0,0.33,0.67,2.33,1.789,4.98,0.447,5.595,2.702,1.414,1.225,1.304,0.0,0.548,0.548,2.828,3.082,0.0,2.588,1.304,0.447,1.0,0.447,0.447,0.548,0.837,1.732,3.786,0.577,7.506,2.646,0.0,1.528,1.732,0.0,0.577,0.577,3.055,4.041,0.0,2.082,1.155,0.0,1.155,0.0,0.577,0.577,0.577,4.4,15.0,0.0,10.6,3.6,3.8,1.2,1.2,0.4,0.2,0.4,8.6,13.4,0.0,20.2,3.8,0.2,0.0,0.2,0.8,0.0,1.8,4.33,16.0,0.0,12.0,3.67,3.67,1.33,1.0,0.67,0.0,0.33,9.0,12.33,0.0,20.0,3.33,0.33,0.0,0.33,0.67,0.0,1.67,2.966,3.674,0.0,3.362,2.702,1.643,1.095,0.837,0.548,0.447,0.548,1.949,4.615,0.0,1.924,1.304,0.447,0.0,0.447,0.447,0.0,0.837,2.309,4.583,0.0,3.0,3.512,2.309,1.528,1.0,0.577,0.0,0.577,2.646,4.726,0.0,1.0,1.528,0.577,0.0,0.577,0.577,0.0,0.577,Cesena,8.91,5.06,1.34,2015-05-03,I1,1.0,3.0,H,H,Fiorentina,8.95,5.32,1.39,1.34,1.39,0.234598449419,0.251644867496,0.513756683085,0.513756683085,H,0.34,0.39,0,1.34,-0.232511973632
31402,4.8,15.0,0.0,12.4,3.6,2.6,0.8,1.0,0.4,0.2,0.4,5.4,16.0,0.2,16.0,3.6,0.0,0.6,0.0,0.4,0.6,2.2,5.33,14.33,0.0,12.33,3.0,2.67,0.67,0.67,0.33,0.33,0.33,5.0,17.33,0.33,15.33,3.33,0.0,0.67,0.0,0.33,0.67,2.33,2.683,2.646,0.0,3.782,1.949,1.517,0.837,1.225,0.548,0.447,0.548,2.881,3.0,0.447,5.916,2.408,0.0,0.548,0.0,0.548,0.548,1.483,3.512,2.887,0.0,4.726,2.0,2.082,0.577,0.577,0.577,0.577,0.577,2.646,1.528,0.577,8.021,3.215,0.0,0.577,0.0,0.577,0.577,0.577,2.4,13.2,0.0,9.6,2.8,1.8,0.8,0.8,0.2,0.6,0.2,6.0,14.6,0.0,15.6,4.2,0.4,0.4,0.2,0.6,0.2,3.0,3.0,12.0,0.0,10.33,3.0,2.0,0.67,1.0,0.0,0.67,0.33,6.0,14.33,0.0,15.33,4.0,0.33,0.67,0.0,0.67,0.33,3.67,1.14,3.033,0.0,2.408,1.304,1.483,0.447,0.837,0.447,0.548,0.447,2.0,2.702,0.0,3.912,1.304,0.548,0.548,0.447,0.548,0.447,1.581,1.0,2.0,0.0,3.055,1.0,2.0,0.577,1.0,0.0,0.577,0.577,2.646,3.786,0.0,3.786,1.732,0.577,0.577,0.0,0.577,0.577,1.528,Chievo,7.97,4.44,1.42,2015-05-03,I1,0.0,0.0,D,D,Inter,8.18,4.69,1.46,4.44,4.69,0.292852383917,0.274616661166,0.432530954917,0.432530954917,H,-1.0,-1.0,0,1.42,-0.271694397196
31403,4.4,13.4,0.0,8.6,2.6,2.6,0.8,1.0,0.2,0.4,0.4,7.4,16.6,0.0,16.4,3.8,0.2,0.0,0.2,0.8,0.0,2.4,3.33,12.67,0.0,8.67,3.0,2.0,1.0,1.0,0.33,0.33,0.33,7.67,18.67,0.0,17.67,3.67,0.33,0.0,0.33,0.67,0.0,2.67,2.702,2.408,0.0,3.209,1.517,1.14,0.837,1.0,0.447,0.548,0.548,1.817,5.639,0.0,3.362,1.095,0.447,0.0,0.447,0.447,0.0,1.14,2.517,3.055,0.0,3.786,2.0,1.0,1.0,1.0,0.577,0.577,0.577,2.309,6.429,0.0,2.082,1.155,0.577,0.0,0.577,0.577,0.0,1.155,4.2,15.8,0.2,9.4,2.2,2.4,1.0,2.4,0.0,0.4,0.6,6.4,17.2,0.4,17.8,7.2,0.2,0.6,0.0,0.6,0.4,2.4,4.33,15.0,0.33,8.0,1.67,2.33,1.0,2.67,0.0,0.33,0.67,6.67,16.67,0.0,19.33,8.67,0.33,1.0,0.0,0.33,0.67,2.67,0.837,2.168,0.447,2.51,1.924,1.14,1.0,1.14,0.0,0.548,0.548,1.817,4.207,0.548,6.14,3.033,0.447,0.894,0.0,0.548,0.548,1.342,0.577,1.732,0.577,1.732,1.528,1.528,1.0,1.528,0.0,0.577,0.577,2.309,5.508,0.0,8.021,2.517,0.577,1.0,0.0,0.577,0.577,1.528,Milan,6.25,4.28,1.51,2015-05-03,I1,0.0,3.0,H,D,Napoli,6.98,4.65,1.51,1.51,1.51,0.120831897086,0.212982264898,0.666185838016,0.666185838016,H,0.51,0.51,0,1.51,0.00393418238709
31404,6.4,18.2,0.0,13.6,3.4,2.8,1.2,1.2,0.2,0.4,0.4,6.0,16.2,0.2,10.6,4.2,0.6,0.8,0.4,0.2,0.4,2.6,6.0,19.0,0.0,12.0,3.67,3.67,1.33,1.33,0.33,0.0,0.67,6.0,16.0,0.33,12.67,5.33,0.33,1.0,0.33,0.0,0.67,2.33,2.074,1.924,0.0,3.847,3.362,1.304,1.095,0.447,0.447,0.548,0.548,2.236,3.701,0.447,3.209,1.924,0.548,0.837,0.548,0.447,0.548,1.342,2.646,1.0,0.0,4.359,4.619,0.577,1.528,0.577,0.577,0.0,0.577,1.0,5.0,0.577,1.528,1.528,0.577,1.0,0.577,0.0,0.577,1.528,3.8,15.2,0.0,8.2,2.2,3.6,0.8,0.6,0.2,0.6,0.2,7.2,12.4,0.4,13.6,5.0,0.2,0.4,0.0,0.8,0.2,2.5,3.0,15.33,0.0,8.67,3.33,3.0,1.0,0.67,0.33,0.33,0.33,8.33,14.67,0.33,13.67,6.0,0.33,0.67,0.0,0.67,0.33,3.33,1.789,3.421,0.0,3.421,1.924,1.673,0.837,0.548,0.447,0.548,0.447,5.263,4.219,0.548,5.639,2.915,0.447,0.548,0.0,0.447,0.447,1.915,2.0,4.726,0.0,4.041,1.528,2.0,1.0,0.577,0.577,0.577,0.577,5.508,3.512,0.577,5.774,3.606,0.577,0.577,0.0,0.577,0.577,1.155,Genoa,6.11,4.05,1.56,2015-05-03,I1,0.0,2.0,H,H,Roma,6.31,4.4,1.57,1.56,1.57,0.334960908681,0.277782535497,0.387256555822,0.387256555822,H,0.56,0.57,0,1.56,-0.253769085204
