,league,season,historical_training_year,features,best_score,learning_rate,n_estimators,max_depth,min_child_weight,gamma,subsample,colsample_bytree,objective,scale_pos_weight,reg_alpha
0,F1,2014,9,all_features,0.453778429934,0.01,210,4,1,0.24,0.82,0.49,b,1,0.37
1,F1,2015,9,all_features,0.464546783626,0.01,255,4,1,0.27,0.76,0.52,i,1,0.29
2,F1,2016,9,all_features,0.469619326501,0.01,255,4,1,0.38,0.7,0.4,t,1,0.38
