,league,season,historical_training_year,features,best_score,learning_rate,n_estimators,max_depth,min_child_weight,gamma,subsample,colsample_bytree,objective,scale_pos_weight,reg_alpha
0,F1,2014,9,all_features,0.456346294938,0.01,310,5,1,0.1,0.55,0.65,multi:softprob,1,0.78
1,F1,2015,9,all_features,0.464546783626,0.01,100,5,1,0.01,0.75,0.8,multi:softprob,1,0.57
2,F1,2016,9,all_features,0.470351390922,0.01,160,5,8,0.64,0.75,0.85,multi:softprob,1,0.39
